Condition,OriginalReadCode,CleansedReadCode,Term
"Disease of arteries, arterioles and capilleries",^ESCTAT383043,,Atherosclerosis aorta
"Disease of arteries, arterioles and capilleries",^ESCTAO505793,,Aortoiliac atherosclerosis
"Disease of arteries, arterioles and capilleries",G700,G700.00,Aortic atherosclerosis
"Disease of arteries, arterioles and capilleries",G700-1,G700.11,Aorto-iliac disease
"Disease of arteries, arterioles and capilleries",^ESCTRE323045,,Renal artery atheroma
"Disease of arteries, arterioles and capilleries",^ESCTAT323047,,Atherosclerosis renal artery
"Disease of arteries, arterioles and capilleries",G701,G701.00,Renal artery atherosclerosis
"Disease of arteries, arterioles and capilleries",^ESCTRA590450,,RAS - Renal artery stenosis
"Disease of arteries, arterioles and capilleries",^ESCTAT323044,,Atherosclerosis of renal artery
"Disease of arteries, arterioles and capilleries",G7010,G701000,Atherosclerotic renal artery stenosis
"Disease of arteries, arterioles and capilleries",G7010-1,G701011,ARAS - Atherosclerotic renal artery stenosis
"Disease of arteries, arterioles and capilleries",P7690,P769000,Renal artery stenosis
"Disease of arteries, arterioles and capilleries",G702z,G702z00,Extremity artery atheroma NOS
"Disease of arteries, arterioles and capilleries",^ESCTMO363400,,Monckeberg's medial calcinosis
"Disease of arteries, arterioles and capilleries",^ESCTMO363401,,Monckeberg medial sclerosis
"Disease of arteries, arterioles and capilleries",G7020,G702000,Monckeberg's medial sclerosis
"Disease of arteries, arterioles and capilleries",G702-99,G702.99,Atherosclerosis of extremities
"Disease of arteries, arterioles and capilleries",G702,G702.00,Extremity artery atheroma
"Disease of arteries, arterioles and capilleries",G70y0-1,G70y011,Carotid artery disease
"Disease of arteries, arterioles and capilleries",G70y0,G70y000,Carotid artery atherosclerosis
"Disease of arteries, arterioles and capilleries",F4211-2,F421112,Atheroscleritic retinopathy
"Disease of arteries, arterioles and capilleries",F4211,F421100,Atherosclerotic retinopathy
"Disease of arteries, arterioles and capilleries",^ESCTAR406103,,Arteriosclerotic retinopathy
"Disease of arteries, arterioles and capilleries",F4211-1,F421111,Arterosclerotic retinopathy
"Disease of arteries, arterioles and capilleries",^ESCTRE406104,,Retinal arteriosclerosis
"Disease of arteries, arterioles and capilleries",^ESCTCA588676,,Carotid artery atheroma
"Disease of arteries, arterioles and capilleries",G5y2,G5y2.00,Cardiovascular arteriosclerosis unspecified
"Disease of arteries, arterioles and capilleries",Gyu70,Gyu7000,[X]Atherosclerosis of other arteries
"Disease of arteries, arterioles and capilleries",G70-1,G70..11,Arteriosclerosis
"Disease of arteries, arterioles and capilleries",G70,G70..00,Atherosclerosis
"Disease of arteries, arterioles and capilleries",G342,G342.00,Atherosclerotic cardiovascular disease
"Disease of arteries, arterioles and capilleries",G70z,G70z.00,Arteriosclerotic vascular disease NOS
"Disease of arteries, arterioles and capilleries",G70y,G70y.00,Other specified artery atheroma
"Disease of arteries, arterioles and capilleries",G72y,G72y.00,Aneurysm of other artery
"Disease of arteries, arterioles and capilleries",G72y3,G72y300,Aneurysm of neck artery NOS
"Disease of arteries, arterioles and capilleries",G72yz,G72yz00,Other aneurysm NOS
"Disease of arteries, arterioles and capilleries",G72z,G72z.00,Aneurysm NOS
"Disease of arteries, arterioles and capilleries",G6732,G673200,Carotid artery dissection
"Disease of arteries, arterioles and capilleries",^ESCTTR345491,,Traumatic arterial aneurysm
"Disease of arteries, arterioles and capilleries",G72y0,G72y000,Aneurysm of common carotid art
"Disease of arteries, arterioles and capilleries",G724,G724.00,Arterial false aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTEX349271,,External carotid aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTAN589353,,Aneurysm of head and neck artery
"Disease of arteries, arterioles and capilleries",^ESCT1192816,,Internal carotid artery dissection
"Disease of arteries, arterioles and capilleries",^ESCTCO267300,,Common carotid aneurysm
"Disease of arteries, arterioles and capilleries",G72y2,G72y200,Aneurysm of internal carotid artery
"Disease of arteries, arterioles and capilleries",G724-1,G724.11,False aneurysm
"Disease of arteries, arterioles and capilleries",G72D0,G72D000,Aneurysm of superficialised artery of dialysis AV fistula
"Disease of arteries, arterioles and capilleries",^ESCTON455626,,On examination - arterial wall - aneurysm
"Disease of arteries, arterioles and capilleries",G72y1,G72y100,Aneurysm of external carotid artery
"Disease of arteries, arterioles and capilleries",G72B,G72B.00,Dissection of artery
"Disease of arteries, arterioles and capilleries",G72E,G72E.00,Aneurysm of dialysis vascular access
"Disease of arteries, arterioles and capilleries",G72D,G72D.00,Aneurysm of dialysis arteriovenous fistula
"Disease of arteries, arterioles and capilleries",G72,G72..00,Other aneurysm
"Disease of arteries, arterioles and capilleries",G72C,G72C.00,Ruptured aneurysm of dialysis vascular access
"Disease of arteries, arterioles and capilleries",2456,2456.00,O/E - arterial wall - aneurysm
"Disease of arteries, arterioles and capilleries",Gyu73,Gyu7300,[X]Aneurysm of other specified arteries
"Disease of arteries, arterioles and capilleries",G72D1,G72D100,Aneurysm of needle site of dialysis arteriovenous fistula
"Disease of arteries, arterioles and capilleries",^ESCTIN289308,,Internal carotid aneurysm
"Disease of arteries, arterioles and capilleries",G72A,G72A.00,Dissection of other specified arteries
"Disease of arteries, arterioles and capilleries",G72D2,G72D200,Aneurysm of anastomotic site of dialysis AV fistula
"Disease of arteries, arterioles and capilleries",^ESCTDI759801,,Dissection of internal carotid artery
"Disease of arteries, arterioles and capilleries",^ESCTAN267299,,Aneurysm of common carotid artery
"Disease of arteries, arterioles and capilleries",G720z,G720z00,Aneurysm of arm artery NOS
"Disease of arteries, arterioles and capilleries",G725-1,G725.11,Dissection of artery of arm
"Disease of arteries, arterioles and capilleries",^ESCTAN297423,,Aneurysm of artery of upper extremity
"Disease of arteries, arterioles and capilleries",^ESCTUL477849,,Ulnar artery aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTAN297424,,Aneurysm of upper limb artery
"Disease of arteries, arterioles and capilleries",^ESCTSU314571,,Subclavian artery aneurysm
"Disease of arteries, arterioles and capilleries",G72y4,G72y400,Aneurysm of subclavian artery
"Disease of arteries, arterioles and capilleries",G72y6,G72y600,Aneurysm of axillary artery
"Disease of arteries, arterioles and capilleries",G7200,G720000,Aneurysm of brachial artery
"Disease of arteries, arterioles and capilleries",G7201,G720100,Aneurysm of radial artery
"Disease of arteries, arterioles and capilleries",G720,G720.00,Aneurysm of artery of arm
"Disease of arteries, arterioles and capilleries",^ESCTBR477845,,Brachial artery aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTRA477847,,Radial artery aneurysm
"Disease of arteries, arterioles and capilleries",G725,G725.00,Dissection of artery of upper extremity
"Disease of arteries, arterioles and capilleries",G7202,G720200,Aneurysm of ulnar artery
"Disease of arteries, arterioles and capilleries",^ESCTAX317249,,Axillary artery aneurysm
"Disease of arteries, arterioles and capilleries",G726,G726.00,Dissection of renal artery
"Disease of arteries, arterioles and capilleries",G7210,G721000,Acquired renal artery aneurysm
"Disease of arteries, arterioles and capilleries",G721,G721.00,Aneurysm of renal artery
"Disease of arteries, arterioles and capilleries",G722z,G722z00,Aneurysm of iliac artery NOS
"Disease of arteries, arterioles and capilleries",^ESCTIN477855,,Internal iliac aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTEX477853,,External iliac aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTDI505869,,Dissection of iliac artery
"Disease of arteries, arterioles and capilleries",G722,G722.00,Aneurysm of iliac artery
"Disease of arteries, arterioles and capilleries",G7220,G722000,Aneurysm of common iliac artery
"Disease of arteries, arterioles and capilleries",G7221,G722100,Aneurysm of external iliac artery
"Disease of arteries, arterioles and capilleries",G7222,G722200,Aneurysm of internal iliac artery
"Disease of arteries, arterioles and capilleries",G727,G727.00,Dissection of iliac artery
"Disease of arteries, arterioles and capilleries",^ESCTCO477851,,Common iliac aneurysm
"Disease of arteries, arterioles and capilleries",G723z,G723z00,Aneurysm of leg artery NOS
"Disease of arteries, arterioles and capilleries",G728-1,G728.11,Dissection of artery of leg
"Disease of arteries, arterioles and capilleries",G728,G728.00,Dissection of artery of lower extremity
"Disease of arteries, arterioles and capilleries",G7236,G723600,Post radiological femoral false aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTPO477861,,Posterior tibial aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTAN477857,,Anterior tibial aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTAN283377,,Aneurysm of artery of lower extremity
"Disease of arteries, arterioles and capilleries",^ESCTAN283378,,Aneurysm of lower limb artery
"Disease of arteries, arterioles and capilleries",^ESCTDO477859,,Dorsalis pedis aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTPO328092,,Popliteal artery aneurysm
"Disease of arteries, arterioles and capilleries",G7231,G723100,Aneurysm of popliteal artery
"Disease of arteries, arterioles and capilleries",G7232,G723200,Aneurysm of anterior tibial artery
"Disease of arteries, arterioles and capilleries",G7234,G723400,Aneurysm of posterior tibial artery
"Disease of arteries, arterioles and capilleries",G7235,G723500,Ruptured popliteal artery aneurysm
"Disease of arteries, arterioles and capilleries",G723,G723.00,Aneurysm of leg artery
"Disease of arteries, arterioles and capilleries",G7230,G723000,Aneurysm of femoral artery
"Disease of arteries, arterioles and capilleries",^ESCTPO601552,,Post-radiological femoral false aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTFE398567,,Femoral artery aneurysm
"Disease of arteries, arterioles and capilleries",G7233,G723300,Aneurysm of dorsalis pedis artery
"Disease of arteries, arterioles and capilleries",G729,G729.00,Aneurysm and dissection of precerebral artery
"Disease of arteries, arterioles and capilleries",^ESCTDI501174,,Dissection of vertebral artery
"Disease of arteries, arterioles and capilleries",G6733,G673300,Vertebral artery dissection
"Disease of arteries, arterioles and capilleries",G72yC,,Vertebral artery aneurysm
"Disease of arteries, arterioles and capilleries",G72yB,G72yB00,Aneurysm of other visceral artery
"Disease of arteries, arterioles and capilleries",^ESCTSU356502,,Superior mesenteric aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTCO419353,,Coeliac artery aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTHE291415,,Hepatic artery aneurysm
"Disease of arteries, arterioles and capilleries",G72y7,G72y700,Aneurysm of coeliac artery
"Disease of arteries, arterioles and capilleries",^ESCTAN589354,,Aneurysm of artery of trunk
"Disease of arteries, arterioles and capilleries",^ESCTCE419354,,Celiac artery aneurysm
"Disease of arteries, arterioles and capilleries",G72yA,G72yA00,Aneurysm of hepatic artery
"Disease of arteries, arterioles and capilleries",G72y5,G72y500,Aneurysm of splenic artery
"Disease of arteries, arterioles and capilleries",G72y9,G72y900,Aneurysm of inferior mesenteric artery
"Disease of arteries, arterioles and capilleries",^ESCTAN419352,,Aneurysm of celiac artery
"Disease of arteries, arterioles and capilleries",^ESCTSP364504,,Splenic artery aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTIN477865,,Inferior mesenteric aneurysm
"Disease of arteries, arterioles and capilleries",G72y8,G72y800,Aneurysm of superior mesenteric artery
"Disease of arteries, arterioles and capilleries",P767-1,P767.11,Cirsoid aneurysm
"Disease of arteries, arterioles and capilleries",Gyu76,Gyu7600,[X]Other specified disorders of arteries and arterioles
"Disease of arteries, arterioles and capilleries",G77z,G77z.00,Other and unspecified diseases of capillaries
"Disease of arteries, arterioles and capilleries",G7y,G7y..00,"Other specified arterial, arteriole or capillary disease"
"Disease of arteries, arterioles and capilleries",G7713,G771300,Telangiectasia
"Disease of arteries, arterioles and capilleries",G7710-2,G771012,Stellar naevus
"Disease of arteries, arterioles and capilleries",^ESCTSP477924,,Spider telangiectasis of skin
"Disease of arteries, arterioles and capilleries",^ESCTSP477923,,Spider angioma of skin
"Disease of arteries, arterioles and capilleries",^ESCTNA477916,,Naevus araneus of skin
"Disease of arteries, arterioles and capilleries",^ESCTSE477928,,Senile nevus
"Disease of arteries, arterioles and capilleries",^ESCTSE258010,,Senile naevus of skin
"Disease of arteries, arterioles and capilleries",^ESCTSE258003,,Senile ectasia
"Disease of arteries, arterioles and capilleries",G7712,G771200,Campbell de Morgan's spots
"Disease of arteries, arterioles and capilleries",G77,G77..00,Diseases of capillaries
"Disease of arteries, arterioles and capilleries",^ESCTTE477918,,Telangiectatic naevus
"Disease of arteries, arterioles and capilleries",Gyu7,Gyu7.00,"[X]Diseases of arteries, arterioles and capillaries"
"Disease of arteries, arterioles and capilleries",^ESCTSP477925,,Spider telangiectasia
"Disease of arteries, arterioles and capilleries",^ESCTST477914,,Stellar nevus of skin
"Disease of arteries, arterioles and capilleries",^ESCTAR477920,,Arterial spider
"Disease of arteries, arterioles and capilleries",^ESCTCA258007,,Campbell de Morgan angioma
"Disease of arteries, arterioles and capilleries",^ESCTSP477915,,Spider nevus
"Disease of arteries, arterioles and capilleries",^ESCTCA345403,,Capillary disorder
"Disease of arteries, arterioles and capilleries",^ESCTNE477911,,Nevus araneus of skin
"Disease of arteries, arterioles and capilleries",^ESCTBL258008,,Blood spots on skin
"Disease of arteries, arterioles and capilleries",^ESCTSE258009,,Senile nevus of skin
"Disease of arteries, arterioles and capilleries",^ESCTDE258005,,De Morgan's spots
"Disease of arteries, arterioles and capilleries",^ESCTMI345404,,Microangiopathy
"Disease of arteries, arterioles and capilleries",^ESCTCH258004,,Cherry angioma
"Disease of arteries, arterioles and capilleries",G77zz,G77zz00,Disease of capillaries NOS
"Disease of arteries, arterioles and capilleries",G7711,G771100,Senile naevus
"Disease of arteries, arterioles and capilleries",^ESCTCA477922,,Capillary angioma
"Disease of arteries, arterioles and capilleries",^ESCTST477917,,Stellar naevus of skin
"Disease of arteries, arterioles and capilleries",G7-1,G7...11,Capillary disease
"Disease of arteries, arterioles and capilleries",G771,G771.00,Non-neoplastic naevus
"Disease of arteries, arterioles and capilleries",G771z,G771z00,Non-neoplastic naevus NOS
"Disease of arteries, arterioles and capilleries",G7z,G7z..00,"Arterial, arteriole and capillary diseases NOS"
"Disease of arteries, arterioles and capilleries",Gyu77,Gyu7700,[X]Other diseases of capillaries
"Disease of arteries, arterioles and capilleries",G7710,G771000,Spider naevus
"Disease of arteries, arterioles and capilleries",Gyu7B,Gyu7B00,"[X]Oth disorders/arteries,arterioles+capillaries/diseases CE"
"Disease of arteries, arterioles and capilleries",G7710-1,G771011,Araneus naevus
"Disease of arteries, arterioles and capilleries",^ESCTAR477921,,Arterial spider of skin
"Disease of arteries, arterioles and capilleries",^ESCTSP477912,,Spider nevus of skin
"Disease of arteries, arterioles and capilleries",^ESCTSE258002,,Senile angioma
"Disease of arteries, arterioles and capilleries",^ESCTSP477919,,Spider naevus of skin
"Disease of arteries, arterioles and capilleries",^ESCTNO477909,,Non-neoplastic nevus
"Disease of arteries, arterioles and capilleries",^ESCTSP477926,,Spider angioma
"Disease of arteries, arterioles and capilleries",G7,G7...00,"Arterial, arteriole and capillary disease"
"Disease of arteries, arterioles and capilleries",^ESCTTE477913,,Telangiectatic nevus
"Disease of arteries, arterioles and capilleries",^ESCTCA320370,,Capillary hemorrhage
"Disease of arteries, arterioles and capilleries",G77z1,G77z100,Capillary hyperpermeability
"Disease of arteries, arterioles and capilleries",G77z2,G77z200,Capillary thrombosis
"Disease of arteries, arterioles and capilleries",G77z0,G77z000,Capillary haemorrhage
"Disease of arteries, arterioles and capilleries",G77z3,G77z300,Capillaritis
"Disease of arteries, arterioles and capilleries",G716,G716.00,Aortic aneurysm without mention of rupture NOS
"Disease of arteries, arterioles and capilleries",G71z,G71z.00,Aortic aneurysm NOS
"Disease of arteries, arterioles and capilleries",^ESCTAA359596,,AA - Aortic aneurysm
"Disease of arteries, arterioles and capilleries",^ESCTAN359595,,Aneurysm of aorta
"Disease of arteries, arterioles and capilleries",Gyu71,Gyu7100,"[X]Aortic aneurysm of unspecified site, ruptured"
"Disease of arteries, arterioles and capilleries",Gyu72,Gyu7200,"[X]Aortic aneurysm of unspecified site, nonruptured"
"Disease of arteries, arterioles and capilleries",G71,G71..00,Aortic aneurysm
"Disease of arteries, arterioles and capilleries",Gyu78,Gyu7800,[X]Aneurysm of aorta in diseases classified elsewhere
"Disease of arteries, arterioles and capilleries",^ESCTPE663222,,Peripheral arterial occlusive disease
"Disease of arteries, arterioles and capilleries",^ESCTPE663225,,Peripheral angiopathy
"Disease of arteries, arterioles and capilleries",^ESCTPA663223,,PAOD - Peripheral arterial occlusive disease
"Disease of arteries, arterioles and capilleries",G734,G734.00,Peripheral arterial disease
"Disease of arteries, arterioles and capilleries",^ESCTPE663227,,Peripheral artery occlusive disease
"Disease of arteries, arterioles and capilleries",^ESCTPV663226,,PVD - Peripheral vascular disease
"Disease of arteries, arterioles and capilleries",L188,L188.00,Abnormal glucose tolerance test in pregnancy/childb/puerp
"Disease of arteries, arterioles and capilleries",L184,L184.00,"Mental disorders in pregnancy, childbirth and the puerperium"
"Disease of arteries, arterioles and capilleries",L18,L18..00,Other medical condition in pregnancy/childbirth/puerperium
"Disease of arteries, arterioles and capilleries",L254,L254.00,Fetus with damage due to other maternal disease
"Disease of arteries, arterioles and capilleries",L183,L183.00,"Drug dependence in pregnancy, childbirth and the puerperium"
"Disease of arteries, arterioles and capilleries",L181,L181.00,Thyroid dysfunction in pregnancy/childbirth/puerperium
"Disease of arteries, arterioles and capilleries",L281,L281.00,Premature rupture of membranes
"Disease of arteries, arterioles and capilleries",L28,L28..00,Other problems of amniotic cavity and membranes
"Disease of arteries, arterioles and capilleries",L189,L189.00,"Dis resp syst comp pregnancy, childbirth & puerperium"
"Disease of arteries, arterioles and capilleries",L282,L282.00,Prolonged spontaneous or unspecified rupture of membranes
"Disease of arteries, arterioles and capilleries",L27,L27..00,Polyhydramnios and hydramnios
"Disease of arteries, arterioles and capilleries",L192,L192.00,Continuing preg after intrauterine death one fetus or more
