Condition,OriginalReadCode,CleansedReadCode,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",Gyu81,Gyu8100,[X]Phlebitis and thombophlebitis of other sites
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G8002,G800200,Phlebitis of a superficial leg vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G8005,G800500,Thrombophlebitis of a superficial leg vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G800z,G800z00,Superficial phlebitis and thrombophlebitis of the leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G8015,G801500,Deep vein phlebitis of the leg unspecified
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G80y3,G80y300,Phlebitis of the iliac vein unspecified
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G80z0,G80z000,Phlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G80z1,G80z100,Thrombophlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G82,G82..00,Other venous embolism and thrombosis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G82zz,G82zz00,Embolism and thrombosis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G80y,G80y.00,Other phlebitis and thrombophlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G82z1,G82z100,Thrombosis of vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G8003,G800300,Thrombophlebitis of the long saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G8004,G800400,Thrombophlebitis of the short saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G800,G800.00,Superficial vessel phlebitis and/or thrombophlebitis of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G80z,G80z.00,Phlebitis and thrombophlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTTH314825,,Thrombophlebitis of superficial veins of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",G82z,G82z.00,Embolism and thrombosis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCT1210281,,Phlebitis of dorsal venous arch of foot
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTON458318,,On examination - phlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTPH505923,,Phlebitis of saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTVE709832,,Venous thromboembolic disease
