Condition,OriginalReadCode,CleansedReadCode,Term
"Organic, including symptomatic, mental disorders",Eu0z,Eu0z.00,[X]Unspecified organic or symptomatic mental disorder
"Organic, including symptomatic, mental disorders",Eu06z-1,Eu06z11,[X]Organic psychosyndrome
"Organic, including symptomatic, mental disorders",E2Ay,E2Ay.00,Other specific mental disorder post-organic brain damage
"Organic, including symptomatic, mental disorders",Eu04,Eu04.00,"[X]Delirium, not induced by alcohol+other psychoactive subs"
"Organic, including symptomatic, mental disorders",Eu05y-1,Eu05y11,[X]Epileptic psychosis NOS
"Organic, including symptomatic, mental disorders",Eu05z-2,Eu05z12,[X]Organic mental disorder NOS
"Organic, including symptomatic, mental disorders",Eu0z-1,Eu0z.11,[X]Organic psychosis NOS
"Organic, including symptomatic, mental disorders",Eu06y,Eu06y00,[X]Oth organ personality behav disorders brain dis dam dysf
"Organic, including symptomatic, mental disorders",Eu05y,Eu05y00,[X]Oth sp mental disord brain damag/dysfunction/physcal disd
"Organic, including symptomatic, mental disorders",Eu06,Eu06.00,[X]Personality and behav disorder brain dis dam and dysfunct
"Organic, including symptomatic, mental disorders",Eu06z,Eu06z00,[X]Unspec organ personality behav disorder brain dam dysfunc
"Organic, including symptomatic, mental disorders",Eu0,Eu0..00,"[X]Organic, including symptomatic, mental disorders"
"Organic, including symptomatic, mental disorders",Eu05z,Eu05z00,[X]Unspec mental disorder brain damag/dysfunction/physcal dr
"Organic, including symptomatic, mental disorders",Eu05z-1,Eu05z11,[X]Organic brain syndrome NOS
"Organic, including symptomatic, mental disorders",Eu05,Eu05.00,[X]Oth mental disorder brain damag/dysfunction/physical disr
"Organic, including symptomatic, mental disorders",E004z,E004z00,Arteriosclerotic dementia NOS
"Organic, including symptomatic, mental disorders",Eu01-1,Eu01.11,[X]Arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",Eu011,Eu01100,[X]Multi-infarct dementia
"Organic, including symptomatic, mental disorders",Eu01,Eu01.00,[X]Vascular dementia
"Organic, including symptomatic, mental disorders",Eu011-1,Eu01111,[X]Predominantly cortical dementia
