Condition,OriginalReadCode,CleansedReadCode,Term
Other forms of heart disease,G53,G53..00,Other diseases of pericardium
Other forms of heart disease,G531z,G531z00,Adhesive pericarditis NOS
Other forms of heart disease,Gyu51,Gyu5100,[X]Other specified diseases of pericardium
Other forms of heart disease,Gyu54,Gyu5400,[X]Pericarditis in other diseases classified elsewhere
Other forms of heart disease,^ESCTPE340739,,Pericardial disorder
Other forms of heart disease,G53yz,G53yz00,Other specified pericardial disease NOS
Other forms of heart disease,G53z,G53z.00,Other pericardial disease NOS
Other forms of heart disease,G531,G531.00,Adhesive pericarditis
Other forms of heart disease,G53y,G53y.00,Other diseases of pericardium OS
Other forms of heart disease,^ESCTAD310733,,Adherent pericardium
Other forms of heart disease,G532z,G532z00,Constrictive pericarditis NOS
Other forms of heart disease,G5321,G532100,Pick's disease of heart
Other forms of heart disease,^ESCTPI389147,,Pick syndrome of heart
Other forms of heart disease,G532,G532.00,Constrictive pericarditis
Other forms of heart disease,G53y0,G53y000,Calcification of pericardium
Other forms of heart disease,^ESCTPI389148,,Pick disease of heart
Other forms of heart disease,^ESCTHA287343,,Haematopericardium
Other forms of heart disease,^ESCTHE287342,,Hematopericardium
Other forms of heart disease,^ESCTHE287341,,Hemopericardium
Other forms of heart disease,G530,G530.00,Haemopericardium
Other forms of heart disease,G5401,G540100,"Mitral incompetence, cause unspecified"
Other forms of heart disease,G11z,G11z.00,Mitral valve disease NOS
Other forms of heart disease,^ESCTHE556009,,Heart valve disorders - non-rheumatic
Other forms of heart disease,^ESCTMI328853,,Mitral insufficiency
Other forms of heart disease,Gyu55,Gyu5500,[X]Other nonrheumatic mitral valve disorders
Other forms of heart disease,^ESCTNO556008,,Non-rheumatic heart valve disorder
Other forms of heart disease,^ESCTMR328852,,MR - Mitral regurgitation
Other forms of heart disease,^ESCTMV268873,,MVD - Mitral valve disease
Other forms of heart disease,G5400-99,G540099,Non-rheum. mitral incompetence
Other forms of heart disease,G540z,G540z00,Mitral valve disorders NOS
Other forms of heart disease,Gyu10,Gyu1000,[X]Other mitral valve diseases
Other forms of heart disease,^ESCTMI328851,,MI - Mitral incompetence
Other forms of heart disease,^ESCTNO477674,,Non-rheumatic mitral regurgitation
