Condition,OriginalReadCode,CleansedReadCode,Term
Spondylolisthesis  ,7J341-2,7J34112,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,7J48K,7J48K00,Reduction of spondylolisthesis and fusion
Spondylolisthesis  ,7J48L,7J48L00,Fusion spondylolisthesis in situ
Spondylolisthesis  ,N384,N384.00,Acquired spondylolisthesis
Spondylolisthesis  ,N3840,N384000,Dysplastic spondylolisthesis
Spondylolisthesis  ,N3841,N384100,Isthmic spondylolisthesis
Spondylolisthesis  ,N3842,N384200,Degenerative spondylolisthesis
Spondylolisthesis  ,N3843,N384300,Pedicular spondylolisthesis
Spondylolisthesis  ,Zw046,Zw04600,[Q] Spondylolisthesis grade 1
Spondylolisthesis  ,Zw047,Zw04700,[Q] Spondylolisthesis grade 2
Spondylolisthesis  ,Zw048,Zw04800,[Q] Spondylolisthesis grade 3
Spondylolisthesis  ,Zw049,Zw04900,[Q] Spondylolisthesis grade 4
