Condition,OriginalReadCode,CleansedReadCode,Term
Tuberculosis,A16,A16..00,Tuberculosis of genitourinary system
Tuberculosis,J65,J65..00,Other gallbladder disorders
Tuberculosis,A17,A17..00,Tuberculosis of other organs
Tuberculosis,A15,A15..00,Tuberculosis of bones and joints
Tuberculosis,B90,B90..00,Neop uncertain behaviour of digestive and respiratory system
Tuberculosis,A18,A18..00,Miliary tuberculosis
Tuberculosis,A19,A19..00,Disseminated tuberculosis
Tuberculosis,A151,A151.00,Tuberculosis of hip
Tuberculosis,A167,A167.00,Tuberculosis of other female genital organs
Tuberculosis,A1202,A120200,Tuberculous hydrothorax
Tuberculosis,A1242,A124200,"Tuberculosis of lung, confirmed histologically"
Tuberculosis,A14,A14..00,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Tuberculosis,A1702,A170200,Tuberculosis - scrofuloderma
Tuberculosis,N3040,N304000,Tuberculosis of cervical spine
Tuberculosis,ZV12A,ZV12A00,[V] Personal history of pulmonary tuberculosis
Tuberculosis,N304-1,N304.11,Tuberculosis of spine
Tuberculosis,A178,A178.00,Tuberculosis oesophagus
Tuberculosis,N3061,N306100,Tuberculosis of the bones of the shoulder region
Tuberculosis,A12,A12..00,Other respiratory tuberculosis
Tuberculosis,14P9,14P9.00,History of tuberculosis drug therapy
Tuberculosis,A124,A124.00,Resp TB bacteriologically and histologically confirmed
Tuberculosis,A1722,A172200,Tuberculous adenitis
Tuberculosis,A1650,A165000,Tuberculosis of prostate
Tuberculosis,A15-2,A15..12,Tuberculous arthritis
Tuberculosis,J5502,J550200,Peritonitis - tuberculous
Tuberculosis,A1660,A166000,Tuberculous oophoritis
Tuberculosis,A1246,A124600,"Tuberculous pleurisy, conf bacteriologically/histologically"
Tuberculosis,F4A55,F4A5500,Keratitis due to tuberculosis
Tuberculosis,A134,A134.00,Tuberculoma of spinal cord
Tuberculosis,A173,A173.00,Tuberculosis of eye
Tuberculosis,65Y9-1,65Y9.11,Latent tuberculosis
Tuberculosis,A13,A13..00,Tuberculosis of meninges and central nervous system
Tuberculosis,A121,A121.00,Tuberculosis of intrathoracic lymph nodes
Tuberculosis,A116,A116.00,Tuberculous pneumonia
Tuberculosis,A1212,A121200,Tuberculosis of tracheobronchial lymph nodes
Tuberculosis,A1244,A124400,TB intrathoracic lymph nodes confirm bact histologically
Tuberculosis,A1201,A120100,Tuberculous empyema
Tuberculosis,A1211,A121100,Tuberculosis of mediastinal lymph nodes
Tuberculosis,A130,A130.00,Tuberculous meningitis
Tuberculosis,A1710,A171000,Bazin's disease - erythema induratum - TB hypersensitivity
Tuberculosis,A15-1,A15..11,Tuberculous osteomylelytis
Tuberculosis,A135,A135.00,Tuberculous abscess of spinal cord
Tuberculosis,A100,A100.00,Primary tuberculous complex
Tuberculosis,A150,A150.00,Tuberculosis of vertebral column - Pott's
Tuberculosis,65V9-1,65V9.11,TB - tuberculosis notification
Tuberculosis,A172,A172.00,Tuberculosis of peripheral lymph nodes
Tuberculosis,A11,A11..00,Pulmonary tuberculosis
Tuberculosis,A140,A140.00,Tuberculous peritonitis
Tuberculosis,A170,A170.00,Tuberculosis of skin and subcutaneous tissue
Tuberculosis,N3041,N304100,Tuberculosis of thoracic spine
Tuberculosis,F0406,F040600,Tuberculous intracranial abscess
Tuberculosis,A171,A171.00,Tuberculosis with erythema nodosum hypersensitivity reaction
Tuberculosis,A1361,A136100,Tuberculous myelitis
Tuberculosis,N304,N304.00,Tuberculosis of spine (Pott's)
Tuberculosis,N3043,N304300,Tuberculosis of sacrum/coccyx
Tuberculosis,A1711,A171100,Tuberculous erythema nodosum
Tuberculosis,A132,A132.00,Tuberculoma of brain
Tuberculosis,A111,A111.00,Nodular lung tuberculosis
Tuberculosis,A152,A152.00,Tuberculosis of knee
Tuberculosis,A1210,A121000,Tuberculosis of hilar lymph nodes
Tuberculosis,N3051,N305100,Tuberculosis of the upper arm bone
Tuberculosis,A101,A101.00,Tuberculous pleurisy in primary progressive tuberculosis
Tuberculosis,A174,A174.00,Tuberculosis of ear
Tuberculosis,A154,A154.00,Tuberculous mastoiditis
Tuberculosis,A131,A131.00,Tuberculoma of meninges
Tuberculosis,A125,A125.00,Respiratory TB not confirmed bact or histologically
Tuberculosis,A1301,A130100,Tuberculosis of spinal meninges
Tuberculosis,A177,A177.00,Tuberculosis spleen
Tuberculosis,A176,A176.00,Tuberculosis of adrenal glands - Addison's disease
Tuberculosis,F0413,F041300,Tuberculous intraspinal abscess
Tuberculosis,AE04,AE04.00,Late effects of tuberculosis of other specified organs
Tuberculosis,AE0,AE0..00,Late effects of tuberculosis
Tuberculosis,A123,A123.00,Tuberculous laryngitis
Tuberculosis,A1706,A170600,Tuberculosis lichenoides
Tuberculosis,A1705,A170500,Tuberculosis cutis
Tuberculosis,N3054,N305400,Tuberculosis of the lower leg bone
Tuberculosis,A163,A163.00,Tuberculosis of other urinary organs
Tuberculosis,A1601,A160100,Tuberculous pyelitis
Tuberculosis,A1721,A172100,Scrofulous tuberculous abscess
Tuberculosis,A112,A112.00,Tuberculosis of lung with cavitation
Tuberculosis,A1,A1...00,Tuberculosis
Tuberculosis,A1652,A165200,Tuberculosis of testis
Tuberculosis,A10,A10..00,Primary tuberculous infection
Tuberculosis,A113,A113.00,Tuberculosis of bronchus
Tuberculosis,A110,A110.00,Infiltrative lung tuberculosis
Tuberculosis,A1700,A170000,Tuberculosis - lupus exedens
Tuberculosis,A1703,A170300,Tuberculosis - lupus NOS
Tuberculosis,A164,A164.00,Tuberculosis of epididymis
Tuberculosis,65Y2,65Y2.00,Streptomycin resistant tuberculosis
Tuberculosis,A1300,A130000,Tuberculosis of cerebral meninges
