Condition,ReadCode,CleansedReadCode,Term
Cerebrovascular disease,ZV125-1,ZV12511,History of cerebrovascular accident
Cerebrovascular disease,14A7,14A7.00,History of cerebrovascular accident
Cerebrovascular disease,14A7-1,14A7.11,History of cerebrovascular accident
Cerebrovascular disease,14A7-2,14A7.12,History of cerebrovascular accident
Cerebrovascular disease,ZV125-1,ZV12511,H/O: CVA
Cerebrovascular disease,14A7,14A7.00,H/O: CVA
Cerebrovascular disease,14A7-1,14A7.11,H/O: CVA
Cerebrovascular disease,14A7-2,14A7.12,H/O: CVA
Cerebrovascular disease,ZV125-1,ZV12511,H/O: stroke
Cerebrovascular disease,14A7,14A7.00,H/O: stroke
Cerebrovascular disease,14A7-1,14A7.11,H/O: stroke
Cerebrovascular disease,14A7-2,14A7.12,H/O: stroke
Cerebrovascular disease,14AB,14AB.00,H/O: TIA
Cerebrovascular disease,^ESCTHI454059,,H/O: TIA
Cerebrovascular disease,^ESCTHI957729,,H/O amaurosis fugax
Cerebrovascular disease,14AB0,14AB000,H/O amaurosis fugax
Cerebrovascular disease,^ESCTHI597452,,H/O: Stroke in last year
Cerebrovascular disease,14AK,14AK.00,H/O: Stroke in last year
Cerebrovascular disease,G655,G655.00,Transient global amnesia
Cerebrovascular disease,^ESCTTG501184,,Transient global amnesia
Cerebrovascular disease,1B1S,1B1S.00,Transient global amnesia
Cerebrovascular disease,^ESCTCP559704,,Central post-stroke pain
Cerebrovascular disease,1M4,1M4..00,Central post-stroke pain
Cerebrovascular disease,661M7,661M700,Stroke self-management plan agreed
Cerebrovascular disease,661N7,661N700,Stroke self-management plan review
Cerebrovascular disease,^ESCTCE751944,,CVA annual review
Cerebrovascular disease,662e,662e.00,CVA annual review
Cerebrovascular disease,662e-1,662e.11,CVA annual review
Cerebrovascular disease,^ESCTCE751944,,Stroke annual review
Cerebrovascular disease,662e,662e.00,Stroke annual review
Cerebrovascular disease,662e-1,662e.11,Stroke annual review
Cerebrovascular disease,662M,662M.00,Stroke monitoring
Cerebrovascular disease,^ESCTCE819542,,Stroke 6 month review
Cerebrovascular disease,^ESCTST819543,,Stroke 6 month review
Cerebrovascular disease,662M1,662M100,Stroke 6 month review
Cerebrovascular disease,662M2,662M200,Stroke initial post discharge review
Cerebrovascular disease,7P242,7P24200,Delivery of rehabilitation for stroke
Cerebrovascular disease,8CRB,8CRB.00,Transient ischaemic attack clinical management plan
Cerebrovascular disease,^ESCT1166521,,Transient ischaemic attack clinical management plan
Cerebrovascular disease,8HHM,8HHM.00,Referral to multidisciplinary stroke function improvement service
Cerebrovascular disease,8IEC,8IEC.00,Referral for multidisciplinary stroke function improvement declined
Cerebrovascular disease,9h2,9h2..00,Exception reporting - stroke quality indicators
Cerebrovascular disease,9h21,9h21.00,Excepted from stroke quality indicators - patient unsuitable
Cerebrovascular disease,9h22,9h22.00,Excepted from stroke quality indicators - informed dissent
Cerebrovascular disease,^ESCTAM393050,,Amaurosis fugax
Cerebrovascular disease,^ESCTTR393049,,Amaurosis fugax
Cerebrovascular disease,^ESCTAF393047,,Amaurosis fugax
Cerebrovascular disease,^ESCTMO393046,,Amaurosis fugax
Cerebrovascular disease,F4236,F423600,Amaurosis fugax
Cerebrovascular disease,^ESCTAF393048,,Amaurosis fugax
Cerebrovascular disease,G65y,G65y.00,Transient cerebral ischemia
Cerebrovascular disease,Fyu55,Fyu5500,Transient cerebral ischemia
Cerebrovascular disease,G65z,G65z.00,Transient cerebral ischemia
Cerebrovascular disease,^ESCTTI549220,,Transient cerebral ischemia
Cerebrovascular disease,^ESCTTE549218,,Transient cerebral ischemia
Cerebrovascular disease,^ESCTTR549222,,Transient cerebral ischemia
Cerebrovascular disease,G65-2,G65..12,Transient cerebral ischemia
Cerebrovascular disease,G65,G65..00,Transient cerebral ischemia
Cerebrovascular disease,^ESCT1192012,,Transient cerebral ischemia
Cerebrovascular disease,G65zz,G65zz00,Transient cerebral ischemia
Cerebrovascular disease,^ESCTTI549217,,Transient cerebral ischemia
Cerebrovascular disease,G65-99,G65..99,Transient cerebral ischemia
Cerebrovascular disease,Fyu56,Fyu5600,Lacunar infarction
Cerebrovascular disease,^ESCTLA501116,,Lacunar infarction
Cerebrovascular disease,^ESCTLA501117,,Lacunar infarction
Cerebrovascular disease,^ESCTLI501118,,Lacunar infarction
Cerebrovascular disease,G63-1,G63..11,Infarction - precerebral
Cerebrovascular disease,G63y0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries
Cerebrovascular disease,G63y1,G63y100,Cerebral infarction due to embolism of precerebral arteries
Cerebrovascular disease,^ESCTOC281882,,Cerebral arterial occlusion
Cerebrovascular disease,Gyu63,Gyu6300,Cerebral arterial occlusion
Cerebrovascular disease,G6X,G6X..00,Cerebral arterial occlusion
