Condition,ReadCode,CleansedReadCode,Term
Chronic viral hepatitis,7Q052,7Q05200,Hepatitis B treatment drugs Band 1
Chronic viral hepatitis,A703,A703.00,Viral (serum) hepatitis B
Chronic viral hepatitis,A7050,A705000,Viral hepatitis C without mention of hepatic coma
Chronic viral hepatitis,A7051,A705100,Acute delta-(super)infection of hepatitis B carrier
Chronic viral hepatitis,A707,A707.00,Chronic viral hepatitis
Chronic viral hepatitis,A7070,A707000,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,A7071,A707100,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,A7072,A707200,Chronic viral hepatitis C
Chronic viral hepatitis,A7073,A707300,Chronic viral hepatitis B
Chronic viral hepatitis,A707X,A707X00,"Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,A70A,A70A.00,Hepatitis C genotype 1
Chronic viral hepatitis,A70B,A70B.00,Hepatitis C genotype 2
Chronic viral hepatitis,A70C,A70C.00,Hepatitis C genotype 3
Chronic viral hepatitis,A70D,A70D.00,Hepatitis C genotype 4
Chronic viral hepatitis,A70z0,A70z000,Hepatitis C
Chronic viral hepatitis,AyuB1,AyuB100,[X]Other chronic viral hepatitis
Chronic viral hepatitis,AyuB2,AyuB200,"[X]Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,Q4091,Q409100,Congenital hepatitis B infection
