Condition,ReadCode,CleansedReadCode,Term
Chronic lower respiratory diseases,H3...00,H3...00,Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H3...11,H3...11,Chronic obstructive airways disease
Chronic lower respiratory diseases,H31..00,H31..00,Chronic bronchitis
Chronic lower respiratory diseases,H310.00,H310.00,Simple chronic bronchitis
Chronic lower respiratory diseases,H310000,H310000,Chronic catarrhal bronchitis
Chronic lower respiratory diseases,H310z00,H310z00,Simple chronic bronchitis NOS
Chronic lower respiratory diseases,H311.00,H311.00,Mucopurulent chronic bronchitis
Chronic lower respiratory diseases,H311000,H311000,Purulent chronic bronchitis
Chronic lower respiratory diseases,H311100,H311100,Fetid chronic bronchitis
Chronic lower respiratory diseases,H311z00,H311z00,Mucopurulent chronic bronchitis NOS
Chronic lower respiratory diseases,H312.00,H312.00,Obstructive chronic bronchitis
Chronic lower respiratory diseases,H312000,H312000,Chronic asthmatic bronchitis
Chronic lower respiratory diseases,H312011,H312011,Chronic wheezy bronchitis
Chronic lower respiratory diseases,H312100,H312100,Emphysematous bronchitis
Chronic lower respiratory diseases,H312300,H312300,Bronchiolitis obliterans
Chronic lower respiratory diseases,H312z00,H312z00,Obstructive chronic bronchitis NOS
Chronic lower respiratory diseases,H313.00,H313.00,Mixed simple and mucopurulent chronic bronchitis
Chronic lower respiratory diseases,H31y.00,H31y.00,Other chronic bronchitis
Chronic lower respiratory diseases,H31y100,H31y100,Chronic tracheobronchitis
Chronic lower respiratory diseases,H31yz00,H31yz00,Other chronic bronchitis NOS
Chronic lower respiratory diseases,H31z.00,H31z.00,Chronic bronchitis NOS
Chronic lower respiratory diseases,H32..00,H32..00,Emphysema
Chronic lower respiratory diseases,H320.00,H320.00,Chronic bullous emphysema
Chronic lower respiratory diseases,H320000,H320000,Segmental bullous emphysema
Chronic lower respiratory diseases,H320100,H320100,Zonal bullous emphysema
Chronic lower respiratory diseases,H320200,H320200,Giant bullous emphysema
Chronic lower respiratory diseases,H320300,H320300,Bullous emphysema with collapse
Chronic lower respiratory diseases,H320z00,H320z00,Chronic bullous emphysema NOS
Chronic lower respiratory diseases,H321.00,H321.00,Panlobular emphysema
Chronic lower respiratory diseases,H322.00,H322.00,Centrilobular emphysema
Chronic lower respiratory diseases,H32y.00,H32y.00,Other emphysema
Chronic lower respiratory diseases,H32y100,H32y100,Atrophic (senile) emphysema
Chronic lower respiratory diseases,H32y200,H32y200,MacLeod's unilateral emphysema
Chronic lower respiratory diseases,H32yz00,H32yz00,Other emphysema NOS
Chronic lower respiratory diseases,H32z.00,H32z.00,Emphysema NOS
Chronic lower respiratory diseases,H36..00,H36..00,Mild chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H37..00,H37..00,Moderate chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H38..00,H38..00,Severe chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H39..00,H39..00,Very severe chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H3A..00,H3A..00,End stage chronic obstructive airways disease
Chronic lower respiratory diseases,H3y..00,H3y..00,Other specified chronic obstructive airways disease
Chronic lower respiratory diseases,H3y..11,H3y..11,Other specified chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H3z..00,H3z..00,Chronic obstructive airways disease NOS
Chronic lower respiratory diseases,H3z..11,H3z..11,Chronic obstructive pulmonary disease NOS
Chronic lower respiratory diseases,H464000,H464000,Chronic emphysema due to chemical fumes
Chronic lower respiratory diseases,H464100,H464100,Obliterative bronchiolitis due to chemical fumes
Chronic lower respiratory diseases,H583200,,Eosinophilic bronchitis
Chronic lower respiratory diseases,Hyu3000,Hyu3000,[X]Other emphysema
Chronic lower respiratory diseases,Hyu3100,Hyu3100,[X]Other specified chronic obstructive pulmonary disease
Chronic lower respiratory diseases,173A.00,173A.00,Exercise induced asthma
Chronic lower respiratory diseases,173c.00,173c.00,Occupational asthma
Chronic lower respiratory diseases,173d.00,173d.00,Work aggravated asthma
Chronic lower respiratory diseases,1780,1780.00,Aspirin induced asthma
Chronic lower respiratory diseases,1O2..00,1O2..00,Asthma confirmed
