Condition,ReadCode,CleansedReadCode,Term
Conductive and sensorineural hearing loss,,,Age-related hearing loss
Conductive and sensorineural hearing loss,,,Articulatory defect due to conductive hearing loss
Conductive and sensorineural hearing loss,,,Articulatory defect secondary to hearing loss
Conductive and sensorineural hearing loss,,,Articulatory impairment due to conductive hearing loss
Conductive and sensorineural hearing loss,,,CHL - Conductive hearing loss
Conductive and sensorineural hearing loss,,,Cochlear hearing loss
Conductive and sensorineural hearing loss,,,Complete deafness
Conductive and sensorineural hearing loss,,,FHL - Functional hearing loss
Conductive and sensorineural hearing loss,,,Functional hearing loss
Conductive and sensorineural hearing loss,,,Hearing loss NOS
Conductive and sensorineural hearing loss,,,Impaired hearing
Conductive and sensorineural hearing loss,,,Inner ear hearing loss
Conductive and sensorineural hearing loss,,,MHL - Mixed hearing loss
Conductive and sensorineural hearing loss,,,Mixed conductive AND sensorineural hearing loss
Conductive and sensorineural hearing loss,,,Mixed deafness
Conductive and sensorineural hearing loss,,,NIHL - Noise-induced hearing loss
Conductive and sensorineural hearing loss,,,NOHL - Non-organic hearing loss
Conductive and sensorineural hearing loss,,,Non-organic hearing loss
Conductive and sensorineural hearing loss,,,Profound BSNHL (bilateral sensorineural hearing loss)
Conductive and sensorineural hearing loss,,,Reason for referral: Hearing Problems/Loss
Conductive and sensorineural hearing loss,,,Retrocochlear hearing loss
Conductive and sensorineural hearing loss,,,SNHL - Sensorineural hearing loss
Conductive and sensorineural hearing loss,,,Sensorineural deafness
Conductive and sensorineural hearing loss,,,Sensory-neural hearing loss
Conductive and sensorineural hearing loss,,,Severe hearing loss
Conductive and sensorineural hearing loss,,,Unilateral conductive hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,,,Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,,,Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,,,[v]adjustment and management of implanted hearing device
Conductive and sensorineural hearing loss,,,[v]fitting or adjustment of hearing aid
Conductive and sensorineural hearing loss,,,attention to hearing aid
Conductive and sensorineural hearing loss,,,bilateral deafness
Conductive and sensorineural hearing loss,,,changing hearing aid battery
Conductive and sensorineural hearing loss,,,"deaf mutism, nec"
Conductive and sensorineural hearing loss,,,deafness
Conductive and sensorineural hearing loss,,,deafness nos
Conductive and sensorineural hearing loss,,,does use hearing aid
Conductive and sensorineural hearing loss,,,hard of hearing
Conductive and sensorineural hearing loss,,,hearing impaired
Conductive and sensorineural hearing loss,,,hearing impairment
Conductive and sensorineural hearing loss,,,hi - hearing impairment
Conductive and sensorineural hearing loss,,,hl - hearing loss
Conductive and sensorineural hearing loss,,,hoh - hard of hearing
Conductive and sensorineural hearing loss,,,o/e - conductive deafness
Conductive and sensorineural hearing loss,,,partial deafness
Conductive and sensorineural hearing loss,,,unilateral deafness
Conductive and sensorineural hearing loss,,,uses hearing aid
Conductive and sensorineural hearing loss,,,uses hearing loop
Conductive and sensorineural hearing loss,1C13.00,,Deafness
Conductive and sensorineural hearing loss,1C13.11,,Deafness symptom
Conductive and sensorineural hearing loss,1C13100,,Unilateral deafness
Conductive and sensorineural hearing loss,1C13200,,Partial deafness
Conductive and sensorineural hearing loss,1C13300,,Bilateral deafness
Conductive and sensorineural hearing loss,1C17.00,,Hearing aid problem
Conductive and sensorineural hearing loss,2BL..11,,O/E - deaf
Conductive and sensorineural hearing loss,2BL3.00,,O/E - significantly deaf
Conductive and sensorineural hearing loss,2BL4.00,,O/E - very deaf
Conductive and sensorineural hearing loss,2BL5.00,,O/E - completely deaf
Conductive and sensorineural hearing loss,2BM2.11,,O/E - conductive deafness
Conductive and sensorineural hearing loss,2BM3.11,,O/E - perceptive deafness
Conductive and sensorineural hearing loss,2DG..00,,Hearing aid worn
Conductive and sensorineural hearing loss,2DH0.00,,Uses hearing loop
Conductive and sensorineural hearing loss,7308400,,Placement of hearing implant in external ear
Conductive and sensorineural hearing loss,7308500,,Attention to hearing implant in external ear
Conductive and sensorineural hearing loss,7311A00,,Insertn bone anchors subcutaneous bone anchored hearing aid
Conductive and sensorineural hearing loss,7317C00,,Placement of hearing implant in middle ear
Conductive and sensorineural hearing loss,7317D00,,Attention to hearing implant in middle ear
