Condition,ReadCode,CleansedReadCode,Term
Coronary heart disease,14A3,14A3.00,H/O: myocardial infarct at less than 60
Coronary heart disease,^ESCTHI454046,,H/O: myocardial infarct at less than 60
Coronary heart disease,14A4,14A4.00,H/O: myocardial infarct at greater than 60
Coronary heart disease,^ESCTHI454048,,H/O: myocardial infarct at greater than 60
Coronary heart disease,^ESCTHI454050,,H/O: angina pectoris
Coronary heart disease,14A5,14A5.00,H/O: angina pectoris
Coronary heart disease,^ESCTHI597448,,H/O: Myocardial infarction in last year
Coronary heart disease,14AH,14AH.00,H/O: Myocardial infarction in last year
Coronary heart disease,^ESCTHI597450,,H/O: Angina in last year
Coronary heart disease,14AJ,14AJ.00,H/O: Angina in last year
Coronary heart disease,^ESCTHI597455,,H/O: Treatment for ischaemic heart disease
Coronary heart disease,^ESCTHO597454,,H/O: Treatment for ischaemic heart disease
Coronary heart disease,14AL,14AL.00,H/O: Treatment for ischaemic heart disease
Coronary heart disease,^ESCTHI597456,,H/O: Treatment for ischaemic heart disease
Coronary heart disease,^ESCTEX458910,,Exercise ECG abnormal
Coronary heart disease,32131-1,3213111,Exercise ECG abnormal
Coronary heart disease,33B95,33B9500,Exercise ECG abnormal
Coronary heart disease,32131,3213100,Exercise ECG abnormal
Coronary heart disease,^ESCTEX458910,,Positive exercise ECG test
Coronary heart disease,32131-1,3213111,Positive exercise ECG test
Coronary heart disease,33B95,33B9500,Positive exercise ECG test
Coronary heart disease,32131,3213100,Positive exercise ECG test
Coronary heart disease,^ESCTEL458596,,ECG myocardial ischaemia
Coronary heart disease,^ESCTEL458597,,ECG myocardial ischaemia
Coronary heart disease,322,322..00,ECG myocardial ischaemia
Coronary heart disease,3222,3222.00,ECG myocardial ischaemia
Coronary heart disease,^ESCTEK458595,,ECG myocardial ischaemia
Coronary heart disease,322Z,322Z.00,ECG myocardial ischaemia
Coronary heart disease,^ESCTEL458596,,ECG:shows myocardial ischaemia
Coronary heart disease,^ESCTEL458597,,ECG:shows myocardial ischaemia
Coronary heart disease,322,322..00,ECG:shows myocardial ischaemia
Coronary heart disease,3222,3222.00,ECG:shows myocardial ischaemia
Coronary heart disease,^ESCTEK458595,,ECG:shows myocardial ischaemia
Coronary heart disease,322Z,322Z.00,ECG:shows myocardial ischaemia
Coronary heart disease,^ESCTEL458596,,ECG: myocardial ischaemia NOS
Coronary heart disease,^ESCTEL458597,,ECG: myocardial ischaemia NOS
Coronary heart disease,322,322..00,ECG: myocardial ischaemia NOS
Coronary heart disease,3222,3222.00,ECG: myocardial ischaemia NOS
Coronary heart disease,^ESCTEK458595,,ECG: myocardial ischaemia NOS
Coronary heart disease,322Z,322Z.00,ECG: myocardial ischaemia NOS
Coronary heart disease,^ESCTEL458603,,ECG: myocardial infarction
Coronary heart disease,^ESCTEL458604,,ECG: myocardial infarction
Coronary heart disease,323,323..00,ECG: myocardial infarction
Coronary heart disease,323Z,323Z.00,ECG: myocardial infarction
Coronary heart disease,^ESCTEK458605,,ECG: myocardial infarction
Coronary heart disease,^ESCTEC458615,,ECG: antero-septal infarct.
Coronary heart disease,^ESCTAN458611,,ECG: antero-septal infarct.
Coronary heart disease,^ESCTEC458613,,ECG: antero-septal infarct.
Coronary heart disease,3233,3233.00,ECG: antero-septal infarct.
Coronary heart disease,^ESCTEL458614,,ECG: antero-septal infarct.
Coronary heart disease,3234,3234.00,ECG:posterior/inferior infarct
Coronary heart disease,^ESCTEK458617,,ECG:posterior/inferior infarct
Coronary heart disease,^ESCTEL458618,,ECG:posterior/inferior infarct
Coronary heart disease,^ESCTEL458621,,ECG: subendocardial infarct
Coronary heart disease,^ESCTEK458620,,ECG: subendocardial infarct
Coronary heart disease,3235,3235.00,ECG: subendocardial infarct
Coronary heart disease,^ESCTEL458624,,ECG: lateral infarction
Coronary heart disease,^ESCTLA458622,,ECG: lateral infarction
Coronary heart disease,3236,3236.00,ECG: lateral infarction
Coronary heart disease,^ESCTEL458603,,ECG: myocardial infarct NOS
Coronary heart disease,^ESCTEL458604,,ECG: myocardial infarct NOS
Coronary heart disease,323,323..00,ECG: myocardial infarct NOS
Coronary heart disease,323Z,323Z.00,ECG: myocardial infarct NOS
Coronary heart disease,^ESCTEK458605,,ECG: myocardial infarct NOS
Coronary heart disease,32E4,32E4.00,ST depression
Coronary heart disease,^ESCTST291834,,ST depression
Coronary heart disease,^ESCTEL458757,,ECG: T wave abnormal
Coronary heart disease,32F2,32F2.00,ECG: T wave abnormal
Coronary heart disease,^ESCTEK458756,,ECG: T wave abnormal
Coronary heart disease,^ESCTFL358634,,ECG: T wave flattened
Coronary heart disease,32F3,32F3.00,ECG: T wave flattened
Coronary heart disease,32F4,32F4.00,Inverted T wave
Coronary heart disease,^ESCTTW347328,,Inverted T wave
Coronary heart disease,^ESCTEX458910,,Exercise tolerance test abnormal
Coronary heart disease,32131-1,3213111,Exercise tolerance test abnormal
Coronary heart disease,33B95,33B9500,Exercise tolerance test abnormal
Coronary heart disease,32131,3213100,Exercise tolerance test abnormal
Coronary heart disease,^ESCT1248451,,Coronary arteriography abnormal
Coronary heart disease,5543,5543.00,Coronary arteriography abnormal
Coronary heart disease,^ESCTCO461834,,Coronary arteriography abnormal
Coronary heart disease,5C11,5C11.00,Radionuclide heart study abnormal
Coronary heart disease,662K,662K.00,Angina control
Coronary heart disease,662Kz,662Kz00,Angina control
Coronary heart disease,662K0,662K000,Angina control - good
Coronary heart disease,662K1,662K100,Angina control - poor
Coronary heart disease,662K2,662K200,Angina control - improving
Coronary heart disease,662K3,662K300,Angina control - worsening
Coronary heart disease,662K,662K.00,Angina control NOS
Coronary heart disease,662Kz,662Kz00,Angina control NOS
Coronary heart disease,6A2,6A2..00,Coronary heart disease annual review
Coronary heart disease,6A4,6A4..00,Coronary heart disease review
Coronary heart disease,7921-1,7921.11,Coronary artery bypass graft operations
Coronary heart disease,^ESCTCB504010,,Coronary artery bypass graft operations
Coronary heart disease,^ESCTCO504011,,Coronary artery bypass graft operations
