Condition,ReadCode,CleansedReadCode,Term
Dermatitis and eczema,26C4.00,26C4.00,Nipple eczema
Dermatitis and eczema,3355,3355.00,Skin:type 1 immediate reaction
Dermatitis and eczema,C391211,C391211,Thrombocytopenic eczema with immunodeficiency
Dermatitis and eczema,F4D3000,F4D3000,Eczematous eyelid dermatitis
Dermatitis and eczema,F4D3100,F4D3100,Contact or allergic eyelid dermatitis
Dermatitis and eczema,F4D3111,F4D3111,Allergic dermatitis - eyelid
Dermatitis and eczema,F4D3112,F4D3112,Contact eczema - eyelids
Dermatitis and eczema,F4D4.00,F4D4.00,Infective eyelid dermatitis of types resulting in deformity
Dermatitis and eczema,F4D5.00,F4D5.00,Other eyelid infective dermatitis
Dermatitis and eczema,F502411,F502411,Eczema of external ear
Dermatitis and eczema,H330.00,H330.00,Extrinsic (atopic) asthma
Dermatitis and eczema,M07y.11,M07y.11,Pustular eczema
Dermatitis and eczema,M07z.14,M07z.14,Infected dermatitis
Dermatitis and eczema,M1...11,M1...11,Dermatitis/dermatoses
Dermatitis and eczema,M102.00,M102.00,Infectious eczematoid dermatitis
Dermatitis and eczema,M102.11,M102.11,Pustular eczema
Dermatitis and eczema,M104.00,M104.00,Pityriasis simplex
Dermatitis and eczema,M11..00,M11..00,Atopic dermatitis and related conditions
Dermatitis and eczema,M111.00,M111.00,Atopic dermatitis/eczema
Dermatitis and eczema,M112.00,M112.00,Infantile eczema
Dermatitis and eczema,M113.00,M113.00,Flexural eczema
Dermatitis and eczema,M114.00,M114.00,Allergic (intrinsic) eczema
Dermatitis and eczema,M115.00,M115.00,Besnier's prurigo
Dermatitis and eczema,M116.00,M116.00,Neurodermatitis - diffuse
Dermatitis and eczema,M116.11,M116.11,Brocq's neurodermatitis
Dermatitis and eczema,M117.00,M117.00,Neurodermatitis - atopic
Dermatitis and eczema,M119.00,M119.00,Discoid eczema
Dermatitis and eczema,M11A.00,M11A.00,Asteatotic eczema
Dermatitis and eczema,M11z.00,M11z.00,Atopic dermatitis NOS
Dermatitis and eczema,M12..00,M12..00,Contact dermatitis and other eczemas
Dermatitis and eczema,M12..11,M12..11,Contact dermatitis
Dermatitis and eczema,M12..12,M12..12,Contact eczema
Dermatitis and eczema,M12..13,M12..13,Occupational dermatitis
Dermatitis and eczema,M120.00,M120.00,Contact dermatitis due to detergents
Dermatitis and eczema,M121.00,M121.00,Contact dermatitis due to oils and greases
Dermatitis and eczema,M121.11,M121.11,Grease contact dermatitis
Dermatitis and eczema,M121.12,M121.12,Oil contact dermatitis
Dermatitis and eczema,M122.00,M122.00,Contact dermatitis due to solvents
Dermatitis and eczema,M122000,M122000,Contact dermatitis due to chlorocompound
Dermatitis and eczema,M122100,M122100,Contact dermatitis due to cyclohexane
Dermatitis and eczema,M122300,M122300,Contact dermatitis due to glycol
Dermatitis and eczema,M122z00,M122z00,Contact dermatitis due to solvent NOS
Dermatitis and eczema,M123.00,M123.00,Contact dermatitis due to drugs and medicaments
Dermatitis and eczema,M123000,M123000,Contact dermatitis due to arnica
Dermatitis and eczema,M123100,M123100,Contact dermatitis due to fungicides
Dermatitis and eczema,M123200,M123200,Contact dermatitis due to iodine
Dermatitis and eczema,M123300,M123300,Contact dermatitis due to keratolytics
Dermatitis and eczema,M123400,M123400,Contact dermatitis due to mercurials
Dermatitis and eczema,M123500,M123500,Contact dermatitis due to neomycin
Dermatitis and eczema,M123600,M123600,Contact dermatitis due to pediculocides
Dermatitis and eczema,M123700,M123700,Contact dermatitis due to phenols
Dermatitis and eczema,M123800,M123800,Contact dermatitis due to scabicides
Dermatitis and eczema,M123z00,M123z00,Contact dermatitis due to medicament NOS
Dermatitis and eczema,M124.00,M124.00,Contact dermatitis due to other chemical products
Dermatitis and eczema,M124000,M124000,Contact dermatitis due to acids
Dermatitis and eczema,M124100,M124100,Contact dermatitis due to adhesive plaster
Dermatitis and eczema,M124111,M124111,Elastoplast contact dermatitis
Dermatitis and eczema,M124200,M124200,Contact dermatitis due to alkalis
Dermatitis and eczema,M124300,M124300,Contact dermatitis due to caustics
Dermatitis and eczema,M124400,M124400,Contact dermatitis due to dichromate
Dermatitis and eczema,M124500,M124500,Contact dermatitis due to insecticide
Dermatitis and eczema,M124600,M124600,Contact dermatitis due to nylon
Dermatitis and eczema,M124700,M124700,Contact dermatitis due to plastic
Dermatitis and eczema,M124800,M124800,Contact dermatitis due to rubber
Dermatitis and eczema,M124z00,M124z00,Contact dermatitis: other chemicals NOS
Dermatitis and eczema,M125.00,M125.00,Contact dermatitis due to food in contact with skin
Dermatitis and eczema,M125000,M125000,Contact dermatitis due to cereals
Dermatitis and eczema,M125100,M125100,Contact dermatitis due to fish
Dermatitis and eczema,M125200,M125200,Contact dermatitis due to flour
Dermatitis and eczema,M125300,M125300,Contact dermatitis due to fruit
Dermatitis and eczema,M125400,M125400,Contact dermatitis due to meat
Dermatitis and eczema,M125500,M125500,Contact dermatitis due to milk
Dermatitis and eczema,M125z00,M125z00,Contact dermatitis due to food NOS
Dermatitis and eczema,M125z11,M125z11,Egg contact dermatitis
Dermatitis and eczema,M126000,M126000,Contact dermatitis due to lacquer tree
Dermatitis and eczema,M126100,M126100,Contact dermatitis due to poison-ivy
Dermatitis and eczema,M126200,M126200,Contact dermatitis due to poison-oak
Dermatitis and eczema,M126300,M126300,Contact dermatitis due to poison-sumac
Dermatitis and eczema,M126500,M126500,Contact dermatitis due to primrose
Dermatitis and eczema,M126600,M126600,Contact dermatitis due to ragweed
Dermatitis and eczema,M128.00,M128.00,Allergic contact dermatitis
Dermatitis and eczema,M128000,M128000,Allergic contact dermatitis due to adhesives
Dermatitis and eczema,M128100,M128100,Allergic contact dermatitis due to cosmetics
Dermatitis and eczema,M128200,M128200,Allergic contact dermatitis due drugs in contact with skin
Dermatitis and eczema,M128300,M128300,Allergic contact dermatitis due to dyes
Dermatitis and eczema,M128400,M128400,Allergic contact dermatitis due to other chemical products
Dermatitis and eczema,M128500,M128500,Allergic contact dermatitis due to food in contact with skin
Dermatitis and eczema,M129.00,M129.00,Irritant contact dermatitis
Dermatitis and eczema,M129000,M129000,Irritant contact dermatitis due to cosmetics
Dermatitis and eczema,M129100,M129100,Irritant contact dermatitis due drugs in contact with skin
Dermatitis and eczema,M129200,M129200,Irritant contact dermatitis due to other chemical products
Dermatitis and eczema,M129300,M129300,Irritant contact dermatitis due to food in contact with skin
Dermatitis and eczema,M12y.00,M12y.00,Contact dermatitis due to other specified agents
Dermatitis and eczema,M12y000,M12y000,Contact dermatitis due to cosmetics
Dermatitis and eczema,M12y011,M12y011,Lanolin contact dermatitis
Dermatitis and eczema,M12y012,M12y012,Perfume contact dermatitis
Dermatitis and eczema,M12y100,M12y100,Contact dermatitis due to cold weather
Dermatitis and eczema,M12y200,M12y200,Contact dermatitis due to dyes
Dermatitis and eczema,M12y300,M12y300,Contact dermatitis due to furs
Dermatitis and eczema,M12y400,M12y400,Contact dermatitis due to hot weather
Dermatitis and eczema,M12y500,M12y500,Contact dermatitis due to infra-red rays
Dermatitis and eczema,M12y600,M12y600,Contact dermatitis due to jewellery
Dermatitis and eczema,M12y700,M12y700,Contact dermatitis due to light (excluding sunlight)
Dermatitis and eczema,M12y800,M12y800,Contact dermatitis due to metals
Dermatitis and eczema,M12y811,M12y811,Nickel sensitivity
Dermatitis and eczema,M12y900,M12y900,Contact dermatitis due to preservatives
Dermatitis and eczema,M12yA00,M12yA00,Contact dermatitis due to radiation NOS
Dermatitis and eczema,M12yB00,M12yB00,Contact dermatitis due to ultra-violet rays (excluding sun)
Dermatitis and eczema,M12yC00,M12yC00,Contact dermatitis due to x-rays
Dermatitis and eczema,M12yD00,M12yD00,Contact dermatitis due to casting materials
Dermatitis and eczema,M12yz00,M12yz00,Contact dermatitis: specified agent NOS
Dermatitis and eczema,M12z.00,M12z.00,Contact dermatitis NOS
Dermatitis and eczema,M12z000,M12z000,Dermatitis NOS
Dermatitis and eczema,M12z100,M12z100,Eczema NOS
Dermatitis and eczema,M12z111,M12z111,Discoid eczema
Dermatitis and eczema,M12z200,M12z200,Infected eczema
Dermatitis and eczema,M12z300,M12z300,Hand eczema
Dermatitis and eczema,M12z400,M12z400,Erythrodermic eczema
Dermatitis and eczema,M12zz00,M12zz00,Contact dermatitis NOS
Dermatitis and eczema,M13..00,M13..00,Ingestion dermatitis
Dermatitis and eczema,M130.00,M130.00,Ingestion dermatitis due to drugs
Dermatitis and eczema,M130.11,M130.11,Drug induced rash
Dermatitis and eczema,M130000,M130000,Generalized skin eruption due to drugs and medicaments
Dermatitis and eczema,M130100,M130100,Localized skin eruption due to drugs and medicaments
Dermatitis and eczema,M130200,M130200,Drug-induced erythroderma
Dermatitis and eczema,M131.00,M131.00,Ingestion dermatitis due to food
Dermatitis and eczema,M13y.00,M13y.00,Ingestion dermatitis due to other specified substance
Dermatitis and eczema,M13z.00,M13z.00,Ingestion dermatitis NOS
Dermatitis and eczema,M15y200,M15y200,Pityriasis rubra (Hebra)
Dermatitis and eczema,M165000,M165000,Pityriasis alba
Dermatitis and eczema,M173.00,M173.00,Lichen simplex
Dermatitis and eczema,M182.00,M182.00,Prurigo
Dermatitis and eczema,M182000,M182000,Prurigo aestivalis
Dermatitis and eczema,M182200,M182200,Prurigo mitis
Dermatitis and eczema,M182300,M182300,Prurigo simplex
Dermatitis and eczema,M182z00,M182z00,Prurigo NOS
Dermatitis and eczema,M183.00,M183.00,Lichenification and lichen simplex chronicus
Dermatitis and eczema,M183000,M183000,Prurigo nodularis (Hyde's disease)
Dermatitis and eczema,M183100,M183100,Neurodermatitis circumscripta
Dermatitis and eczema,M183200,M183200,Lichen simplex
Dermatitis and eczema,M183z00,M183z00,Lichenification NOS
Dermatitis and eczema,M1y0.00,M1y0.00,Nummular dermatitis
Dermatitis and eczema,M1y1.00,M1y1.00,Cutaneous autosensitization
Dermatitis and eczema,M252.00,M252.00,Dyshidrosis
Dermatitis and eczema,M252000,M252000,Dyshidrosis unspecified
Dermatitis and eczema,M252100,M252100,Pompholyx unspecified
Dermatitis and eczema,M252200,M252200,Cheiropompholyx
Dermatitis and eczema,M252300,M252300,Podopompholyx
Dermatitis and eczema,M252z00,M252z00,Dyshidrosis NOS
Dermatitis and eczema,M2y4100,M2y4100,Menstrual dermatosis
Dermatitis and eczema,Myu2.00,Myu2.00,[X]Dermatitis and eczema
Dermatitis and eczema,Myu2100,Myu2100,[X]Allergic contact dermatitis due to oth chemical products
Dermatitis and eczema,Myu2200,Myu2200,[X]Exacerbation of eczema
Dermatitis and eczema,Myu2300,Myu2300,[X]Allergic contact dermatitis due to other agents
Dermatitis and eczema,Myu2400,Myu2400,[X]Irritant contact dermatitis due to oth chemical products
Dermatitis and eczema,Myu2500,Myu2500,[X]Irritant contact dermatitis due to other agents
Dermatitis and eczema,Myu2600,Myu2600,[X]Unspcfd contact dermatitis due to other chemical products
Dermatitis and eczema,Myu2700,Myu2700,[X]Unspecified contact dermatitis due to other agents
Dermatitis and eczema,Myu2A00,Myu2A00,[X]Other prurigo
Dermatitis and eczema,Myu2C00,Myu2C00,[X]Other specified dermatitis
