Condition,ReadCode,CleansedReadCode,Term
Diabetes,C109.12,C109.12,Type 2 diabetes mellitus
Diabetes,C109.13,C109.13,Type II diabetes mellitus
Diabetes,C109011,C109011,Type II diabetes mellitus with renal complications
Diabetes,C109012,C109012,Type 2 diabetes mellitus with renal complications
Diabetes,C109111,C109111,Type II diabetes mellitus with ophthalmic complications
Diabetes,C109112,C109112,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,C109211,C109211,Type II diabetes mellitus with neurological complications
Diabetes,C109212,C109212,Type 2 diabetes mellitus with neurological complications
Diabetes,C109411,C109411,Type II diabetes mellitus with ulcer
Diabetes,C109412,C109412,Type 2 diabetes mellitus with ulcer
Diabetes,C109511,C109511,Type II diabetes mellitus with gangrene
Diabetes,C109512,C109512,Type 2 diabetes mellitus with gangrene
Diabetes,C109611,C109611,Type II diabetes mellitus with retinopathy
Diabetes,C109612,C109612,Type 2 diabetes mellitus with retinopathy
Diabetes,C109711,C109711,Type II diabetes mellitus - poor control
Diabetes,C109712,C109712,Type 2 diabetes mellitus - poor control
Diabetes,C109A11,C109A11,Type II diabetes mellitus with mononeuropathy
Diabetes,C109B11,C109B11,Type II diabetes mellitus with polyneuropathy
Diabetes,C109C11,C109C11,Type II diabetes mellitus with nephropathy
Diabetes,C109C12,C109C12,Type 2 diabetes mellitus with nephropathy
Diabetes,C109D11,C109D11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,C109D12,C109D12,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,C109E11,C109E11,Type II diabetes mellitus with diabetic cataract
Diabetes,C109E12,C109E12,Type 2 diabetes mellitus with diabetic cataract
Diabetes,C109F11,C109F11,Type II diabetes mellitus with peripheral angiopathy
Diabetes,C109F12,C109F12,Type 2 diabetes mellitus with peripheral angiopathy
Diabetes,C109G11,C109G11,Type II diabetes mellitus with arthropathy
Diabetes,C109G12,C109G12,Type 2 diabetes mellitus with arthropathy
Diabetes,C109H11,C109H11,Type II diabetes mellitus with neuropathic arthropathy
Diabetes,C109H12,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy
Diabetes,C109J00,C109J00,Insulin treated Type 2 diabetes mellitus
Diabetes,C109J12,C109J12,Insulin treated Type II diabetes mellitus
Diabetes,C109K00,C109K00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,C10F.00,C10F.00,Type 2 diabetes mellitus
Diabetes,C10F.11,C10F.11,Type II diabetes mellitus
Diabetes,C10F000,C10F000,Type 2 diabetes mellitus with renal complications
Diabetes,C10F011,C10F011,Type II diabetes mellitus with renal complications
Diabetes,C10F100,C10F100,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,C10F200,C10F200,Type 2 diabetes mellitus with neurological complications
Diabetes,C10F211,C10F211,Type II diabetes mellitus with neurological complications
Diabetes,C10F300,C10F300,Type 2 diabetes mellitus with multiple complications
Diabetes,C10F311,C10F311,Type II diabetes mellitus with multiple complications
Diabetes,C10F400,C10F400,Type 2 diabetes mellitus with ulcer
Diabetes,C10F411,C10F411,Type II diabetes mellitus with ulcer
Diabetes,C10F500,C10F500,Type 2 diabetes mellitus with gangrene
Diabetes,C10F600,C10F600,Type 2 diabetes mellitus with retinopathy
Diabetes,C10F611,C10F611,Type II diabetes mellitus with retinopathy
Diabetes,C10F700,C10F700,Type 2 diabetes mellitus - poor control
Diabetes,C10F711,C10F711,Type II diabetes mellitus - poor control
Diabetes,C10F900,C10F900,Type 2 diabetes mellitus without complication
Diabetes,C10F911,C10F911,Type II diabetes mellitus without complication
Diabetes,C10FA00,C10FA00,Type 2 diabetes mellitus with mononeuropathy
Diabetes,C10FA11,C10FA11,Type II diabetes mellitus with mononeuropathy
Diabetes,C10FB00,C10FB00,Type 2 diabetes mellitus with polyneuropathy
Diabetes,C10FB11,C10FB11,Type II diabetes mellitus with polyneuropathy
Diabetes,C10FC00,C10FC00,Type 2 diabetes mellitus with nephropathy
Diabetes,C10FD00,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,C10FD11,C10FD11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,C10FE00,C10FE00,Type 2 diabetes mellitus with diabetic cataract
Diabetes,C10FE11,C10FE11,Type II diabetes mellitus with diabetic cataract
Diabetes,C10FF00,C10FF00,Type 2 diabetes mellitus with peripheral angiopathy
Diabetes,C10FG00,C10FG00,Type 2 diabetes mellitus with arthropathy
Diabetes,C10FH00,C10FH00,Type 2 diabetes mellitus with neuropathic arthropathy
Diabetes,C10FJ00,C10FJ00,Insulin treated Type 2 diabetes mellitus
Diabetes,C10FJ11,C10FJ11,Insulin treated Type II diabetes mellitus
Diabetes,C10FK00,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,C10FL00,C10FL00,Type 2 diabetes mellitus with persistent proteinuria
Diabetes,C10FL11,C10FL11,Type II diabetes mellitus with persistent proteinuria
Diabetes,C10FM00,C10FM00,Type 2 diabetes mellitus with persistent microalbuminuria
Diabetes,C10FM11,C10FM11,Type II diabetes mellitus with persistent microalbuminuria
Diabetes,C10FN00,C10FN00,Type 2 diabetes mellitus with ketoacidosis
Diabetes,C10FP00,C10FP00,Type 2 diabetes mellitus with ketoacidotic coma
Diabetes,C10FQ00,C10FQ00,Type 2 diabetes mellitus with exudative maculopathy
Diabetes,C10FR00,C10FR00,Type 2 diabetes mellitus with gastroparesis
Diabetes,13AB.00,13AB.00,Diabetic lipid lowering diet
Diabetes,13AC.00,13AC.00,Diabetic weight reducing diet
Diabetes,13B1.00,13B1.00,Diabetic diet
Diabetes,2BBF.00,2BBF.00,Retinal abnormality - diabetes related
Diabetes,2BBL.00,2BBL.00,O/E - diabetic maculopathy present both eyes
Diabetes,2BBM.00,2BBM.00,O/E - diabetic maculopathy absent both eyes
Diabetes,2BBP.00,2BBP.00,O/E - right eye background diabetic retinopathy
Diabetes,2BBQ.00,2BBQ.00,O/E - left eye background diabetic retinopathy
Diabetes,2BBR.00,2BBR.00,O/E - right eye preproliferative diabetic retinopathy
Diabetes,2BBS.00,2BBS.00,O/E - left eye preproliferative diabetic retinopathy
Diabetes,2BBT.00,2BBT.00,O/E - right eye proliferative diabetic retinopathy
