Condition,ReadCode,CleansedReadCode,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTHI454057,,H/O: varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",14A9,14A9.00,H/O: varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTON455693,,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2482,2482.00,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTLY759748,,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",38Q3,38Q3.00,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTLY759747,,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTCO590591,,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A661-1,7A66111,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTSU590590,,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A661-2,7A66112,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTCO590591,,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A661-1,7A66111,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTSU590590,,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A661-2,7A66112,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTLI274763,,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTLO274764,,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67,7A67.00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67-99,7A67.99,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67y,7A67y00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67z,7A67z00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A672,7A67200,Ligation of recurrent varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A673-1,7A67311,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A673,7A67300,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A673-1,7A67311,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A673,7A67300,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTLI274763,,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",^ESCTLO274764,,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67,7A67.00,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67-99,7A67.99,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67y,7A67y00,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7A67z,7A67z00,Other specified ligation of varicose vein of leg
