Condition,ReadCode,CleansedReadCode,Term
Disorders of the prostate,,,O/E - PR - Diffusely enlarged prostate
Disorders of the prostate,,,[RFC] Enlarged prostate
Disorders of the prostate,,,bph - benign prostatic hypertrophy
Disorders of the prostate,1AA..00,,Prostatism
Disorders of the prostate,K20..00,,Benign prostatic hypertrophy
Disorders of the prostate,K20..14,,Enlarged prostate - benign
Disorders of the prostate,K20..15,,BPH - benign prostatic hypertrophy
Disorders of the prostate,K20..16,,Prostatism
Disorders of the prostate,K200.00,,Prostatic hyperplasia unspecified
Disorders of the prostate,K201.00,,Prostatic hyperplasia of the lateral lobe
Disorders of the prostate,K202.00,,Prostatic hyperplasia of the medial lobe
Disorders of the prostate,K20z.00,,Prostatic hyperplasia NOS
