Condition,ReadCode,CleansedReadCode,Term
Disorders of thryoid gland,212P.00,212P.00,Hyperthyroidism resolved
Disorders of thryoid gland,66B..00,66B..00,Thyroid disease monitoring
Disorders of thryoid gland,66B4.00,66B4.00,Thyroid eye disease
Disorders of thryoid gland,66BZ.00,66BZ.00,Thyroid disease monitoring NOS
Disorders of thryoid gland,9Oj0.00,9Oj0.00,Hypothyroidism monitoring first letter
Disorders of thryoid gland,9Oj1.00,9Oj1.00,Hypothyroidism monitoring second letter
Disorders of thryoid gland,9Oj2.00,9Oj2.00,Hypothyroidism monitoring third letter
Disorders of thryoid gland,9Oj3.00,9Oj3.00,Hypothyroidism monitoring verbal invite
Disorders of thryoid gland,C02..00,C02..00,Thyrotoxicosis
Disorders of thryoid gland,C02..11,C02..11,Hyperthyroidism
Disorders of thryoid gland,C02..12,C02..12,Toxic goitre
Disorders of thryoid gland,C020.00,C020.00,Toxic diffuse goitre
Disorders of thryoid gland,C020.11,C020.11,Basedow's disease
Disorders of thryoid gland,C020.12,C020.12,Graves' disease
Disorders of thryoid gland,C020200,C020200,Thyroid-associated dermopathy
Disorders of thryoid gland,C020z00,C020z00,Toxic diffuse goitre NOS
Disorders of thryoid gland,C021.00,C021.00,Toxic uninodular goitre
Disorders of thryoid gland,C021z00,C021z00,Toxic uninodular goitre NOS
Disorders of thryoid gland,C022.00,C022.00,Toxic multinodular goitre
Disorders of thryoid gland,C022z00,C022z00,Toxic multinodular goitre NOS
Disorders of thryoid gland,C023.00,C023.00,Toxic nodular goitre unspecified
Disorders of thryoid gland,C023z00,C023z00,Toxic nodular goitre NOS
Disorders of thryoid gland,C02y.00,C02y.00,Thyrotoxicosis of other specified origin
Disorders of thryoid gland,C02yz00,C02yz00,Thyrotoxicosis of other specified origin NOS
Disorders of thryoid gland,C02z.00,C02z.00,Thyrotoxicosis without mention of goitre or other cause
Disorders of thryoid gland,C02zz00,C02zz00,Thyrotoxicosis NOS
Disorders of thryoid gland,C04..00,C04..00,Acquired hypothyroidism
Disorders of thryoid gland,C04..11,C04..11,Myxoedema
Disorders of thryoid gland,C04..12,C04..12,Thyroid deficiency
Disorders of thryoid gland,C04..13,C04..13,Hypothyroidism
Disorders of thryoid gland,C040.00,C040.00,Postsurgical hypothyroidism
Disorders of thryoid gland,C040.11,C040.11,Post ablative hypothyroidism
Disorders of thryoid gland,C041.00,C041.00,Other postablative hypothyroidism
Disorders of thryoid gland,C041000,C041000,Irradiation hypothyroidism
Disorders of thryoid gland,C041z00,C041z00,Postablative hypothyroidism NOS
Disorders of thryoid gland,C043.00,C043.00,Other iatrogenic hypothyroidism
Disorders of thryoid gland,C043z00,C043z00,Iatrogenic hypothyroidism NOS
Disorders of thryoid gland,C046.00,C046.00,Autoimmune myxoedema
Disorders of thryoid gland,C04y.00,C04y.00,Other acquired hypothyroidism
Disorders of thryoid gland,C04z.00,C04z.00,Hypothyroidism NOS
Disorders of thryoid gland,C04z.11,C04z.11,Pretibial myxoedema - hypothyroid
Disorders of thryoid gland,C04z.12,C04z.12,Thyroid insufficiency
Disorders of thryoid gland,C04z.13,C04z.13,"Hypothyroid goitre, acquired"
Disorders of thryoid gland,C04z000,C04z000,Premature puberty due to hypothyroidism
Disorders of thryoid gland,C04z100,C04z100,Myxoedema coma
Disorders of thryoid gland,C05..00,C05..00,Thyroiditis
Disorders of thryoid gland,C052.00,C052.00,Chronic lymphocytic thyroiditis
Disorders of thryoid gland,C052.11,C052.11,Autoimmune thyroiditis
Disorders of thryoid gland,C052.12,C052.12,Hashimoto's disease
Disorders of thryoid gland,C053.00,C053.00,Chronic fibrous thyroiditis
Disorders of thryoid gland,C05y.00,C05y.00,Other and unspecified chronic thyroiditis
Disorders of thryoid gland,C05y400,C05y400,Chronic thyroiditis with transient thyrotoxicosis
Disorders of thryoid gland,C05z.00,C05z.00,Thyroiditis NOS
Disorders of thryoid gland,C06y100,C06y100,Thyroid atrophy
Disorders of thryoid gland,C134300,C134300,TSH - thyroid-stimulating hormone deficiency
Disorders of thryoid gland,Cyu1100,Cyu1100,[X]Other sp cified hypothyroidism
Disorders of thryoid gland,Cyu1300,Cyu1300,[X]Other thyrotoxicosis
Disorders of thryoid gland,Cyu1400,Cyu1400,[X]Other chronic thyroiditis
Disorders of thryoid gland,F11x500,F11x500,Cerebral degeneration due to myxoedema
Disorders of thryoid gland,F381400,F381400,Myasthenic syndrome due to hypothyroidism
Disorders of thryoid gland,F381600,F381600,Myasthenic syndrome due to thyrotoxicosis
Disorders of thryoid gland,F395300,F395300,Myopathy due to myxoedema
Disorders of thryoid gland,F395400,F395400,Myopathy due to thyrotoxicosis
Disorders of thryoid gland,F4G2000,F4G2000,Thyrotoxic exophthalmos
Disorders of thryoid gland,FyuBD00,FyuBD00,[X]Dysthyroid exophthalmos
Disorders of thryoid gland,G557500,G557500,Thyrotoxic heart disease
