Condition,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,13c5.00,13c5.00,Substance misuse increased
Drug or alcohol misuse,13c6.00,13c6.00,Substance misuse decreased
Drug or alcohol misuse,13c7.00,13c7.00,Current drug user
Drug or alcohol misuse,13c8.00,13c8.00,Reduced drugs misuse
Drug or alcohol misuse,13c9.00,13c9.00,Subcutaneous drug user
Drug or alcohol misuse,13cA.00,13cA.00,Smokes drugs
Drug or alcohol misuse,13cB.00,13cB.00,Misuses drugs orally
Drug or alcohol misuse,13cC.00,13cC.00,Continuous use of drugs
Drug or alcohol misuse,13cD.00,13cD.00,Episodic use of drugs
Drug or alcohol misuse,13cE.00,13cE.00,Prolonged high dose use of cannabis
Drug or alcohol misuse,13cF.00,13cF.00,Preoccupied with substance misuse
Drug or alcohol misuse,13cH.00,13cH.00,Persistent substance misuse
Drug or alcohol misuse,13cJ.00,13cJ.00,Previously injecting drug user
Drug or alcohol misuse,13cK.00,13cK.00,Current non recreational drug user
Drug or alcohol misuse,13cM.00,13cM.00,Substance misuse
Drug or alcohol misuse,13r4.00,13r4.00,Abstinent from drug misuse when receiving blocking therapy
Drug or alcohol misuse,1TE..00,1TE..00,Uses heroin on top of substitution therapy
Drug or alcohol misuse,1TF..00,1TF..00,Does not use heroin on top of substitution therapy
Drug or alcohol misuse,1V...00,1V...00,Drug misuse behaviour
Drug or alcohol misuse,1V0..00,1V0..00,Misuses drugs
Drug or alcohol misuse,1V00.00,1V00.00,Occasional drug user
Drug or alcohol misuse,1V01.00,1V01.00,Long-term drug misuser
Drug or alcohol misuse,1V02.00,1V02.00,Poly-drug misuser
Drug or alcohol misuse,1V04.00,1V04.00,Misuses drugs rectally
Drug or alcohol misuse,1V07.00,1V07.00,Notified addict
Drug or alcohol misuse,1V08.00,1V08.00,Smokes drugs in cigarette form
Drug or alcohol misuse,1V09.00,1V09.00,Smokes drugs through a pipe
Drug or alcohol misuse,1V0A.00,1V0A.00,Chases the dragon
Drug or alcohol misuse,1V0B.00,1V0B.00,Sniffs drugs
Drug or alcohol misuse,1V0C.00,1V0C.00,Drug addict
Drug or alcohol misuse,1V0E.00,1V0E.00,Health problem secondary to drug misuse
