Condition,ReadCode,CleansedReadCode,Term
Epilepsy,,,Adverse reaction to Drugs Used In Control Of Epilepsy
Epilepsy,,,Contraceptive advice for patients on valproate for epilepsy
Epilepsy,,,Epilepsy monitoring administration
Epilepsy,,,Epilepsy monitoring default
Epilepsy,,,Epilepsy monitoring in primary care
Epilepsy,,,Epilepsy monitoring in secondary care
Epilepsy,,,Epilepsy monitoring telephone invitation
Epilepsy,,,Epilepsy treatment compliance good
Epilepsy,,,Epilepsy treatment compliance poor
Epilepsy,,,Epilepsy treatment continued
Epilepsy,,,Grand mal epilepsy
Epilepsy,,,Neurological Disorders Depression Inventory in Epilepsy
Epilepsy,,,Partial epilepsy
Epilepsy,,,Petit mal epilepsy
Epilepsy,,,Petit-mal epilepsy
Epilepsy,,,Post traumatic epilepsy
Epilepsy,,,Reason for referral: Epilepsy
Epilepsy,,,[RFC] Epilepsy/convulsion
Epilepsy,,,dravet syndrome
Epilepsy,,,epilepsy associated problems
Epilepsy,,,epilepsy drug side effects
Epilepsy,,,epilepsy monitoring
Epilepsy,,,epilepsy monitoring call first letter
Epilepsy,,,epilepsy monitoring call second letter
Epilepsy,,,epilepsy monitoring call third letter
Epilepsy,,,generalised nonconvulsive epilepsy
Epilepsy,,,infantile spasms
Epilepsy,,,nocturnal epilepsy
Epilepsy,,,petit mal status
Epilepsy,,,salaam attacks
Epilepsy,,,unverricht - lundborg disease
Epilepsy,1B1W.00,,Transient epileptic amnesia
Epilepsy,1O30.00,,Epilepsy confirmed
Epilepsy,2126000,,Epilepsy resolved
Epilepsy,212J.00,,Epilepsy resolved
Epilepsy,6110,,Contraceptive advice for patients with epilepsy
Epilepsy,667..00,,Epilepsy monitoring
Epilepsy,6674,,Epilepsy associated problems
Epilepsy,6677,,Epilepsy drug side effects
Epilepsy,6678,,Epilepsy treatment changed
Epilepsy,6679,,Epilepsy treatment started
Epilepsy,667A.00,,Epilepsy treatment stopped
Epilepsy,667B.00,,Nocturnal epilepsy
Epilepsy,667C.00,,Epilepsy control good
Epilepsy,667D.00,,Epilepsy control poor
Epilepsy,667E.00,,Epilepsy care arrangement
Epilepsy,667F.00,,Seizure free >12 months
Epilepsy,667G.00,,Epilepsy restricts employment
Epilepsy,667H.00,,Epilepsy prevents employment
Epilepsy,667J.00,,Epilepsy impairs education
Epilepsy,667K.00,,Epilepsy limits activities
Epilepsy,667L.00,,Epilepsy does not limit activities
Epilepsy,667M.00,,Epilepsy management plan given
Epilepsy,667N.00,,Epilepsy severity
Epilepsy,667P.00,,No seizures on treatment
Epilepsy,667Q.00,,1 to 12 seizures a year
Epilepsy,667R.00,,2 to 4 seizures a month
Epilepsy,667S.00,,1 to 7 seizures a week
Epilepsy,667T.00,,Daily seizures
Epilepsy,667V.00,,Many seizures a day
Epilepsy,667X.00,,No epilepsy drug side effects
Epilepsy,667Z.00,,Epilepsy monitoring NOS
Epilepsy,67AF.00,,Pregnancy advice for patients with epilepsy
Epilepsy,67IJ000,,Pre-conception advice for patients with epilepsy
Epilepsy,8BIF.00,,Epilepsy medication review
Epilepsy,9Of3.00,,Epilepsy monitoring verbal invite
Epilepsy,9Of4.00,,Epilepsy monitoring telephone invite
Epilepsy,9Of5.00,,Epilepsy monitoring call first letter
Epilepsy,9Of6.00,,Epilepsy monitoring call second letter
Epilepsy,9Of7.00,,Epilepsy monitoring call third letter
Epilepsy,Eu05212,,[X]Schizophrenia-like psychosis in epilepsy
Epilepsy,Eu05y11,,[X]Epileptic psychosis NOS
Epilepsy,Eu06013,,[X]Limbic epilepsy personality
Epilepsy,Eu80300,,[X]Acquired aphasia with epilepsy [Landau - Kleffner]
Epilepsy,F132100,,Progressive myoclonic epilepsy
Epilepsy,F132111,,Unverricht - Lundborg disease
Epilepsy,F132200,,Myoclonic encephalopathy
Epilepsy,F142200,,Dyssynergia cerebellaris myoclonica
Epilepsy,F25..00,,Epilepsy
Epilepsy,F250.00,,Generalised nonconvulsive epilepsy
Epilepsy,F250000,,Petit mal (minor) epilepsy
Epilepsy,F250011,,Epileptic absences
Epilepsy,F250100,,Pykno-epilepsy
Epilepsy,F250200,,Epileptic seizures - atonic
Epilepsy,F250300,,Epileptic seizures - akinetic
Epilepsy,F250400,,Juvenile absence epilepsy
