Condition,ReadCode,CleansedReadCode,Term
Inflammatory diseases of the female pelvic organs,K4024,K402400,Perioophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4025,K402500,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4026,K402600,Salpingitis unspecified
Inflammatory diseases of the female pelvic organs,K4027,K402700,Perisalpingitis unspecified
Inflammatory diseases of the female pelvic organs,K402z,K402z00,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,K403,K403.00,Acute parametritis and pelvic cellulitis
Inflammatory diseases of the female pelvic organs,K400z,K400z00,Acute salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,K402,K402.00,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4023,K402300,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4031,K403100,Acute pelvic cellulitis
Inflammatory diseases of the female pelvic organs,^ESCTAC510257,,Acute pelvic inflammatory disease of the female pelvic organs AND/OR tissues
Inflammatory diseases of the female pelvic organs,^ESCTTU325146,,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,^ESCTDI258802,,Disorder of ovary
Inflammatory diseases of the female pelvic organs,^ESCTIN393251,,Inflammation of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTHE377043,,Hematosalpinx
Inflammatory diseases of the female pelvic organs,^ESCTSA325149,,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,^ESCTIN373689,,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,^ESCTAB660183,,Abscess of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTIN325148,,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTAC510259,,Acute PID - acute pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,^ESCTOV258803,,Ovarian disorder
Inflammatory diseases of the female pelvic organs,K53y6,K53y600,Haematosalpinx
Inflammatory diseases of the female pelvic organs,K4005,K400500,Subacute oophoritis
Inflammatory diseases of the female pelvic organs,K403z,K403z00,Acute parametritis and pelvic cellulitis NOS
Inflammatory diseases of the female pelvic organs,^ESCTPI510258,,PID - Acute pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,K4003,K400300,Acute salpingitis
Inflammatory diseases of the female pelvic organs,K4000,K400000,Acute oophoritis
Inflammatory diseases of the female pelvic organs,K4008,K400800,Subacute salpingitis
Inflammatory diseases of the female pelvic organs,K4006,K400600,Subacute perioophoritis
Inflammatory diseases of the female pelvic organs,K4009,K400900,Subacute perisalpingitis
Inflammatory diseases of the female pelvic organs,K409,K409.00,Acute pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,K4002,K400200,Acute salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,K400,K400.00,Acute salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,K4020-1,K402011,Pyosalpinx
Inflammatory diseases of the female pelvic organs,K4020,K402000,Fallopian tube abscess
Inflammatory diseases of the female pelvic organs,K400-99,K400.99,Acute salpingitis/oophoritis
Inflammatory diseases of the female pelvic organs,K409-99,K409.99,Acute pelvic inflam. dis. NOS
Inflammatory diseases of the female pelvic organs,^ESCTSA325147,,Salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,K4001,K400100,Acute perioophoritis
Inflammatory diseases of the female pelvic organs,K4004,K400400,Acute perisalpingitis
Inflammatory diseases of the female pelvic organs,K4007,K400700,Subacute salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,K4022,K402200,Tubo-ovarian abscess
Inflammatory diseases of the female pelvic organs,^ESCTPY659317,,Pyosalpingitis
Inflammatory diseases of the female pelvic organs,K400-1,K400.11,Oophoritis - acute
Inflammatory diseases of the female pelvic organs,K406-1,K406.11,Acute pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,^ESCTTU345770,,Tubo ovarian abscess
Inflammatory diseases of the female pelvic organs,K401,K401.00,Chronic salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,K401z,K401z00,Chronic salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,K4015,K401500,Hydrosalpinx
Inflammatory diseases of the female pelvic organs,K5341,K534100,Salpingocele
Inflammatory diseases of the female pelvic organs,K4010,K401000,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,K4013,K401300,Chronic salpingitis
Inflammatory diseases of the female pelvic organs,K4012,K401200,Chronic salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,K4014,K401400,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,K4109,K410900,Subacute pyometra
Inflammatory diseases of the female pelvic organs,K401-99,K401.99,Chronic salpingitis/oophoritis
Inflammatory diseases of the female pelvic organs,^ESCTHE302021,,Hernia of fallopian tube
Inflammatory diseases of the female pelvic organs,K4011,K401100,Chronic perioophoritis
Inflammatory diseases of the female pelvic organs,^ESCTAD309221,,Adenosis of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTFO357301,,Follicular salpingitis
Inflammatory diseases of the female pelvic organs,^ESCTAB261791,,Abscess of ovary
Inflammatory diseases of the female pelvic organs,^ESCTAD309222,,Adenosalpingitis
Inflammatory diseases of the female pelvic organs,K4016,K401600,Salpingitis follicularis
Inflammatory diseases of the female pelvic organs,K4021,K402100,Ovarian abscess
Inflammatory diseases of the female pelvic organs,K4017,K401700,Salpingitis isthmica nodosa
Inflammatory diseases of the female pelvic organs,K54z,K54z.00,Disorder of uterus NOS
Inflammatory diseases of the female pelvic organs,K41z,K41z.00,Unspecified uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K41z0,K41z000,Endometritis unspecified
Inflammatory diseases of the female pelvic organs,K41z1,K41z100,Endomyometritis unspecified
Inflammatory diseases of the female pelvic organs,K41z2,K41z200,Myometritis unspecified
