Condition,ReadCode,CleansedReadCode,Term
Inflammatory polyarthropathies,2G25.00,2G25.00,O/E - hands - ulnar deviation
Inflammatory polyarthropathies,2G25.11,2G25.11,O/E - ulnar deviation
Inflammatory polyarthropathies,2G27.00,2G27.00,O/E-hands-rheumatoid spindling
Inflammatory polyarthropathies,66H..13,66H..13,Rheumatoid arthrit. monitoring
Inflammatory polyarthropathies,7P20300,7P20300,Delivery of rehabilitation for rheumatoid arthritis
Inflammatory polyarthropathies,F371200,F371200,Polyneuropathy in rheumatoid arthritis
Inflammatory polyarthropathies,F396400,F396400,Myopathy due to rheumatoid arthritis
Inflammatory polyarthropathies,G5y8.00,G5y8.00,Rheumatoid myocarditis
Inflammatory polyarthropathies,G5yA.00,G5yA.00,Rheumatoid carditis
Inflammatory polyarthropathies,H570.00,H570.00,Rheumatoid lung
Inflammatory polyarthropathies,N005.00,N005.00,Adult Still's Disease
Inflammatory polyarthropathies,N04..00,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy
Inflammatory polyarthropathies,N040.00,N040.00,Rheumatoid arthritis
Inflammatory polyarthropathies,N040000,N040000,Rheumatoid arthritis of cervical spine
Inflammatory polyarthropathies,N040100,N040100,Other rheumatoid arthritis of spine
Inflammatory polyarthropathies,N040200,N040200,Rheumatoid arthritis of shoulder
Inflammatory polyarthropathies,N040300,N040300,Rheumatoid arthritis of sternoclavicular joint
Inflammatory polyarthropathies,N040400,N040400,Rheumatoid arthritis of acromioclavicular joint
Inflammatory polyarthropathies,N040500,N040500,Rheumatoid arthritis of elbow
Inflammatory polyarthropathies,N040600,N040600,Rheumatoid arthritis of distal radio-ulnar joint
Inflammatory polyarthropathies,N040700,N040700,Rheumatoid arthritis of wrist
Inflammatory polyarthropathies,N040800,N040800,Rheumatoid arthritis of MCP joint
Inflammatory polyarthropathies,N040900,N040900,Rheumatoid arthritis of PIP joint of finger
Inflammatory polyarthropathies,N040A00,N040A00,Rheumatoid arthritis of DIP joint of finger
Inflammatory polyarthropathies,N040B00,N040B00,Rheumatoid arthritis of hip
Inflammatory polyarthropathies,N040C00,N040C00,Rheumatoid arthritis of sacro-iliac joint
Inflammatory polyarthropathies,N040D00,N040D00,Rheumatoid arthritis of knee
Inflammatory polyarthropathies,N040E00,N040E00,Rheumatoid arthritis of tibio-fibular joint
