Condition,ReadCode,CleansedReadCode,Term
Iron deficiency anaemia,^ESCTHI453969,,H/O: anaemia - iron deficient
Iron deficiency anaemia,^ESCTHO453968,,H/O: anaemia - iron deficient
Iron deficiency anaemia,1451,1451.00,H/O: anaemia - iron deficient
Iron deficiency anaemia,D0-1,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D0-2,D0...12,Asiderotic anaemia
Iron deficiency anaemia,D00yz,D00yz00,Asiderotic anaemia
Iron deficiency anaemia,^ESCTAS392266,,Asiderotic anaemia
Iron deficiency anaemia,D00,D00..00,Asiderotic anaemia
Iron deficiency anaemia,^ESCTAS392271,,Asiderotic anaemia
Iron deficiency anaemia,^ESCTIR392274,,Asiderotic anaemia
Iron deficiency anaemia,^ESCTCH392267,,Asiderotic anaemia
Iron deficiency anaemia,^ESCTSI392268,,Asiderotic anaemia
Iron deficiency anaemia,^ESCTIR392270,,Asiderotic anaemia
Iron deficiency anaemia,^ESCT1190238,,Asiderotic anaemia
Iron deficiency anaemia,^ESCT1276169,,Asiderotic anaemia
Iron deficiency anaemia,^ESCT1198930,,Asiderotic anaemia
Iron deficiency anaemia,D00y,D00y.00,Asiderotic anaemia
Iron deficiency anaemia,D00z,D00z.00,Asiderotic anaemia
Iron deficiency anaemia,D00zz,D00zz00,Asiderotic anaemia
Iron deficiency anaemia,^ESCTID392269,,Asiderotic anaemia
Iron deficiency anaemia,D00z1,D00z100,Asiderotic anaemia
Iron deficiency anaemia,Dyu00,Dyu0000,Asiderotic anaemia
Iron deficiency anaemia,^ESCTID392272,,Asiderotic anaemia
Iron deficiency anaemia,^ESCTSI392273,,Asiderotic anaemia
Iron deficiency anaemia,D0-1,D0...11,Sideropenic anaemia
Iron deficiency anaemia,D0-2,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00yz,D00yz00,Sideropenic anaemia
Iron deficiency anaemia,^ESCTAS392266,,Sideropenic anaemia
Iron deficiency anaemia,D00,D00..00,Sideropenic anaemia
Iron deficiency anaemia,^ESCTAS392271,,Sideropenic anaemia
Iron deficiency anaemia,^ESCTIR392274,,Sideropenic anaemia
Iron deficiency anaemia,^ESCTCH392267,,Sideropenic anaemia
Iron deficiency anaemia,^ESCTSI392268,,Sideropenic anaemia
Iron deficiency anaemia,^ESCTIR392270,,Sideropenic anaemia
Iron deficiency anaemia,^ESCT1190238,,Sideropenic anaemia
Iron deficiency anaemia,^ESCT1276169,,Sideropenic anaemia
Iron deficiency anaemia,^ESCT1198930,,Sideropenic anaemia
Iron deficiency anaemia,D00y,D00y.00,Sideropenic anaemia
Iron deficiency anaemia,D00z,D00z.00,Sideropenic anaemia
Iron deficiency anaemia,D00zz,D00zz00,Sideropenic anaemia
Iron deficiency anaemia,^ESCTID392269,,Sideropenic anaemia
Iron deficiency anaemia,D00z1,D00z100,Sideropenic anaemia
Iron deficiency anaemia,Dyu00,Dyu0000,Sideropenic anaemia
Iron deficiency anaemia,^ESCTID392272,,Sideropenic anaemia
Iron deficiency anaemia,^ESCTSI392273,,Sideropenic anaemia
Iron deficiency anaemia,D0-1,D0...11,Iron deficiency anaemia
Iron deficiency anaemia,D0-2,D0...12,Iron deficiency anaemia
Iron deficiency anaemia,D00yz,D00yz00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTAS392266,,Iron deficiency anaemia
Iron deficiency anaemia,D00,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTAS392271,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTIR392274,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTCH392267,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTSI392268,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTIR392270,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCT1190238,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCT1276169,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCT1198930,,Iron deficiency anaemia
Iron deficiency anaemia,D00y,D00y.00,Iron deficiency anaemia
Iron deficiency anaemia,D00z,D00z.00,Iron deficiency anaemia
Iron deficiency anaemia,D00zz,D00zz00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTID392269,,Iron deficiency anaemia
Iron deficiency anaemia,D00z1,D00z100,Iron deficiency anaemia
Iron deficiency anaemia,Dyu00,Dyu0000,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTID392272,,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTSI392273,,Iron deficiency anaemia
