Condition,ReadCode,CleansedReadCode,Term
Iron deficiency anaemia,^ESCTHI453969,1451.00,H/O: anaemia - iron deficient
Iron deficiency anaemia,^ESCTHO453968,1451.00,H/O: anaemia - iron deficient
Iron deficiency anaemia,1451,1451.00,H/O: anaemia - iron deficient
Iron deficiency anaemia,D0-1,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D0-2,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D00yz,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTAS392266,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D00,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTAS392271,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTIR392274,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTCH392267,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTSI392268,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTIR392270,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCT1190238,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCT1276169,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCT1198930,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D00y,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D00z,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D00zz,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTID392269,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D00z1,D0...11,Asiderotic anaemia
Iron deficiency anaemia,Dyu00,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTID392272,D0...11,Asiderotic anaemia
Iron deficiency anaemia,^ESCTSI392273,D0...11,Asiderotic anaemia
Iron deficiency anaemia,D0-1,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D0-2,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00yz,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTAS392266,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTAS392271,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTIR392274,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTCH392267,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTSI392268,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTIR392270,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCT1190238,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCT1276169,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCT1198930,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00y,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00z,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00zz,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTID392269,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D00z1,D0...12,Sideropenic anaemia
Iron deficiency anaemia,Dyu00,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTID392272,D0...12,Sideropenic anaemia
Iron deficiency anaemia,^ESCTSI392273,D0...12,Sideropenic anaemia
Iron deficiency anaemia,D0-1,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D0-2,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D00yz,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTAS392266,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D00,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTAS392271,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTIR392274,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTCH392267,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTSI392268,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTIR392270,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCT1190238,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCT1276169,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCT1198930,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D00y,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D00z,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D00zz,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTID392269,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D00z1,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,Dyu00,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTID392272,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,^ESCTSI392273,D00..00,Iron deficiency anaemia
Iron deficiency anaemia,D000-2,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,D000,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCT1192623,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCTAN684279,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCTAN684278,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCTCH684280,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCTCH684281,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCTCH684283,D000.00,Anaemia due to chronic blood loss
Iron deficiency anaemia,D000-1,D000.11,Normocytic anaemia due to chronic blood loss
Iron deficiency anaemia,^ESCTNO506343,D000.11,Normocytic anaemia due to chronic blood loss
Iron deficiency anaemia,D000-2,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,D000,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCT1192623,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCTAN684279,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCTAN684278,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCTCH684280,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCTCH684281,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCTCH684283,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,^ESCTIR476102,D001.00,Iron deficiency anaemia due to dietary causes
Iron deficiency anaemia,D001,D001.00,Iron deficiency anaemia due to dietary causes
Iron deficiency anaemia,D0-1,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D0-2,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00yz,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTAS392266,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTAS392271,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTIR392274,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTCH392267,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTSI392268,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTIR392270,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCT1190238,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCT1276169,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCT1198930,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00y,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00z,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00zz,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTID392269,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00z1,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,Dyu00,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTID392272,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTSI392273,D00y.00,Iron deficiency anemia
Iron deficiency anaemia,D00y-1,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,^ESCTBR380320,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,^ESCTPA380318,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,D00y-2,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,^ESCTPL380321,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,D00y0-2,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,D00y0,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,D00y0-1,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,D00y-1,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,^ESCTBR380320,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,^ESCTPA380318,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,D00y-2,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,^ESCTPL380321,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,D00y0-2,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,D00y0,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,D00y0-1,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,D00y-1,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,^ESCTBR380320,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,^ESCTPA380318,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,D00y-2,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,^ESCTPL380321,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,D00y0-2,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,D00y0,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,D00y0-1,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,D00y-1,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,^ESCTBR380320,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,^ESCTPA380318,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,D00y-2,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,^ESCTPL380321,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,D00y0-2,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,D00y0,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,D00y0-1,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,D00y-1,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,^ESCTBR380320,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,^ESCTPA380318,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,D00y-2,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,^ESCTPL380321,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,D00y0-2,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,D00y0,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,D00y0-1,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,D0-1,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D0-2,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D00yz,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTAS392266,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D00,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTAS392271,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTIR392274,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTCH392267,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTSI392268,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTIR392270,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCT1190238,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCT1276169,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCT1198930,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D00y,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D00z,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D00zz,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTID392269,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D00z1,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,Dyu00,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTID392272,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,^ESCTSI392273,D00yz00,Iron deficiency anemia
Iron deficiency anaemia,D0-1,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D0-2,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D00yz,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTAS392266,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D00,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTAS392271,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTIR392274,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTCH392267,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTSI392268,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTIR392270,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCT1190238,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCT1276169,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCT1198930,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D00y,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D00z,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D00zz,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTID392269,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,D00z1,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,Dyu00,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTID392272,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTSI392273,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,^ESCTFA381539,D00z000,Achlorhydric anaemia
Iron deficiency anaemia,^ESCTAC381538,D00z000,Achlorhydric anaemia
Iron deficiency anaemia,^ESCTAC381537,D00z000,Achlorhydric anaemia
Iron deficiency anaemia,^ESCTAC381540,D00z000,Achlorhydric anaemia
Iron deficiency anaemia,D00z0,D00z000,Achlorhydric anaemia
Iron deficiency anaemia,D0-1,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D0-2,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D00yz,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTAS392266,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D00,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTAS392271,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTIR392274,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTCH392267,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTSI392268,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTIR392270,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCT1190238,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCT1276169,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCT1198930,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D00y,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D00z,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D00zz,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTID392269,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D00z1,D00z100,Chlorotic anaemia
Iron deficiency anaemia,Dyu00,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTID392272,D00z100,Chlorotic anaemia
Iron deficiency anaemia,^ESCTSI392273,D00z100,Chlorotic anaemia
Iron deficiency anaemia,D0-1,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D0-2,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D00yz,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTAS392266,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D00,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTAS392271,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTIR392274,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTCH392267,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTSI392268,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTIR392270,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCT1190238,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCT1276169,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCT1198930,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D00y,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D00z,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D00zz,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTID392269,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,D00z1,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,Dyu00,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTID392272,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,^ESCTSI392273,D00zz00,Iron deficiency anaemia NOS
