Condition,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,3235,3235.00,ECG: subendocardial infarct
Ischaemic heart diseases,3232,3232.00,ECG: old myocardial infarction
Ischaemic heart diseases,3236,3236.00,ECG: lateral infarction
Ischaemic heart diseases,3222,3222.00,ECG:shows myocardial ischaemia
Ischaemic heart diseases,3234,3234.00,ECG:posterior/inferior infarct
Ischaemic heart diseases,7925,7925.00,Connection of mammary artery to coronary artery
Ischaemic heart diseases,3233,3233.00,ECG: antero-septal infarct.
Ischaemic heart diseases,5543,5543.00,Coronary arteriograph.abnormal
Ischaemic heart diseases,7928,7928.00,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,7926,7926.00,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,5533,5533.00,Angiocardiography abnormal
Ischaemic heart diseases,G39,G39..00,Coronary microvascular disease
Ischaemic heart diseases,G342,G342.00,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,G5740,G574000,Ventricular fibrillation
Ischaemic heart diseases,323Z,323Z.00,ECG: myocardial infarct NOS
Ischaemic heart diseases,G312,G312.00,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,6A2,6A2..00,Coronary heart disease annual review
Ischaemic heart diseases,G3111,G311100,Unstable angina
Ischaemic heart diseases,661M0,661M000,Angina self-management plan agreed
Ischaemic heart diseases,79260,7926000,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,G380,G380.00,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,44h3,44h3.00,Blood bicarbonate level
Ischaemic heart diseases,44H3,44H3.00,Cardiac enzymes abnormal
Ischaemic heart diseases,79296,7929600,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,G330,G330.00,Angina decubitus
Ischaemic heart diseases,G35,G35..00,Subsequent myocardial infarction
Ischaemic heart diseases,G384,G384.00,Postoperative subendocardial myocardial infarction
Ischaemic heart diseases,G332,G332.00,Coronary artery spasm
Ischaemic heart diseases,G34,G34..00,Other chronic ischaemic heart disease
Ischaemic heart diseases,G3113,G311300,Refractory angina
Ischaemic heart diseases,G3-2,G3...12,Atherosclerotic heart disease
Ischaemic heart diseases,44MH,44MH.00,Plasma troponin T level
Ischaemic heart diseases,8F93,8F93.00,Cardiac rehabilitation - phase 4
Ischaemic heart diseases,G341-1,G341.11,Cardiac aneurysm
Ischaemic heart diseases,G344,G344.00,Silent myocardial ischaemia
Ischaemic heart diseases,79290,7929000,Percutaneous transluminal laser coronary angioplasty
Ischaemic heart diseases,G360,G360.00,Haemopericardium/current comp folow acut myocard infarct
Ischaemic heart diseases,8L41,8L41.00,Coronary angioplasty planned
Ischaemic heart diseases,793G3,793G300,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,7A564,7A56400,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,79280,7928000,Percut transluminal balloon angioplasty one coronary artery
Ischaemic heart diseases,G30-1,G30..11,Attack - heart
Ischaemic heart diseases,G3114,G311400,Worsening angina
Ischaemic heart diseases,G311-1,G311.11,Crescendo angina
Ischaemic heart diseases,G311,G311.00,Preinfarction syndrome
Ischaemic heart diseases,G5,G5...00,Other forms of heart disease
Ischaemic heart diseases,662K0,662K000,Angina control - good
Ischaemic heart diseases,14A5,14A5.00,H/O: angina pectoris
Ischaemic heart diseases,32BZ,32BZ.00,ECG: Q wave NOS
Ischaemic heart diseases,79291-1,7929111,Percut translum coronary thrombolytic therapy- streptokinase
Ischaemic heart diseases,G311-3,G311.13,Unstable angina
Ischaemic heart diseases,ZV45L,ZV45L00,[V]Status following coronary angioplasty NOS
Ischaemic heart diseases,8B27,8B27.00,Antianginal therapy
Ischaemic heart diseases,G32-2,G32..12,Personal history of myocardial infarction
Ischaemic heart diseases,662-1,662..11,Heart disease monitoring
Ischaemic heart diseases,7A548,7A54800,Percutaneous transluminal atherectomy
Ischaemic heart diseases,G30-2,G30..12,Coronary thrombosis
Ischaemic heart diseases,G304,G304.00,Posterior myocardial infarction NOS
Ischaemic heart diseases,8F91,8F91.00,Cardiac rehabilitation - phase 2
Ischaemic heart diseases,662k,662k.00,JBS cardiovascular disease risk <10% over next 10 years
Ischaemic heart diseases,662K,662K.00,Angina control
Ischaemic heart diseases,G3411,G341100,Other cardiac wall aneurysm
Ischaemic heart diseases,G30-6,G30..16,Thrombosis - coronary
Ischaemic heart diseases,G-3,G....13,Heart diseases
Ischaemic heart diseases,G340-2,G340.12,Coronary artery disease
Ischaemic heart diseases,14A4,14A4.00,H/O: myocardial infarct >60
Ischaemic heart diseases,G30-7,G30..17,Silent myocardial infarction
Ischaemic heart diseases,14AA,14AA.00,H/O: heart disease NOS
Ischaemic heart diseases,662Z,662Z.00,Cardiac disease monitoring NOS
Ischaemic heart diseases,G301,G301.00,Other specified anterior myocardial infarction
Ischaemic heart diseases,G310,G310.00,Postmyocardial infarction syndrome
Ischaemic heart diseases,322Z,322Z.00,ECG: myocardial ischaemia NOS
Ischaemic heart diseases,G362,G362.00,Ventric septal defect/curr comp fol acut myocardal infarctn
Ischaemic heart diseases,182A,182A.00,Chest pain on exertion
Ischaemic heart diseases,G3-1,G3...11,Arteriosclerotic heart disease
Ischaemic heart diseases,G311-4,G311.14,Angina at rest
Ischaemic heart diseases,G33,G33..00,Angina pectoris
Ischaemic heart diseases,32E4,32E4.00,ECG: S-T depression
Ischaemic heart diseases,G3401,G340100,Double coronary vessel disease
Ischaemic heart diseases,793G1,793G100,Perc tran ball angio ins 3 or more drug elut stents cor art
Ischaemic heart diseases,G3,G3...00,Ischaemic heart disease
Ischaemic heart diseases,1J61,1J61.00,Suspected ischaemic heart disease
Ischaemic heart diseases,662K1,662K100,Angina control - poor
Ischaemic heart diseases,G306,G306.00,True posterior myocardial infarction
Ischaemic heart diseases,79251,7925100,Double implant of mammary arteries into coronary arteries
Ischaemic heart diseases,G310-1,G310.11,Dressler's syndrome
Ischaemic heart diseases,G3410,G341000,Ventricular cardiac aneurysm
Ischaemic heart diseases,14AJ,14AJ.00,H/O: Angina in last year
Ischaemic heart diseases,G361,G361.00,Atrial septal defect/curr comp folow acut myocardal infarct
Ischaemic heart diseases,G3-3,G3...13,IHD - Ischaemic heart disease
Ischaemic heart diseases,32131-1,3213111,Positive exercise ECG test
Ischaemic heart diseases,32B2,32B2.00,ECG: Q wave abnormal
Ischaemic heart diseases,G30-4,G30..14,Heart attack
Ischaemic heart diseases,8T04,8T04.00,Referral to Angina Plan self-management programme
Ischaemic heart diseases,G3110,G311000,Myocardial infarction aborted
Ischaemic heart diseases,79281,7928100,Percut translum balloon angioplasty mult coronary arteries
Ischaemic heart diseases,G363,G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
Ischaemic heart diseases,G381,G381.00,Postoperative transmural myocardial infarction inferior wall
Ischaemic heart diseases,662K3,662K300,Angina control - worsening
Ischaemic heart diseases,793G0,793G000,Perc translum ball angio insert 1-2 drug elut stents cor art
Ischaemic heart diseases,8I37,8I37.00,Coronary heart disease monitoring refused
Ischaemic heart diseases,14AH,14AH.00,H/O: Myocardial infarction in last year
Ischaemic heart diseases,662,662..00,Cardiac disease monitoring
Ischaemic heart diseases,14AL,14AL.00,H/O: Treatment for ischaemic heart disease
Ischaemic heart diseases,G305,G305.00,Lateral myocardial infarction NOS
Ischaemic heart diseases,G30A,G30A.00,Mural thrombosis
Ischaemic heart diseases,G308,G308.00,Inferior myocardial infarction NOS
Ischaemic heart diseases,792B0,792B000,Endarterectomy of coronary artery NEC
Ischaemic heart diseases,G501,G501.00,Post infarction pericarditis
Ischaemic heart diseases,G343,G343.00,Ischaemic cardiomyopathy
Ischaemic heart diseases,32B3,32B3.00,ECG: Q wave pathological
Ischaemic heart diseases,G32,G32..00,Old myocardial infarction
Ischaemic heart diseases,G350,G350.00,Subsequent myocardial infarction of anterior wall
Ischaemic heart diseases,7A540,7A54000,Percutaneous transluminal angioplasty of artery NEC
Ischaemic heart diseases,G32-1,G32..11,Healed myocardial infarction
Ischaemic heart diseases,322,322..00,ECG: myocardial ischaemia
Ischaemic heart diseases,8F92,8F92.00,Cardiac rehabilitation - phase 3
Ischaemic heart diseases,8F90,8F90.00,Cardiac rehabilitation - phase 1
Ischaemic heart diseases,G3400,G340000,Single coronary vessel disease
Ischaemic heart diseases,8LF,8LF..00,Coronary angiography planned
Ischaemic heart diseases,G340,G340.00,Coronary atherosclerosis
Ischaemic heart diseases,6A4,6A4..00,Coronary heart disease review
Ischaemic heart diseases,32B,32B..00,ECG: Q wave
Ischaemic heart diseases,G340-1,G340.11,Triple vessel disease of the heart
Ischaemic heart diseases,7A6G1,7A6G100,Peroperative angioplasty
Ischaemic heart diseases,G351,G351.00,Subsequent myocardial infarction of inferior wall
Ischaemic heart diseases,G3112,G311200,Angina at rest
Ischaemic heart diseases,79291,7929100,Percut transluminal coronary thrombolysis with streptokinase
Ischaemic heart diseases,G3110-1,G311011,MI - Myocardial infarction aborted
Ischaemic heart diseases,ZV579,ZV57900,[V]Cardiac rehabilitation
Ischaemic heart diseases,7928-1,7928.11,Percutaneous balloon coronary angioplasty
Ischaemic heart diseases,662K2,662K200,Angina control - improving
Ischaemic heart diseases,79293,7929300,Rotary blade coronary angioplasty
Ischaemic heart diseases,7A6S3,7A6S300,Percutaneous transluminal venous thrombolysis NEC
Ischaemic heart diseases,7A545,7A54500,Rotary blade angioplasty
Ischaemic heart diseases,14AT,14AT.00,History of myocardial infarction
Ischaemic heart diseases,G-2,G....12,Cardiac diseases
Ischaemic heart diseases,G35X,G35X.00,Subsequent myocardial infarction of unspecified site
Ischaemic heart diseases,44H30,44H3000,Cardiac enzymes abnormal - first set
Ischaemic heart diseases,G3300,G330000,Nocturnal angina
