Condition,ReadCode,CleansedReadCode,Term
Malignant neoplasms,,,Tongue carcinoma
Malignant neoplasms,,,"malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,,,"malignant neoplasm of lip, oral cavity and pharynx nos"
Malignant neoplasms,,,"malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,,,malignant neoplasm of ventral tongue surface nos
Malignant neoplasms,B0...00,,"Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,B0...11,,"Carcinoma of lip, oral cavity and pharynx"
Malignant neoplasms,B00..00,,Malignant neoplasm of lip
Malignant neoplasms,B00..11,,Carcinoma of lip
Malignant neoplasms,B000.00,,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms,B000000,,"Malignant neoplasm of upper lip, external"
Malignant neoplasms,B000100,,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms,B000z00,,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms,B001.00,,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms,B001000,,"Malignant neoplasm of lower lip, external"
Malignant neoplasms,B001100,,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms,B001z00,,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms,B002.00,,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms,B002100,,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms,B002200,,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms,B002300,,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms,B002z00,,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms,B003.00,,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms,B003000,,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms,B003100,,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms,B003200,,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms,B003300,,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms,B003z00,,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms,B004.00,,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,B004000,,"Malignant neoplasm of lip unspecified, buccal aspect"
Malignant neoplasms,B004200,,"Malignant neoplasm of lip unspecified, mucosa"
Malignant neoplasms,B004300,,"Malignant neoplasm of lip, oral aspect"
Malignant neoplasms,B005.00,,Malignant neoplasm of commissure of lip
Malignant neoplasms,B006.00,,Malignant neoplasm of overlapping lesion of lip
Malignant neoplasms,B007.00,,"Malignant neoplasm of lip, unspecified"
Malignant neoplasms,B00z000,,"Malignant neoplasm of lip, unspecified, external"
Malignant neoplasms,B00z100,,"Malignant neoplasm of lip, unspecified, lipstick area"
