Condition,ReadCode,CleansedReadCode,Term
Other reintal disorders (Macular degeneration),2BBH.00,,Retinal drusen
Other reintal disorders (Macular degeneration),F424200,,Retinal pigment epithelium serous detachment
Other reintal disorders (Macular degeneration),F424300,,Retinal pigment epithelium haemorrhagic detachment
Other reintal disorders (Macular degeneration),F424400,,Retinal pigment epithelial detachment
Other reintal disorders (Macular degeneration),F425.00,,Degeneration of macula and posterior pole
Other reintal disorders (Macular degeneration),F425.11,,Senile macular degeneration
Other reintal disorders (Macular degeneration),F425000,,Unspecified senile macular degeneration
Other reintal disorders (Macular degeneration),F425100,,Dry senile macular degeneration
Other reintal disorders (Macular degeneration),F425200,,Wet senile macular degeneration
Other reintal disorders (Macular degeneration),F425211,,Kuhnt - Junius degeneration
Other reintal disorders (Macular degeneration),F425700,,Drusen
Other reintal disorders (Macular degeneration),F425z00,,Degeneration of macula or posterior pole NOS
