Condition,ReadCode,CleansedReadCode,Term
Psoriasis,M16..00,M16..00,Psoriasis and similar disorders
Psoriasis,M160.00,M160.00,Psoriatic arthropathy
Psoriasis,M160.11,M160.11,Psoriatic arthritis
Psoriasis,M160000,M160000,Psoriasis spondylitica
Psoriasis,M160100,M160100,Distal interphalangeal psoriatic arthropathy
Psoriasis,M160200,M160200,Arthritis mutilans
Psoriasis,M160z00,M160z00,Psoriatic arthropathy NOS
Psoriasis,M161.00,M161.00,Other psoriasis
Psoriasis,M161000,M161000,Psoriasis unspecified
Psoriasis,M161100,M161100,Psoriasis annularis
Psoriasis,M161200,M161200,Psoriasis circinata
Psoriasis,M161300,M161300,Psoriasis diffusa
Psoriasis,M161400,M161400,Psoriasis discoidea
Psoriasis,M161500,M161500,Psoriasis geographica
Psoriasis,M161600,M161600,Guttate psoriasis
Psoriasis,M161700,M161700,Psoriasis gyrata
Psoriasis,M161800,M161800,Psoriasis inveterata
Psoriasis,M161900,M161900,Psoriasis ostracea
Psoriasis,M161A00,M161A00,Psoriasis palmaris
Psoriasis,M161C00,M161C00,Psoriasis punctata
Psoriasis,M161D00,M161D00,Pustular psoriasis
Psoriasis,M161E00,M161E00,Psoriasis universalis
Psoriasis,M161F00,M161F00,Psoriasis vulgaris
Psoriasis,M161F11,M161F11,Chronic large plaque psoriasis
Psoriasis,M161H00,M161H00,Erythrodermic psoriasis
Psoriasis,M161J00,,Flexural psoriasis
Psoriasis,M161z00,M161z00,Psoriasis NOS
Psoriasis,M16y.00,M16y.00,Other psoriasis and similar disorders
Psoriasis,M16y000,M16y000,Scalp psoriasis
Psoriasis,M16z.00,M16z.00,Psoriasis and similar disorders NOS
Psoriasis,Myu3000,Myu3000,[X]Other psoriasis
Psoriasis,N045200,N045200,Juvenile arthritis in psoriasis
Psoriasis,Nyu1300,Nyu1300,[X]Other psoriatic arthropathies
