Condition,ReadCode,CleansedReadCode,Term
Retinal detachments and breaks,^ESCTHI454026,,H/O: retinal detachment
Retinal detachments and breaks,1481,1481.00,H/O: retinal detachment
Retinal detachments and breaks,^ESCTRE378357,,Photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE378356,,Photocoagulation of retina for detachment
Retinal detachments and breaks,7271-98,7271.98,Photocoagulation of retina for detachment
Retinal detachments and breaks,7271,7271.00,Photocoagulation of retina for detachment
Retinal detachments and breaks,7271-99,7271.99,Photocoagulation of retina for detachment
Retinal detachments and breaks,7271y,7271y00,Photocoagulation of retina for detachment
Retinal detachments and breaks,7271z,7271z00,Photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE265941,,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE265940,,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,72710,7271000,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE388601,,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE388602,,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,72711-99,7271199,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,72711,7271100,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE378357,,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE378356,,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,7271-98,7271.98,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,7271,7271.00,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,7271-99,7271.99,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,7271y,7271y00,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,7271z,7271z00,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,^ESCTRE378357,,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,^ESCTRE378356,,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,7271-98,7271.98,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,7271,7271.00,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,7271-99,7271.99,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,7271y,7271y00,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,7271z,7271z00,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,F421z,F421z00,Retinal detachments and defects
Retinal detachments and breaks,F42yz,F42yz00,Retinal detachments and defects
Retinal detachments and breaks,F42z,F42z.00,Retinal detachments and defects
Retinal detachments and breaks,F4210,F421000,Retinal detachments and defects
Retinal detachments and breaks,F4217,F421700,Retinal detachments and defects
Retinal detachments and breaks,F421,F421.00,Retinal detachments and defects
Retinal detachments and breaks,F42,F42..00,Retinal detachments and defects
Retinal detachments and breaks,F41,F41..00,Retinal detachments and defects
Retinal detachments and breaks,FyuF8,FyuF800,Retinal detachments and defects
Retinal detachments and breaks,F422y,F422y00,Retinal detachments and defects
Retinal detachments and breaks,FyuF9,FyuF900,Retinal detachments and defects
Retinal detachments and breaks,^ESCTRE297524,,Retinal detachments and defects
Retinal detachments and breaks,F42y,F42y.00,Retinal detachments and defects
Retinal detachments and breaks,F421-1,F421.11,Retinal detachments and defects
Retinal detachments and breaks,^ESCTRE297523,,Retinal detachments and defects
Retinal detachments and breaks,F41-1,F41..11,Retinal tear
Retinal detachments and breaks,F4100,F410000,Retinal detachment with break
Retinal detachments and breaks,F410z,F410z00,Retinal detachment with break
