Condition,ReadCode,CleansedReadCode,Term
Systemic connective tissue disorders,G755,G755.00,Giant cell arteritis
Systemic connective tissue disorders,G755z,G755z00,Giant cell arteritis
Systemic connective tissue disorders,Nyu41,Nyu4100,Giant cell arteritis
Systemic connective tissue disorders,^ESCTTA663525,,Cranial arteritis
Systemic connective tissue disorders,^ESCTTE663526,,Cranial arteritis
Systemic connective tissue disorders,G7551,G755100,Cranial arteritis
Systemic connective tissue disorders,G7552,G755200,Cranial arteritis
Systemic connective tissue disorders,G7550,G755000,Cranial arteritis
Systemic connective tissue disorders,^ESCTTA663525,,Temporal arteritis
Systemic connective tissue disorders,^ESCTTE663526,,Temporal arteritis
Systemic connective tissue disorders,G7551,G755100,Temporal arteritis
Systemic connective tissue disorders,G7552,G755200,Temporal arteritis
Systemic connective tissue disorders,G7550,G755000,Temporal arteritis
Systemic connective tissue disorders,^ESCTTA663525,,Horton's disease
Systemic connective tissue disorders,^ESCTTE663526,,Horton's disease
Systemic connective tissue disorders,G7551,G755100,Horton's disease
Systemic connective tissue disorders,G7552,G755200,Horton's disease
Systemic connective tissue disorders,G7550,G755000,Horton's disease
Systemic connective tissue disorders,G755,G755.00,Giant cell arteritis NOS
Systemic connective tissue disorders,G755z,G755z00,Giant cell arteritis NOS
Systemic connective tissue disorders,Nyu41,Nyu4100,Giant cell arteritis NOS
Systemic connective tissue disorders,N200,N200.00,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,G755,G755.00,[X]Other giant cell arteritis
Systemic connective tissue disorders,G755z,G755z00,[X]Other giant cell arteritis
Systemic connective tissue disorders,Nyu41,Nyu4100,[X]Other giant cell arteritis
Systemic connective tissue disorders,^ESCTRH356200,,Polymyalgia rheumatica
Systemic connective tissue disorders,^ESCTSE356201,,Polymyalgia rheumatica
Systemic connective tissue disorders,^ESCTPM356202,,Polymyalgia rheumatica
Systemic connective tissue disorders,^ESCTFO356199,,Polymyalgia rheumatica
Systemic connective tissue disorders,N20,N20..00,Polymyalgia rheumatica
Systemic connective tissue disorders,N20-1,N20..11,Polymyalgia rheumatica
Systemic connective tissue disorders,^ESCTRH356200,,Polymyalgia
Systemic connective tissue disorders,^ESCTSE356201,,Polymyalgia
Systemic connective tissue disorders,^ESCTPM356202,,Polymyalgia
Systemic connective tissue disorders,^ESCTFO356199,,Polymyalgia
Systemic connective tissue disorders,N20,N20..00,Polymyalgia
Systemic connective tissue disorders,N20-1,N20..11,Polymyalgia
Systemic connective tissue disorders,F3710,F371000,Polyneuropathy in disseminated lupus erythematosus
Systemic connective tissue disorders,F3961,F396100,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,F4D33,F4D3300,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,^ESCTDI378950,,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,^ESCTDI378951,,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,^ESCTDI378949,,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,H57y4,H57y400,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,^ESCTSL361922,,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,^ESCTSY361924,,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,K01x4,K01x400,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,K01x4-1,K01x411,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,^ESCTSL361922,,Lupus nephritis
Systemic connective tissue disorders,^ESCTSY361924,,Lupus nephritis
Systemic connective tissue disorders,K01x4,K01x400,Lupus nephritis
Systemic connective tissue disorders,K01x4-1,K01x411,Lupus nephritis
Systemic connective tissue disorders,K0B40,K0B4000,Renal tubulo-interstitial disorder in systemic lupus erythematosus
Systemic connective tissue disorders,M154z,M154z00,Lupus erythematosus
Systemic connective tissue disorders,^ESCTLU480560,,Lupus erythematosus
Systemic connective tissue disorders,M154,M154.00,Lupus erythematosus
Systemic connective tissue disorders,^ESCTLE480559,,Lupus erythematosus
Systemic connective tissue disorders,M1540,M154000,Lupus erythematosus chronicus
Systemic connective tissue disorders,^ESCTDL480563,,Discoid lupus erythematosus
Systemic connective tissue disorders,^ESCTLE480564,,Discoid lupus erythematosus
Systemic connective tissue disorders,M1541,M154100,Discoid lupus erythematosus
Systemic connective tissue disorders,M1542,M154200,Lupus erythematosus migrans
Systemic connective tissue disorders,M1543,M154300,Lupus erythematosus nodularis
Systemic connective tissue disorders,^ESCTLU273907,,Lupus erythematosus profundus
Systemic connective tissue disorders,M1544,M154400,Lupus erythematosus profundus
Systemic connective tissue disorders,M1545,M154500,Lupus erythematosus tumidus
Systemic connective tissue disorders,M1546,M154600,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,M154z,M154z00,Lupus erythematosus NOS
Systemic connective tissue disorders,^ESCTLU480560,,Lupus erythematosus NOS
Systemic connective tissue disorders,M154,M154.00,Lupus erythematosus NOS
Systemic connective tissue disorders,^ESCTLE480559,,Lupus erythematosus NOS
Systemic connective tissue disorders,Myu78,Myu7800,Cutaneous lupus erythematosus
Systemic connective tissue disorders,N000z,N000z00,Systemic lupus erythematosus
Systemic connective tissue disorders,Nyu43,Nyu4300,Systemic lupus erythematosus
Systemic connective tissue disorders,^ESCTSL340060,,Systemic lupus erythematosus
Systemic connective tissue disorders,N0000,N000000,Systemic lupus erythematosus
Systemic connective tissue disorders,N000,N000.00,Systemic lupus erythematosus
Systemic connective tissue disorders,N000z,N000z00,Disseminated lupus erythematosus
Systemic connective tissue disorders,Nyu43,Nyu4300,Disseminated lupus erythematosus
Systemic connective tissue disorders,^ESCTSL340060,,Disseminated lupus erythematosus
Systemic connective tissue disorders,N0000,N000000,Disseminated lupus erythematosus
Systemic connective tissue disorders,N000,N000.00,Disseminated lupus erythematosus
Systemic connective tissue disorders,^ESCTNO337710,,Libman-Sacks disease
Systemic connective tissue disorders,^ESCTNO337706,,Libman-Sacks disease
Systemic connective tissue disorders,^ESCTAT337708,,Libman-Sacks disease
Systemic connective tissue disorders,^ESCTAT337709,,Libman-Sacks disease
Systemic connective tissue disorders,N0001,N000100,Libman-Sacks disease
Systemic connective tissue disorders,^ESCTLI337707,,Libman-Sacks disease
Systemic connective tissue disorders,N0002,N000200,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,N0003,N000300,Systemic lupus erythematosus with organ/system involvement
Systemic connective tissue disorders,N0004,N000400,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,^ESCTCE406029,,Cerebral lupus
Systemic connective tissue disorders,N0006-1,N000611,Cerebral lupus
Systemic connective tissue disorders,N0006,N000600,Cerebral lupus
Systemic connective tissue disorders,^ESCTLU406027,,Cerebral lupus
Systemic connective tissue disorders,N000z,N000z00,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,Nyu43,Nyu4300,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,^ESCTSL340060,,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,N0000,N000000,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,N000,N000.00,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,N000z,N000z00,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,Nyu43,Nyu4300,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,^ESCTSL340060,,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,N0000,N000000,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,N000,N000.00,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,,,Systemic lupus activity measure
Systemic connective tissue disorders,,,SLAM - Systemic lupus activity measure
Systemic connective tissue disorders,,,Systemic lupus erythematosus disease activity index
Systemic connective tissue disorders,^ESCTMY477095,,Myopathy due to scleroderma
Systemic connective tissue disorders,F3966,F396600,Myopathy due to scleroderma
Systemic connective tissue disorders,^ESCTSC478240,,Lung disease with systemic sclerosis
Systemic connective tissue disorders,H572,H572.00,Lung disease with systemic sclerosis
Systemic connective tissue disorders,^ESCTSC478241,,Lung disease with systemic sclerosis
Systemic connective tissue disorders,K0J0,K0J0.00,Renal involvement in scleroderma
Systemic connective tissue disorders,Nyu45,Nyu4500,Scleroderma
Systemic connective tissue disorders,^ESCTSC394912,,Scleroderma
