Condition,ReadCode,CleansedReadCode,Term
Visual disturbances and blindness,,,Blind (subjectively)
Visual disturbances and blindness,,,Disability code - Sight
Visual disturbances and blindness,,,England and Wales partially sighted certification
Visual disturbances and blindness,,,Ineligibility for diab. eye screen: Blind (screening contraind)
Visual disturbances and blindness,,,Partially sighted (subjectively)
Visual disturbances and blindness,,,Sight impairment
Visual disturbances and blindness,,,Vision - blind despite any aid
Visual disturbances and blindness,,,sight impaired
Visual disturbances and blindness,,,visual loss nos
Visual disturbances and blindness,1B75.00,,Loss of vision
Visual disturbances and blindness,2B6A.11,,O/E - blind R-eye
Visual disturbances and blindness,2B6B.00,,O/E - R-eye completely blind
Visual disturbances and blindness,2B6S.00,,O/E - pinhole R-eye completely blind
Visual disturbances and blindness,2B7A.11,,O/E - blind L-eye
Visual disturbances and blindness,2B7B.00,,O/E - L-eye completely blind
Visual disturbances and blindness,2B7S.00,,O/E - pinhole L-eye completely blind
Visual disturbances and blindness,2BBo.00,,O/E - sight threatening diabetic retinopathy
Visual disturbances and blindness,2BBr.00,,Impaired vision due to diabetic retinopathy
Visual disturbances and blindness,6688,,Registered partially sighted
Visual disturbances and blindness,6688.11,,Registered partially blind
Visual disturbances and blindness,6689,,Registered blind
Visual disturbances and blindness,6689.11,,Registered severely sight impaired
Visual disturbances and blindness,668D.00,,Registered sight impaired
Visual disturbances and blindness,8F6..11,,Blind rehabilitation
Visual disturbances and blindness,8F61.00,,Blind rehabilitation
Visual disturbances and blindness,8F62.00,,Blind lead dog rehabilitation
Visual disturbances and blindness,8HlE.00,,Referral to visual impairment multidisciplinary team
Visual disturbances and blindness,9NfB.00,,Requires deafblind communicator guide
Visual disturbances and blindness,9NlD.00,,Seen by visual impairment teacher
Visual disturbances and blindness,9m08.00,,Excluded from diabetic retinopathy screening as blind
Visual disturbances and blindness,F404100,,Blind hypotensive eye
Visual disturbances and blindness,F404200,,Blind hypertensive eye
Visual disturbances and blindness,F49..00,,Blindness and low vision
Visual disturbances and blindness,F49..11,,Impaired vision
Visual disturbances and blindness,F49..13,,Partial sight
Visual disturbances and blindness,F49..14,,Sight impaired
Visual disturbances and blindness,F490.00,,"Blindness, both eyes"
Visual disturbances and blindness,F490000,,Unspecified blindness both eyes
Visual disturbances and blindness,F490100,,Both eyes total visual impairment
Visual disturbances and blindness,F490200,,"Better eye: near total VI, Lesser eye: unspecified"
Visual disturbances and blindness,F490400,,"Better eye: near total VI, Lesser eye: near total VI"
Visual disturbances and blindness,F490600,,"Better eye: profound VI, Lesser eye: total VI"
Visual disturbances and blindness,F490900,,"Acquired blindness, both eyes"
Visual disturbances and blindness,F490z00,,Blindness both eyes NOS
Visual disturbances and blindness,F491.00,,"Better eye: low vision, Lesser eye: profound VI"
Visual disturbances and blindness,F491000,,"One eye blind, one eye low vision"
Visual disturbances and blindness,F491100,,"Better eye: severe VI, Lesser eye: blind, unspecified"
Visual disturbances and blindness,F491300,,"Better eye: severe VI, Lesser eye: near total VI"
Visual disturbances and blindness,F491400,,"Better eye: severe VI, Lesser eye: profound VI"
Visual disturbances and blindness,F491500,,"Better eye: moderate VI, Lesser eye: blind, unspecified"
Visual disturbances and blindness,F491700,,"Better eye: moderate VI, Lesser eye: near total VI"
Visual disturbances and blindness,F491z00,,"One eye blind, one eye low vision NOS"
Visual disturbances and blindness,F492.00,,"Low vision, both eyes"
Visual disturbances and blindness,F492000,,"Low vision, both eyes unspecified"
Visual disturbances and blindness,F492200,,"Better eye: severe VI, Lesser eye: severe VI"
Visual disturbances and blindness,F492300,,"Better eye: moderate VI, Lesser eye: low vision unspecified"
Visual disturbances and blindness,F492400,,"Better eye: moderate VI, Lesser eye: severe VI"
Visual disturbances and blindness,F492500,,"Better eye: moderate VI, Lesser eye: moderate VI"
Visual disturbances and blindness,F492z00,,"Low vision, both eyes NOS"
Visual disturbances and blindness,F493.00,,"Visual loss, both eyes unqualified"
Visual disturbances and blindness,F494.00,,Legal blindness USA
Visual disturbances and blindness,F495.00,,"Profound impairment, one eye"
