Condition,ReadCode,CleansedReadCode,Term
polyneuropathies,,,Mononeuritis - upper limb
polyneuropathies,,,Neuralgia/neurit.-pelvis/thigh
polyneuropathies,,,Neuralgia/neuritis - NOS
polyneuropathies,,,Neuralgia/neuritis - fore arm
polyneuropathies,,,Neuralgia/neuritis - hand
polyneuropathies,,,Neuralgia/neuritis - lower leg
polyneuropathies,,,Neuralgia/neuritis - shoulder
polyneuropathies,,,Neuralgia/neuritis - upper arm
polyneuropathies,,,Neuralgia/neuritis -ankle/foot
polyneuropathies,,,Neuralgia/neuritis NOS
polyneuropathies,,,Other mononeuritis -lower limb
polyneuropathies,,,PHN - Post-herpetic neuralgia
polyneuropathies,,,Retrobulbar neuritis
polyneuropathies,,,[RFC] Neuralgia
polyneuropathies,,,alcoholic polyneuropathy
polyneuropathies,,,axonal sensorimotor neuropathy
polyneuropathies,,,insulin dependent diab mell with neuropathic arthropathy
polyneuropathies,,,insulin dependent diabetes mellitus with mononeuropathy
polyneuropathies,,,median nerve lesions nos
polyneuropathies,,,mononeuritis of upper limb and mononeuritis multiplex
polyneuropathies,,,morton's metatarsalgia
polyneuropathies,,,neuropathic foot ulcer
polyneuropathies,,,other mononeuritis lower limb
polyneuropathies,,,peripheral nervous system disorder nos
polyneuropathies,,,postherpetic polyneuropathy
polyneuropathies,,,type 1 diabetes mellitus with mononeuropathy
polyneuropathies,,,type 1 diabetes mellitus with polyneuropathy
polyneuropathies,,,type 2 diabetes mellitus with mononeuropathy
polyneuropathies,,,type i diabetes mellitus with mononeuropathy
polyneuropathies,,,type i diabetes mellitus with neuropathic arthropathy
polyneuropathies,,,type i diabetes mellitus with polyneuropathy
polyneuropathies,A531300,,Postherpetic polyneuropathy
polyneuropathies,A72x100,,Mumps polyneuropathy
polyneuropathies,C106.12,,Diabetes mellitus with neuropathy
polyneuropathies,C106.13,,Diabetes mellitus with polyneuropathy
polyneuropathies,C108B00,,Insulin dependent diabetes mellitus with mononeuropathy
polyneuropathies,C108B11,,Type I diabetes mellitus with mononeuropathy
polyneuropathies,C108C00,,Insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,C108J00,,Insulin dependent diab mell with neuropathic arthropathy
polyneuropathies,C108J11,,Type I diabetes mellitus with neuropathic arthropathy
polyneuropathies,C108J12,,Type 1 diabetes mellitus with neuropathic arthropathy
polyneuropathies,C109A00,,Non-insulin dependent diabetes mellitus with mononeuropathy
polyneuropathies,C109A11,,Type II diabetes mellitus with mononeuropathy
polyneuropathies,C109B00,,Non-insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,C109B11,,Type II diabetes mellitus with polyneuropathy
polyneuropathies,C109B12,,Type 2 diabetes mellitus with polyneuropathy
polyneuropathies,C109H00,,Non-insulin dependent d m with neuropathic arthropathy
polyneuropathies,C109H11,,Type II diabetes mellitus with neuropathic arthropathy
polyneuropathies,C109H12,,Type 2 diabetes mellitus with neuropathic arthropathy
polyneuropathies,C10EB00,,Type 1 diabetes mellitus with mononeuropathy
polyneuropathies,C10EC00,,Type 1 diabetes mellitus with polyneuropathy
polyneuropathies,C10EC11,,Type I diabetes mellitus with polyneuropathy
polyneuropathies,C10EC12,,Insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,C10EJ00,,Type 1 diabetes mellitus with neuropathic arthropathy
polyneuropathies,C10FA00,,Type 2 diabetes mellitus with mononeuropathy
polyneuropathies,C10FA11,,Type II diabetes mellitus with mononeuropathy
polyneuropathies,C10FB00,,Type 2 diabetes mellitus with polyneuropathy
polyneuropathies,C10FB11,,Type II diabetes mellitus with polyneuropathy
polyneuropathies,C10FH00,,Type 2 diabetes mellitus with neuropathic arthropathy
polyneuropathies,C10FH11,,Type II diabetes mellitus with neuropathic arthropathy
polyneuropathies,C34y400,,Gouty neuritis
polyneuropathies,E011100,,Korsakov's alcoholic psychosis with peripheral neuritis
polyneuropathies,F34..00,,Mononeuritis of upper limb and mononeuritis multiplex
polyneuropathies,F341.00,,Other median nerve lesions
polyneuropathies,F341000,,Median nerve neuritis
polyneuropathies,F341100,,Median nerve compression in forearm
polyneuropathies,F341z00,,Median nerve lesions NOS
polyneuropathies,F342.00,,Ulnar nerve lesions
polyneuropathies,F342.11,,Neuritis ulnar nerve
polyneuropathies,F342000,,Cubital tunnel syndrome
polyneuropathies,F342100,,Tardy ulnar nerve palsy
polyneuropathies,F342200,,Canal of Guyon compression
polyneuropathies,F342300,,Ulnar nerve entrapment
polyneuropathies,F342400,,Ulnar neuropathy
polyneuropathies,F342z00,,Ulnar nerve lesion NOS
polyneuropathies,F343.00,,Radial nerve lesions
polyneuropathies,F343100,,Sensory branch of radial nerve lesion
polyneuropathies,F343200,,Posterior interosseous nerve lesion
polyneuropathies,F343z00,,Radial nerve lesion NOS
polyneuropathies,F344.00,,Causalgia
polyneuropathies,F345.00,,Mononeuritis multiplex
polyneuropathies,F345000,,Diabetic mononeuritis multiplex
polyneuropathies,F346.00,,Median nerve entrapment
polyneuropathies,F34y.00,,Other upper limb mononeuritis
polyneuropathies,F34z.00,,Mononeuritis upper limb NOS
polyneuropathies,F35..00,,Mononeuritis lower limb
polyneuropathies,F350.00,,Sciatic nerve lesion
polyneuropathies,F351.00,,Meralgia paraesthetica
polyneuropathies,F352.00,,Femoral nerve lesions
polyneuropathies,F353.00,,Common peroneal nerve lesion
polyneuropathies,F353.11,,Lateral popliteal nerve lesion
polyneuropathies,F354.00,,Tibial nerve lesion
polyneuropathies,F354.11,,Medial popliteal nerve lesion
polyneuropathies,F355.00,,Tarsal tunnel syndrome
polyneuropathies,F356.00,,Plantar nerve lesion
polyneuropathies,F356000,,Morton's metatarsalgia
polyneuropathies,F356100,,Morton's neuralgia
polyneuropathies,F356z00,,Plantar nerve lesion NOS
polyneuropathies,F357.00,,Superficial peroneal nerve lesion
polyneuropathies,F358.00,,Deep peroneal nerve lesion
polyneuropathies,F35x.00,,Other mononeuritis lower limb
polyneuropathies,F35y.00,,Unspecified mononeuritis lower limb
polyneuropathies,F35z.00,,Mononeuritis of unspecified site NOS
polyneuropathies,F35z000,,Diabetic mononeuritis NOS
polyneuropathies,F360000,,Dejerine-Sottas disease
polyneuropathies,F361.00,,Peroneal muscular atrophy
polyneuropathies,F361000,,Charcot-Marie-Tooth disease
polyneuropathies,F361011,,Charcot's atrophy
polyneuropathies,F361012,,Charcot-Marie-Tooth syndrome
polyneuropathies,F361z00,,Peroneal muscular atrophy NOS
polyneuropathies,F363.00,,Refsum's disease
polyneuropathies,F364.00,,Idiopathic progressive polyneuropathy
polyneuropathies,F366.00,,Polyneuropathy
polyneuropathies,F367.00,,Peripheral neuropathy
polyneuropathies,F36y.00,,Other idiopathic peripheral neuropathy
polyneuropathies,F36yz00,,Other idiopathic peripheral neuropathy NOS
polyneuropathies,F37..00,,Inflammatory and toxic neuropathy
polyneuropathies,F37..11,,Toxic neuropathy
polyneuropathies,F370000,,Guillain-Barre syndrome
polyneuropathies,F370100,,Postinfectious polyneuritis
polyneuropathies,F370200,,Miller-Fisher syndrome
