Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Addison's disease,31904001,485064014,Excision of adrenal gland operations
Addison's disease,172021003,266381013,Bilateral adrenalectomy and transposition of adrenal tissue
Addison's disease,302340005,443963019,Bilateral adrenalectomy
Addison's disease,186270000,286325014,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,386584007,1491626013,Corticoadrenal insufficiency
Addison's disease,24867002,41675016,Acute adrenal insufficiency
Addison's disease,24867002,41675016,Addisonian crisis
Addison's disease,24867002,41675016,Adrenal crisis
Addison's disease,363732003,485624014,Addison's disease
Addison's disease,386584007,1480726013,Corticoadrenal insufficiency NOS
Addison's disease,237785004,3506672018,Adrenal hypofunction
Addison's disease,386584007,1491625012,Adrenal insufficiency
Addison's disease,237785004,356349017,Hypoadrenalism
Addison's disease,237785004,356349017,Other adrenal hypofunction NOS
Addison's disease,34253008,57198011,Myopathy due to Addison's disease
