Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Adrenal insufficiency and Addison's disease,31904001,485064014,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,172021003,266381013,Bilateral adrenalectomy and transposition of adrenal tissue
Adrenal insufficiency and Addison's disease,302340005,443963019,Bilateral adrenalectomy
Adrenal insufficiency and Addison's disease,186270000,286325014,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,386584007,1491626013,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,24867002,41675016,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,24867002,41675016,Addisonian crisis
Adrenal insufficiency and Addison's disease,24867002,41675016,Adrenal crisis
Adrenal insufficiency and Addison's disease,363732003,485624014,Addison's disease
Adrenal insufficiency and Addison's disease,386584007,1480726013,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,237785004,3506672018,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,386584007,1491625012,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,237785004,356349017,Hypoadrenalism
Adrenal insufficiency and Addison's disease,237785004,356349017,Other adrenal hypofunction NOS
Adrenal insufficiency and Addison's disease,34253008,57198011,Myopathy due to Addison's disease
