Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Arthrosis,239874001,359422017,OA - Osteoarthritis of ankle
Arthrosis,396275006,889931000006113,Osteoarthritis - ankle/foot
Arthrosis,396275006,889881000006119,Osteoarthritis - elbow joint
Arthrosis,396275006,889901000006117,Osteoarthritis - hand joint
Arthrosis,396275006,889911000006119,Osteoarthritis - hip joint
Arthrosis,637091000000105,889921000006110,Osteoarthritis - knee joint
Arthrosis,666451000000100,889941000006115,Osteoarthritis - other joint
Arthrosis,396275006,889891000006116,Osteoarthritis - wrist joint
Arthrosis,201819000,889861000006112,Osteoarthritis -multiple joint
Arthrosis,666441000000103,889871000006117,Osteoarthritis -shoulder joint
Arthrosis,239868001,359414012,Osteoarthritis of finger joint
Arthrosis,239873007,1954201000006110,Osteoarthritis of knee
Arthrosis,201829007,309881012,"Localised, primary osteoarthritis of the lower leg"
Arthrosis,576511000000100,1280421000000111,"Osteoarthritis NOS, of elbow"
Arthrosis,666441000000103,1462811000000116,"Osteoarthritis NOS, of shoulder region"
Arthrosis,637091000000105,1403631000000115,"Osteoarthritis NOS, of the lower leg"
Arthrosis,666451000000100,1462821000000110,"Osteoarthritis NOS, other specified site"
Arthrosis,239863005,1839121000006116,Osteoarthritis of spinal facet joint
Arthrosis,239862000,359399017,Primary generalized osteoarthrosis
Arthrosis,164455009,255924016,O/E - hands - Heberden's nodes
Arthrosis,230771000000108,370721000000116,Delivery of rehabilitation for osteoarthritis
Arthrosis,396275006,1776248011,Osteoarthritis and allied disorders
Arthrosis,396275006,1776248011,Osteoarthritis
Arthrosis,201819000,309860012,Generalised osteoarthritis - OA
Arthrosis,201819000,309858010,Generalised osteoarthritis of unspecified site
Arthrosis,267889007,400175010,Generalised osteoarthritis of the hand
Arthrosis,371598009,1210227011,Heberdens' nodes
Arthrosis,20243008,480522017,Bouchards' nodes
Arthrosis,201819000,309854012,Generalised osteoarthritis of multiple sites
Arthrosis,20243008,480522017,Bouchard's nodes with arthropathy
Arthrosis,239862000,359394010,Primary generalized osteoarthrosis
Arthrosis,201825001,309876015,Secondary multiple arthrosis
Arthrosis,201826000,309877012,Erosive osteoarthrosis
Arthrosis,201827009,309878019,Heberden's nodes with arthropathy
Arthrosis,201819000,309860012,Generalised osteoarthritis NOS
Arthrosis,201829007,309881012,"Localised, primary osteoarthritis"
Arthrosis,201829007,309881012,"Localised, primary osteoarthritis of unspecified site"
Arthrosis,201831003,309885015,"Localised, primary osteoarthritis of the shoulder region"
Arthrosis,313259008,457122015,"Localised, primary osteoarthritis of the upper arm"
Arthrosis,313257005,457118013,"Localised, primary osteoarthritis of the forearm"
Arthrosis,201834006,309892013,"Localised, primary osteoarthritis of the hand"
Arthrosis,201835007,309893015,"Localised, primary osteoarthritis of the pelvic region/thigh"
Arthrosis,201837004,309898012,"Localised, primary osteoarthritis of the ankle and foot"
Arthrosis,201829007,309881012,"Localised, primary osteoarthritis of other specified site"
Arthrosis,201839001,309901013,"Primary coxarthrosis, bilateral"
Arthrosis,201840004,309902018,"Coxarthrosis resulting from dysplasia, bilateral"
Arthrosis,201841000,309903011,"Primary gonarthrosis, bilateral"
Arthrosis,201842007,309904017,"Primary arthrosis of first carpometacarpal joints, bilateral"
Arthrosis,313257005,457118013,"Localised, primary osteoarthritis of the wrist"
Arthrosis,313259008,457122015,"Localised, primary osteoarthritis of elbow"
Arthrosis,239863005,359402016,Osteoarthritis of spinal facet joint
Arthrosis,201829007,309881012,"Localised, primary osteoarthritis NOS"
Arthrosis,201847001,309914014,"Localised, secondary osteoarthritis"
Arthrosis,201847001,309913015,"Localised, secondary osteoarthritis of unspecified site"
Arthrosis,201849003,309918012,"Localised, secondary osteoarthritis of the shoulder region"
Arthrosis,201847001,309913015,"Localised, secondary osteoarthritis of the upper arm"
Arthrosis,201847001,309913015,"Localised, secondary osteoarthritis of the forearm"
Arthrosis,201852006,309923012,"Localised, secondary osteoarthritis of the hand"
Arthrosis,267890003,400176011,"Localised, secondary osteoarthritis of pelvic region/thigh"
Arthrosis,55176002,91728013,Coxae malum senilis
