Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Cerebrovascular disease,275526006,2986886017,History of cerebrovascular accident
Cerebrovascular disease,275526006,411518010,H/O: CVA
Cerebrovascular disease,275526006,2476091017,H/O: stroke
Cerebrovascular disease,161511000,251692018,H/O: TIA
Cerebrovascular disease,13016361000119100,2713751000000114,H/O amaurosis fugax
Cerebrovascular disease,308067002,451371010,H/O: Stroke in last year
Cerebrovascular disease,230736007,345718011,Transient global amnesia
Cerebrovascular disease,277286006,413750011,Central post-stroke pain
Cerebrovascular disease,812041000000104,2118011000000114,Stroke self-management plan agreed
Cerebrovascular disease,810991000000109,2115821000000118,Stroke self-management plan review
Cerebrovascular disease,699270006,2983515011,CVA annual review
Cerebrovascular disease,699270006,2983500010,Stroke annual review
Cerebrovascular disease,170600009,264499015,Stroke monitoring
Cerebrovascular disease,519751000000106,1160471000000111,Stroke 6 month review
Cerebrovascular disease,816561000000108,2127781000000110,Stroke initial post discharge review
Cerebrovascular disease,231231000000107,371641000000112,Delivery of rehabilitation for stroke
Cerebrovascular disease,736288002,3517033016,Transient ischaemic attack clinical management plan
Cerebrovascular disease,112901000000108,199461000000113,Referral to multidisciplinary stroke function improvement service
Cerebrovascular disease,781731000000103,1747751000000110,Referral for multidisciplinary stroke function improvement declined
Cerebrovascular disease,716331000000108,1568881000000119,Exception reporting - stroke quality indicators
Cerebrovascular disease,716581000000101,1569131000000118,Excepted from stroke quality indicators - patient unsuitable
Cerebrovascular disease,716021000000109,1568581000000116,Excepted from stroke quality indicators - informed dissent
Cerebrovascular disease,88032003,145925010,Amaurosis fugax
Cerebrovascular disease,266257000,395788015,Transient cerebral ischemia
Cerebrovascular disease,230698000,345651012,Lacunar infarction
Cerebrovascular disease,230692004,345639010,Infarction - precerebral
Cerebrovascular disease,195185009,300312010,Cerebral infarct due to thrombosis of precerebral arteries
Cerebrovascular disease,195186005,300313017,Cerebral infarction due to embolism of precerebral arteries
Cerebrovascular disease,20059004,1222398015,Cerebral arterial occlusion
Cerebrovascular disease,230691006,345638019,CVA - cerebrovascular accident due to cerebral artery occlusion
Cerebrovascular disease,432504007,2770034014,Infarction - cerebral
Cerebrovascular disease,230691006,345638019,Stroke due to cerebral arterial occlusion
Cerebrovascular disease,71444005,118689010,Cerebral thrombosis
Cerebrovascular disease,195189003,300321011,Cerebral infarction due to thrombosis of cerebral arteries
Cerebrovascular disease,75543006,125470015,Cerebral embolism
Cerebrovascular disease,75543006,125470015,Cerebral embolus
Cerebrovascular disease,195190007,300322016,Cerebral infarction due to embolism of cerebral arteries
Cerebrovascular disease,432504007,2770034014,Cerebral infarction
Cerebrovascular disease,95457000,158113017,Brainstem infarction NOS
Cerebrovascular disease,95460007,158118014,Cerebellar infarction
Cerebrovascular disease,95457000,158113017,Brain stem infarction
Cerebrovascular disease,78569004,130374019,Wallenberg's syndrome
Cerebrovascular disease,78569004,130375018,Lateral medullary syndrome
Cerebrovascular disease,307766002,451133011,Left sided cerebral infarction
Cerebrovascular disease,307767006,451134017,Right sided cerebral infarction
Cerebrovascular disease,413102000,2474651019,Infarction of basal ganglia
Cerebrovascular disease,266257000,395788015,Transient cerebral ischaemia
Cerebrovascular disease,266257000,395783012,Transient ischaemic attack
Cerebrovascular disease,64009001,106394016,Vertebro-basilar insufficiency
Cerebrovascular disease,64009001,499739014,Insufficiency - basilar artery
Cerebrovascular disease,64009001,106394016,Vertebrobasilar insufficiency
Cerebrovascular disease,230716006,345684012,Carotid territory transient ischaemic attack
Cerebrovascular disease,266257000,395788015,Other transient cerebral ischaemia
Cerebrovascular disease,266257000,395788015,Transient cerebral ischaemia NOS
Cerebrovascular disease,195206000,300353019,Intermittent cerebral ischaemia
Cerebrovascular disease,230690007,345637012,Cerebrovascular accident
Cerebrovascular disease,230690007,345637012,CVA unspecified
Cerebrovascular disease,230690007,345637012,Stroke unspecified
Cerebrovascular disease,230690007,345635016,CVA - Cerebrovascular accident
Cerebrovascular disease,195212005,300365015,Brainstem stroke syndrome
Cerebrovascular disease,195213000,300366019,Cerebellar stroke syndrome
Cerebrovascular disease,230699008,345655015,Pure motor lacunar syndrome
Cerebrovascular disease,230700009,345658018,Pure sensory lacunar syndrome
Cerebrovascular disease,195216008,300370010,Left sided CVA
Cerebrovascular disease,195217004,300371014,Right sided CVA
Cerebrovascular disease,195243003,300411016,Sequelae of cerebral infarction
Cerebrovascular disease,195239002,300403014,"Sequelae of stroke,not specfd as h'morrhage or infarction"
Cerebrovascular disease,125081000119106,3042974014,Cerebral infarction due to occlusion of precerebral artery
Cerebrovascular disease,20059004,33759015,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Cerebrovascular disease,20059004,33759015,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Cerebrovascular disease,432504007,2770034014,[X]Other cerebral infarction
Cerebrovascular disease,195239002,300403014,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction"
Cerebrovascular disease,125081000119106,3042974014,[X]Cereb infarct due unsp occlus/stenos precerebr arteries
Cerebrovascular disease,275434003,411416011,CVA - cerebrovascular accident in the puerperium
Cerebrovascular disease,275434003,411416011,Stroke in the puerperium
Cerebrovascular disease,230736007,345719015,TGA - Transient global amnesia
Cerebrovascular disease,275526006,2476091017,[V]Personal history of stroke
Cerebrovascular disease,266995000,397829016,[V]Personal history of cerebrovascular accident (CVA)
Cerebrovascular disease,751371000000107,1667741000000110,[V]Personal history of transient ischaemic attack
