Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Chronic viral hepatitis,221021000000103,350841000000119,Hepatitis B treatment drugs Band 1
Chronic viral hepatitis,66071002,109733012,Viral (serum) hepatitis B
Chronic viral hepatitis,50711007,84513012,Viral hepatitis C without mention of hepatic coma
Chronic viral hepatitis,235865005,353575013,Acute delta-(super)infection of hepatitis B carrier
Chronic viral hepatitis,10295004,17930015,Chronic viral hepatitis
Chronic viral hepatitis,235869004,353580016,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,186639003,286879013,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,128302006,206586011,Chronic viral hepatitis C
Chronic viral hepatitis,61977001,1232261014,Chronic viral hepatitis B
Chronic viral hepatitis,10295004,17930015,"Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,824841000000105,2146441000000112,Hepatitis C genotype 1
Chronic viral hepatitis,824851000000108,2146461000000114,Hepatitis C genotype 2
Chronic viral hepatitis,824871000000104,2146501000000114,Hepatitis C genotype 3
Chronic viral hepatitis,824881000000102,2146521000000116,Hepatitis C genotype 4
Chronic viral hepatitis,50711007,84516016,Hepatitis C
Chronic viral hepatitis,10295004,17930015,[X]Other chronic viral hepatitis
Chronic viral hepatitis,10295004,17930015,"[X]Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,60498001,100520013,Congenital hepatitis B infection
