Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Chronic rheumatic heart diseases,83898004,505828015,Rheumatic mitral valve disease
Chronic rheumatic heart diseases,79619009,1234383014,Mitral stenosis
Chronic rheumatic heart diseases,86466006,143386015,Rheumatic mitral stenosis
Chronic rheumatic heart diseases,31085000,52032016,Rheumatic mitral insufficiency
Chronic rheumatic heart diseases,31085000,1227426018,Mitral incompetence - rheumatic
Chronic rheumatic heart diseases,31085000,52030012,Mitral regurgitation - rheumatic
Chronic rheumatic heart diseases,194726006,299591014,Mitral stenosis with insufficiency
Chronic rheumatic heart diseases,194726006,299593012,Mitral stenosis with incompetence
Chronic rheumatic heart diseases,194726006,299592019,Mitral stenosis with regurgitation
Chronic rheumatic heart diseases,12023003,20721017,Rheumatic aortic valve disease
Chronic rheumatic heart diseases,72011007,119660019,Rheumatic aortic stenosis
Chronic rheumatic heart diseases,78031003,129504017,Rheumatic aortic insufficiency
Chronic rheumatic heart diseases,78031003,1234202016,Aortic incompetence - rheumatic
Chronic rheumatic heart diseases,78031003,129502018,Aortic regurgitation - rheumatic
Chronic rheumatic heart diseases,17759006,30011012,Rheumatic aortic stenosis with insufficiency
Chronic rheumatic heart diseases,12023003,20718019,Rheumatic aortic valve disease NOS
Chronic rheumatic heart diseases,88318005,146419014,Rheumatic tricuspid stenosis
Chronic rheumatic heart diseases,67696008,1232960018,Rheumatic tricuspid insufficiency
Chronic rheumatic heart diseases,67696008,1232959011,Tricuspid regurgitation - rheumatic
Chronic rheumatic heart diseases,67696008,1232958015,Tricuspid incompetence - rheumatic
Chronic rheumatic heart diseases,194741006,299620010,Rheumatic tricuspid stenosis and insufficiency
Chronic rheumatic heart diseases,194741006,299619016,Rheumatic tricuspid stenosis and regurgitation
Chronic rheumatic heart diseases,194741006,299618012,Rheumatic tricuspid stenosis and incompetence
Chronic rheumatic heart diseases,49699002,82772011,Rheumatic tricuspid valve disease NOS
Chronic rheumatic heart diseases,18687009,31507017,Rheumatic pulmonary valve disease
Chronic rheumatic heart diseases,91442002,151483011,Rheumatic pulmonary stenosis
Chronic rheumatic heart diseases,34126003,1228148017,Rheumatic pulmonary insufficiency
Chronic rheumatic heart diseases,85971001,1495489016,Rheumatic pulmonary stenosis and insufficiency
Chronic rheumatic heart diseases,18687009,31504012,Rheumatic pulmonary valve disease NOS
Chronic rheumatic heart diseases,87648004,145328019,"Rheumatic valvulitis, chronic NOS"
Chronic rheumatic heart diseases,12023003,20718019,[X]Other rheumatic aortic valve diseases
