Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Conductive and sensorineural hearing loss,49526009,1230737011,Age-related hearing loss
Conductive and sensorineural hearing loss,48436005,80699013,Articulatory defect due to conductive hearing loss
Conductive and sensorineural hearing loss,48436005,80700014,Articulatory defect secondary to hearing loss
Conductive and sensorineural hearing loss,48436005,2410391000000119,Articulatory impairment due to conductive hearing loss
Conductive and sensorineural hearing loss,44057004,1230041018,CHL - Conductive hearing loss
Conductive and sensorineural hearing loss,85571008,1235048014,Cochlear hearing loss
Conductive and sensorineural hearing loss,8531006,15071010,Complete deafness
Conductive and sensorineural hearing loss,30169000,1226997019,FHL - Functional hearing loss
Conductive and sensorineural hearing loss,30169000,1226996011,Functional hearing loss
Conductive and sensorineural hearing loss,679391000000103,883901000006119,Hearing loss NOS
Conductive and sensorineural hearing loss,15188001,989081000006119,Hearing loss NOS
Conductive and sensorineural hearing loss,15188001,477218019,Impaired hearing
Conductive and sensorineural hearing loss,85571008,1235049018,Inner ear hearing loss
Conductive and sensorineural hearing loss,77507001,1234120019,MHL - Mixed hearing loss
Conductive and sensorineural hearing loss,77507001,128669010,Mixed conductive AND sensorineural hearing loss
Conductive and sensorineural hearing loss,77507001,1234121015,Mixed deafness
Conductive and sensorineural hearing loss,73415002,502427012,NIHL - Noise-induced hearing loss
Conductive and sensorineural hearing loss,30169000,1226994014,NOHL - Non-organic hearing loss
Conductive and sensorineural hearing loss,30169000,1226995010,Non-organic hearing loss
Conductive and sensorineural hearing loss,877191000000104,2310371000000114,Profound BSNHL (bilateral sensorineural hearing loss)
Conductive and sensorineural hearing loss,1776751000006100,1776751000006116,Reason for referral: Hearing Problems/Loss
Conductive and sensorineural hearing loss,73371001,502416010,Retrocochlear hearing loss
Conductive and sensorineural hearing loss,60700002,1232124012,SNHL - Sensorineural hearing loss
Conductive and sensorineural hearing loss,60700002,100854015,Sensorineural deafness
Conductive and sensorineural hearing loss,60700002,1232123018,Sensory-neural hearing loss
Conductive and sensorineural hearing loss,3561000119106,3023143010,Severe hearing loss
Conductive and sensorineural hearing loss,194418004,2821126011,Unilateral conductive hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,194428008,2821036017,Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,194425006,2820989012,Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,416121000000101,12456491000006112,[v]adjustment and management of implanted hearing device
Conductive and sensorineural hearing loss,411511000000107,927411000000113,[v]fitting or adjustment of hearing aid
Conductive and sensorineural hearing loss,290036002,430012018,attention to hearing aid
Conductive and sensorineural hearing loss,918721000006105,918721000006114,bilateral deafness
Conductive and sensorineural hearing loss,183126007,2619459016,changing hearing aid battery
Conductive and sensorineural hearing loss,694231000000100,1518611000000111,"deaf mutism, nec"
Conductive and sensorineural hearing loss,918681000006103,918681000006119,deafness
Conductive and sensorineural hearing loss,679391000000103,1488821000000110,deafness nos
Conductive and sensorineural hearing loss,285055002,423945013,does use hearing aid
Conductive and sensorineural hearing loss,15188001,477220016,hard of hearing
Conductive and sensorineural hearing loss,982621000006102,982621000006118,hearing impaired
Conductive and sensorineural hearing loss,15188001,477221017,hearing impairment
Conductive and sensorineural hearing loss,15188001,477225014,hi - hearing impairment
Conductive and sensorineural hearing loss,15188001,477224013,hl - hearing loss
Conductive and sensorineural hearing loss,15188001,477219010,hoh - hard of hearing
Conductive and sensorineural hearing loss,164068006,255434015,o/e - conductive deafness
Conductive and sensorineural hearing loss,918711000006102,918711000006118,partial deafness
Conductive and sensorineural hearing loss,162342008,253161014,unilateral deafness
Conductive and sensorineural hearing loss,918701000006100,918701000006116,unilateral deafness
Conductive and sensorineural hearing loss,285055002,423944012,uses hearing aid
Conductive and sensorineural hearing loss,987421000006102,987421000006118,uses hearing loop
Conductive and sensorineural hearing loss,15188001,25788011,Deafness
Conductive and sensorineural hearing loss,272033007,407075014,Deafness symptom
Conductive and sensorineural hearing loss,162342008,253161014,Unilateral deafness
Conductive and sensorineural hearing loss,343087000,470343013,Partial deafness
Conductive and sensorineural hearing loss,162344009,253163012,Bilateral deafness
Conductive and sensorineural hearing loss,390967001,1484996016,Hearing aid problem
Conductive and sensorineural hearing loss,275879008,411844019,O/E - deaf
Conductive and sensorineural hearing loss,164061000,255426014,O/E - significantly deaf
Conductive and sensorineural hearing loss,164062007,255427017,O/E - very deaf
Conductive and sensorineural hearing loss,164063002,255428010,O/E - completely deaf
Conductive and sensorineural hearing loss,44057004,73473018,O/E - conductive deafness
Conductive and sensorineural hearing loss,164069003,255435019,O/E - perceptive deafness
Conductive and sensorineural hearing loss,285055002,423944012,Hearing aid worn
Conductive and sensorineural hearing loss,198061000000105,298231000000110,Uses hearing loop
Conductive and sensorineural hearing loss,429585000,2692293012,Placement of hearing implant in external ear
Conductive and sensorineural hearing loss,428619000,2693867016,Attention to hearing implant in external ear
Conductive and sensorineural hearing loss,232183005,347885014,Insertn bone anchors subcutaneous bone anchored hearing aid
Conductive and sensorineural hearing loss,428004000,2694704011,Placement of hearing implant in middle ear
Conductive and sensorineural hearing loss,429383008,2695992016,Attention to hearing implant in middle ear
Conductive and sensorineural hearing loss,426733001,2675905016,Attachment of bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,225871000000108,360891000000116,Reduction soft tissue for bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,225791000000104,360731000000111,Attention to fixtures for bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,280651000000104,482511000000116,One stage insert fixtures bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,426647008,2675980012,Fitting external hearing prosthesis bone anchored fixtures
Conductive and sensorineural hearing loss,225861000000101,487301000000112,First stge ins fixtures for bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,225951000000109,487311000000114,Second stage ins fixtures for bone anchored hearing prosth
Conductive and sensorineural hearing loss,426733001,2675905016,Other specified attachment bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,426733001,2675905016,Attachment of bone anchored hearing prosthesis NOS
Conductive and sensorineural hearing loss,281656009,419723011,Hearing aid provision
Conductive and sensorineural hearing loss,183123004,283069016,Provide head worn hearing aid
Conductive and sensorineural hearing loss,183124005,283070015,Provide body worn hearing aid
Conductive and sensorineural hearing loss,183125006,283071016,Ear fitting hearing aid
Conductive and sensorineural hearing loss,183126007,283072011,Replace hearing aid battery
