Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Coronary heart disease,161502000,251675010,H/O: myocardial infarct at less than 60
Coronary heart disease,161503005,251678012,H/O: myocardial infarct at greater than 60
Coronary heart disease,161504004,251679016,H/O: angina pectoris
Coronary heart disease,308065005,451369010,H/O: Myocardial infarction in last year
Coronary heart disease,308066006,451370011,H/O: Angina in last year
Coronary heart disease,308068007,451372015,H/O: Treatment for ischaemic heart disease
Coronary heart disease,165084003,256748011,Exercise ECG abnormal
Coronary heart disease,165084003,2535824013,Positive exercise ECG test
Coronary heart disease,164861001,1205556017,ECG myocardial ischaemia
Coronary heart disease,164861001,1205556017,ECG:shows myocardial ischaemia
Coronary heart disease,164861001,1205556017,ECG: myocardial ischaemia NOS
Coronary heart disease,164865005,256452010,ECG: myocardial infarction
Coronary heart disease,164868007,256455012,ECG: antero-septal infarct.
Coronary heart disease,164869004,256457016,ECG:posterior/inferior infarct
Coronary heart disease,164870003,256458014,ECG: subendocardial infarct
Coronary heart disease,164871004,256459018,ECG: lateral infarction
Coronary heart disease,164865005,256452010,ECG: myocardial infarct NOS
Coronary heart disease,26141007,483123017,ST depression
Coronary heart disease,164934002,256526019,ECG: T wave abnormal
Coronary heart disease,66812002,500529015,ECG: T wave flattened
Coronary heart disease,59931005,498584015,Inverted T wave
Coronary heart disease,165084003,256747018,Exercise tolerance test abnormal
Coronary heart disease,168939002,2666780014,Coronary arteriography abnormal
Coronary heart disease,412747004,2474304012,Radionuclide heart study abnormal
Coronary heart disease,170593007,264492012,Angina control
Coronary heart disease,170594001,264493019,Angina control - good
Coronary heart disease,170595000,264494013,Angina control - poor
Coronary heart disease,170596004,264495014,Angina control - improving
Coronary heart disease,170597008,264496010,Angina control - worsening
Coronary heart disease,170593007,264492012,Angina control NOS
Coronary heart disease,315614006,460133017,Coronary heart disease annual review
Coronary heart disease,390799004,1484833014,Coronary heart disease review
Coronary heart disease,232717009,348644016,Coronary artery bypass graft operations
Coronary heart disease,3546002,6979016,Saphenous vein graft replacement of coronary artery
Coronary heart disease,3546002,1228282017,Saphenous vein graft replacement of coronary artery
Coronary heart disease,736967001,3525967012,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,736969003,3525975018,Aortocoronary artery bypass of two coronary arteries with saphenous vein graft
Coronary heart disease,736968006,3525971010,Aortocoronary artery bypass of three coronary arteries with saphenous vein graft
Coronary heart disease,736966005,3525965016,Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft
Coronary heart disease,3546002,6979016,Aortocoronary artery bypass graft with saphenous vein graft
Coronary heart disease,3546002,6979016,Saphenous vein graft replacement coronary artery NOS
Coronary heart disease,232717009,348640013,Other autograft bypass of coronary artery
