Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Dementia,268612007,882171000006115,Dementia
Dementia,1856601000006107,1856601000006111,Dementia monitoring in primary care
Dementia,1856611000006104,1856611000006114,Dementia monitoring in secondary care
Dementia,914941000006108,914941000006112,[D] Dementia
Dementia,914951000006105,914951000006114,[D] Dementia in Alzheimer's disease
Dementia,914931000006103,914931000006119,[D] Dementia with Lewy bodies
Dementia,914921000006101,914921000006117,[D] Vascular dementia
Dementia,56267009,2921000019,multi infarct dementia
Dementia,248711000000102,407461000000119,Dementia monitoring
Dementia,715821000000107,1568381000000110,Dementia monitoring first letter
Dementia,717471000000101,1570011000000111,Dementia monitoring second letter
Dementia,716671000000102,1569221000000112,Dementia monitoring third letter
Dementia,716221000000104,1568781000000111,Dementia monitoring verbal invite
Dementia,716991000000108,1569541000000119,Dementia monitoring telephone invite
Dementia,716341000000104,1568891000000117,Excepted from dementia quality indicators: Patient unsuitabl
Dementia,716131000000105,1568691000000118,Excepted from dementia quality indicators: Informed dissent
Dementia,268612007,401757012,Senile and presenile organic psychotic conditions
Dementia,15662003,26545010,Senile dementia
Dementia,52448006,87274019,Senile/presenile dementia
Dementia,191449005,294635013,Uncomplicated senile dementia
Dementia,12348006,21256010,Presenile dementia
Dementia,191451009,294637017,Uncomplicated presenile dementia
Dementia,191452002,294638010,Presenile dementia with delirium
Dementia,191454001,294641018,Presenile dementia with paranoia
Dementia,191455000,294642013,Presenile dementia with depression
Dementia,12348006,21256010,Presenile dementia NOS
Dementia,191457008,294644014,Senile dementia with depressive or paranoid features
Dementia,191458003,294645010,Senile dementia with paranoia
Dementia,191459006,294646011,Senile dementia with depression
Dementia,191457008,294644014,Senile dementia with depressive or paranoid features NOS
Dementia,191461002,294648012,Senile dementia with delirium
Dementia,56267009,497559016,Arteriosclerotic dementia
Dementia,56267009,93568017,Multi infarct dementia
Dementia,191463004,294652012,Uncomplicated arteriosclerotic dementia
Dementia,191464005,294653019,Arteriosclerotic dementia with delirium
Dementia,191465006,294654013,Arteriosclerotic dementia with paranoia
Dementia,191466007,294655014,Arteriosclerotic dementia with depression
Dementia,56267009,497559016,Arteriosclerotic dementia NOS
Dementia,268612007,401757012,Other senile and presenile organic psychoses
Dementia,231438001,346897015,Presbyophrenic psychosis
Dementia,268612007,401757012,Senile or presenile psychoses NOS
Dementia,191519005,294718018,Dementia in conditions EC
Dementia,26929004,45046017,[X]Dementia in Alzheimer's disease
Dementia,416780008,2957119019,[X]Dementia in Alzheimer's disease with early onset
Dementia,416780008,2957138011,"[X]Presenile dementia,Alzheimer's type"
Dementia,416780008,2957119019,"[X]Primary degen dementia, Alzheimer's type, presenile onset"
Dementia,416780008,2957119019,[X]Alzheimer's disease type 2
Dementia,416975007,2957137018,[X]Dementia in Alzheimer's disease with late onset
Dementia,416975007,2957137018,[X]Alzheimer's disease type 1
Dementia,416975007,2957124016,"[X]Senile dementia,Alzheimer's type"
Dementia,416975007,2957137018,"[X]Primary degen dementia of Alzheimer's type, senile onset"
Dementia,26929004,45046017,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
Dementia,26929004,45046017,"[X]Dementia in Alzheimer's disease, unspecified"
Dementia,26929004,45046017,[X]Alzheimer's dementia unspec
Dementia,429998004,2770951017,[X]Vascular dementia
Dementia,56267009,497559016,[X]Arteriosclerotic dementia
Dementia,56267009,93568017,[X]Multi-infarct dementia
Dementia,56267009,93568017,[X]Predominantly cortical dementia
Dementia,230286002,345111013,[X]Subcortical vascular dementia
Dementia,230287006,345112018,[X]Mixed cortical and subcortical vascular dementia
Dementia,429998004,2770951017,[X]Other vascular dementia
Dementia,429998004,2770951017,"[X]Vascular dementia, unspecified"
Dementia,52448006,87274019,[X] Unspecified dementia
Dementia,12348006,21256010,[X] Presenile dementia NOS
Dementia,268612007,401757012,[X] Presenile psychosis NOS
Dementia,279982005,417465012,[X] Primary degenerative dementia NOS
Dementia,15662003,26545010,[X] Senile dementia NOS
Dementia,268612007,401757012,[X] Senile psychosis NOS
Dementia,191457008,294644014,"[X] Senile dementia, depressed or paranoid type"
Dementia,2776000,5694012,[X]Delirium superimposed on dementia
Dementia,26929004,45046017,Alzheimer's disease
Dementia,416780008,2957141019,Alzheimer's disease with early onset
Dementia,416975007,2957124016,Alzheimer's disease with late onset
Dementia,26929004,45046017,[X]Other Alzheimer's disease
Dementia,0,0,Language disorder of dementia
