Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Diabetes,713703005,3698412014,Type II diabetes mellitus with gastroparesis
Diabetes,420436000,2618201018,type 2 diabetes mellitus with mononeuropathy
Diabetes,190388001,292577016,type 2 diabetes mellitus with multiple complications
Diabetes,313436004,457329019,type 2 diabetes mellitus without complication
Diabetes,314903002,459311019,type ii diabetes mellitus with arthropathy
Diabetes,421631007,2618206011,type ii diabetes mellitus with gangrene
Diabetes,190388001,292576013,type ii diabetes mellitus with multiple complications
Diabetes,420279001,3013392012,type ii diabetes mellitus with nephropathy
Diabetes,421326000,84931000006113,type ii diabetes mellitus with neurological complications
Diabetes,422099009,12702421000006112,type ii diabetes mellitus with ophthalmic complications
Diabetes,314902007,459306016,type ii diabetes mellitus with peripheral angiopathy
Diabetes,313436004,457330012,type ii diabetes mellitus without complication
Diabetes,44054006,197761014,Type 2 diabetes mellitus
Diabetes,44054006,493774016,Type II diabetes mellitus
Diabetes,420279001,3013392012,Type II diabetes mellitus with renal complications
Diabetes,420279001,2618208012,Type 2 diabetes mellitus with renal complications
Diabetes,422099009,3698440016,Type II diabetes mellitus with ophthalmic complications
Diabetes,422099009,3698440016,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,421326000,3695406015,Type II diabetes mellitus with neurological complications
Diabetes,421326000,3695406015,Type 2 diabetes mellitus with neurological complications
Diabetes,190389009,292581016,Type II diabetes mellitus with ulcer
Diabetes,190389009,292579018,Type 2 diabetes mellitus with ulcer
Diabetes,421631007,2618206011,Type II diabetes mellitus with gangrene
Diabetes,421631007,2618206011,Type 2 diabetes mellitus with gangrene
Diabetes,422034002,3699410014,Type II diabetes mellitus with retinopathy
Diabetes,422034002,3699410014,Type 2 diabetes mellitus with retinopathy
Diabetes,420436000,3697667019,Type II diabetes mellitus with mononeuropathy
Diabetes,713706002,3297353013,Type II diabetes mellitus with polyneuropathy
Diabetes,420279001,3013392012,Type II diabetes mellitus with nephropathy
Diabetes,420279001,3035432019,Type 2 diabetes mellitus with nephropathy
Diabetes,719216001,3316336015,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,719216001,3316336015,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,420756003,3688522015,Type II diabetes mellitus with diabetic cataract
Diabetes,420756003,3688522015,Type 2 diabetes mellitus with diabetic cataract
Diabetes,314902007,459306016,Type II diabetes mellitus with peripheral angiopathy
Diabetes,314902007,459308015,Type 2 diabetes mellitus with peripheral angiopathy
Diabetes,314903002,459311019,Type II diabetes mellitus with arthropathy
Diabetes,314903002,459310018,Type 2 diabetes mellitus with arthropathy
Diabetes,314904008,459312014,Type II diabetes mellitus with neuropathic arthropathy
Diabetes,314904008,459313016,Type 2 diabetes mellitus with neuropathic arthropathy
Diabetes,237599002,2967820013,Insulin treated Type 2 diabetes mellitus
Diabetes,237599002,1223147012,Insulin treated Type II diabetes mellitus
Diabetes,395204000,1488898011,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,190388001,292577016,Type 2 diabetes mellitus with multiple complications
Diabetes,190388001,292576013,Type II diabetes mellitus with multiple complications
Diabetes,313436004,457329019,Type 2 diabetes mellitus without complication
Diabetes,313436004,457330012,Type II diabetes mellitus without complication
Diabetes,420436000,2618201018,Type 2 diabetes mellitus with mononeuropathy
Diabetes,713706002,3297353013,Type 2 diabetes mellitus with polyneuropathy
Diabetes,421986006,2967751013,Type 2 diabetes mellitus with persistent proteinuria
Diabetes,421986006,2967751013,Type II diabetes mellitus with persistent proteinuria
Diabetes,420715001,2967769016,Type 2 diabetes mellitus with persistent microalbuminuria
Diabetes,420715001,2967769016,Type II diabetes mellitus with persistent microalbuminuria
Diabetes,421750000,2967754017,Type 2 diabetes mellitus with ketoacidosis
Diabetes,421847006,2618218019,Type 2 diabetes mellitus with ketoacidotic coma
Diabetes,421779007,2618237011,Type 2 diabetes mellitus with exudative maculopathy
Diabetes,713703005,3698412014,Type 2 diabetes mellitus with gastroparesis
Diabetes,1873301000006104,1873301000006114,Care contact service: diabetes
Diabetes,420422005,3303994013,DKA - diabetic ketoacidosis
Diabetes,230572002,881501000006110,Diabetes + neuropathy
Diabetes,73211009,881441000006111,Diabetes mellitus - juvenile
Diabetes,532411000000102,881451000006113,Diabetes mellitus -adult onset
Diabetes,1823921000006103,1823921000006119,Diabetes mellitus confirmed
Diabetes,420422005,881461000006110,Diabetes+ketoacidosis -no coma
Diabetes,856531000006103,856531000006119,Diabetic - GP eye check
Diabetes,856551000006105,856551000006114,Diabetic - hospital eye check
Diabetes,50620007,84344019,Diabetic autonomic neuropathy
Diabetes,420422005,2616611010,Diabetic ketoacidosis
Diabetes,111556005,178798017,Diabetic ketoacidosis without coma
Diabetes,201724008,309740011,Diabetic neuropathic arthropathy
Diabetes,1780981000006104,1780981000006115,Diabetic on non-insulin injectable
Diabetes,1804191000006104,1804191000006114,Diabetic retinopathy screen done by optician
Diabetes,1682801000006109,1682801000006113,Diabetic sick day rules advice
Diabetes,870761000000105,2249991000000118,Discharge from in-house diabetic foot screening
Diabetes,870701000000106,2249871000000112,In-house diabetic foot screening first appointment
Diabetes,1673591000006103,1673591000006119,Ineligib for diab. eye screening: Learning or mental disability
Diabetes,1583901000006104,1583901000006115,Ineligibility for diab. eye screen: Blind (screening contraind)
Diabetes,1583851000006109,1583851000006113,Ineligibility for diab. eye screen: Discharged for other reason
Diabetes,1583881000006101,1583881000006117,Ineligibility for diab. eye screening: Declined to participate
Diabetes,851051000006106,851051000006110,Ins-treat non-ins-dep diab mel
Diabetes,856611000006105,856611000006114,Laser treated diabetic retinopathy
Diabetes,856661000006108,856661000006112,Left diabetic foot active ulceration
Diabetes,856671000006101,856671000006117,Left diabetic foot high risk
Diabetes,856691000006100,856691000006116,Left diabetic foot low current risk
Diabetes,856681000006103,856681000006119,Left diabetic foot moderate risk
Diabetes,856631000006104,856631000006115,Left laser treated diabetic retinopathy
Diabetes,857031000006109,857031000006113,Left non-proliferative diabetic retinopathy
Diabetes,856621000006102,856621000006118,Left proliferative diabetic retinopathy
Diabetes,2014951000006104,2014951000006115,New diabetic foot ulcer
Diabetes,405749004,2157525015,Newly diagnosed diabetes
Diabetes,1621011000006104,1621011000006115,No evidence of diabetic peripheral neuropathy
Diabetes,199223000,887971000006115,Preg.+ diabetes mellitus
Diabetes,312907002,456707011,Proliferative diabetic retinopathy - high risk
Diabetes,293190009,902201000006112,Reaction: insulin/antidiabetic
Diabetes,1850931000006107,1850931000006111,Reason for influenza vaccine - diabetes mellitus
Diabetes,1775381000006102,1775381000006118,Referred to Diabetes Service
Diabetes,857691000006103,857691000006119,Right diabetic foot active ulceration
Diabetes,857721000006108,857721000006112,Right diabetic foot high risk
Diabetes,857761000006102,857761000006118,Right diabetic foot low current risk
Diabetes,857741000006101,857741000006117,Right diabetic foot moderate risk
Diabetes,857421000006103,857421000006119,Right laser treated diabetic retinopathy
Diabetes,857971000006106,857971000006110,Right non-proliferative diabetic retinopathy
Diabetes,857981000006109,857981000006113,Right preproliferative diabetic retinopathy
Diabetes,857411000006106,857411000006110,Right proliferative diabetic retinopathy
Diabetes,237601000,356078011,Secondary endocrine diabetes mellitus
Diabetes,720685006,3320858019,Seen by diabetes specialist nurse
Diabetes,1773381000006103,1773381000006119,Seen in in-house nurse-led diabetic clinic
Diabetes,1024571000000100,2586731000000110,Under care of community-based diabetes specialist nurse
Diabetes,1024551000000109,2586691000000116,Under care of hospital-based diabetes specialist nurse
Diabetes,980351000000105,2493341000000118,Young Townson FootSkin Scale for Diabetic Neuropathy
Diabetes,905621000006109,905621000006113,[RFC] Diabetes
Diabetes,908831000006102,908831000006118,[RFC] Diabetes mellitus
Diabetes,910501000006109,910501000006113,[RFC] Diabetic foot ulcer
Diabetes,906711000006100,906711000006116,[RFC] Diabetic foot/leg ulcer
Diabetes,910491000006101,910491000006117,[RFC] Diabetic leg ulcer
Diabetes,658061000000102,1445831000000112,diabetes mellitus nos with other specified manifestation
Diabetes,658011000000104,1445721000000115,diabetes mellitus with other specified manifestation
Diabetes,25351000000101,63021000000116,diabetic diet - good compliance
Diabetes,25361000000103,63041000000111,diabetic diet - poor compliance
Diabetes,617041000006101,617041000006117,diabetic foot risk assessment
Diabetes,856561000006107,856561000006111,diabetic foot risk assessment
Diabetes,1103701000000102,2763011000000112,diabetic retinopathy screening offered
Diabetes,201724008,309740011,insulin dependent diab mell with neuropathic arthropathy
Diabetes,421895002,2618203015,insulin dependent diab mell with peripheral angiopathy
Diabetes,39710007,1229552016,insulin dependent diabetes mellitus with arthropathy
Diabetes,314893005,459293018,insulin dependent diabetes mellitus with arthropathy
Diabetes,422275004,2616612015,insulin dependent diabetes mellitus with gangrene
Diabetes,237632004,356141011,insulin dependent diabetes mellitus with hypoglycaemic coma
Diabetes,314771006,459162010,insulin dependent diabetes mellitus with hypoglycaemic coma
Diabetes,230577008,345492010,insulin dependent diabetes mellitus with mononeuropathy
Diabetes,127013003,301016,insulin dependent diabetes mellitus with nephropathy
Diabetes,19429009,913591000006110,insulin dependent diabetes mellitus with ulcer
Diabetes,127013003,301016,insulin-dependent diabetes mellitus with renal complications
Diabetes,111552007,178796018,insulin-dependent diabetes without complication
Diabetes,313435000,457327017,insulin-dependent diabetes without complication
Diabetes,284449005,1495355018,lipoatrophic diabetes mellitus
Diabetes,422166005,674961000006118,niddm with peripheral circulatory disorder
Diabetes,630521000000101,1390421000000119,other specified diabetes mellitus with coma
Diabetes,918281000006100,918281000006116,pt advised re diabetic diet
Diabetes,314893005,459292011,type 1 diabetes mellitus with arthropathy
Diabetes,420825003,2618207019,type 1 diabetes mellitus with gangrene
Diabetes,420918009,2618199015,type 1 diabetes mellitus with mononeuropathy
Diabetes,422228004,2618232017,type 1 diabetes mellitus with multiple complications
