Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Disease of arteries, arterioles and capilleries",161514008,251699010,H/O: aortic aneurysm
"Disease of arteries, arterioles and capilleries",707265005,3029507018,Aortic aneurysm monitoring
"Disease of arteries, arterioles and capilleries",123679006,192168019,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",448122008,2899751014,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",307701005,451048019,Abdominal aortic aneurysm stenting
"Disease of arteries, arterioles and capilleries",307701005,451048019,Endovas insert stent for aortic aneurysm of bifurcation NEC
"Disease of arteries, arterioles and capilleries",12232008,470121011,Syphilitic aortic aneurysm
"Disease of arteries, arterioles and capilleries",67362008,111949011,Aortic aneurysm
"Disease of arteries, arterioles and capilleries",308546005,2536174018,Dissecting aortic aneurysm
"Disease of arteries, arterioles and capilleries",195258006,300437018,Thoracic aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",195258006,300438011,Ruptured thoracic aortic aneurysm
"Disease of arteries, arterioles and capilleries",74883004,124373014,Thoracic aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",14336007,1221083011,Abdominal aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",14336007,24379014,Ruptured abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",314184006,458502011,Ruptured suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",233985008,350580017,Abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",233985008,350580017,AAA - Abdominal aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",314185007,458503018,Juxtarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",314186008,458504012,Inflammatory abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",444569004,2871141013,Aneurysm of infrarenal abdominal aorta
"Disease of arteries, arterioles and capilleries",426270006,2674096019,Aneurysm of suprarenal aorta
"Disease of arteries, arterioles and capilleries",73067008,121362018,Ruptured aortic aneurysm
"Disease of arteries, arterioles and capilleries",195265003,300446012,"Thoracoabdominal aortic aneurysm, ruptured"
"Disease of arteries, arterioles and capilleries",67362008,111949011,Aortic aneurysm without mention of rupture NOS
"Disease of arteries, arterioles and capilleries",233984007,350579015,Thoracoabdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",12232008,470121011,Aortic aneurysm - syphilitic
"Disease of arteries, arterioles and capilleries",195268001,300449017,Leaking abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",67362008,111949011,Aortic aneurysm NOS
"Disease of arteries, arterioles and capilleries",67362008,111949011,"[X]Aortic aneurysm of unspecified site, ruptured"
"Disease of arteries, arterioles and capilleries",67362008,111949011,"[X]Aortic aneurysm of unspecified site, nonruptured"
"Disease of arteries, arterioles and capilleries",67362008,111949011,[X]Aneurysm of aorta in diseases classified elsewhere
"Disease of arteries, arterioles and capilleries",863401000000101,2232441000000112,H/O: arterial lower limb ulcer
"Disease of arteries, arterioles and capilleries",307408003,450665015,Ischaemic toe
"Disease of arteries, arterioles and capilleries",134379001,216185010,Peripheral vascular disease monitoring
"Disease of arteries, arterioles and capilleries",175348000,271509013,Open embolectomy of bifurcation of aorta
"Disease of arteries, arterioles and capilleries",265517007,394328011,Iliac endarterectomy and patch
"Disease of arteries, arterioles and capilleries",307800001,451173017,Endarterectomy of iliac artery
"Disease of arteries, arterioles and capilleries",233304004,349571019,Endarterectomy of common iliac artery
"Disease of arteries, arterioles and capilleries",265521000,394332017,Open embolectomy of iliac artery
"Disease of arteries, arterioles and capilleries",275254000,411214011,Open embolectomy of common iliac artery
"Disease of arteries, arterioles and capilleries",175612005,271900018,Percutaneous transluminal angioplasty of iliac artery
"Disease of arteries, arterioles and capilleries",175613000,271901019,Percutaneous transluminal embolectomy of iliac artery
"Disease of arteries, arterioles and capilleries",16589005,28064017,Femoral endarterectomy
"Disease of arteries, arterioles and capilleries",233310004,349583017,Endarterectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",405376002,2157187018,Profundoplasty of femoral artery NEC
"Disease of arteries, arterioles and capilleries",405376002,2157187018,Profundoplasty of popliteal artery NEC
"Disease of arteries, arterioles and capilleries",175704008,272031013,Open embolectomy of femoral artery
"Disease of arteries, arterioles and capilleries",175704008,272032018,Open thrombectomy of femoral artery
"Disease of arteries, arterioles and capilleries",175704008,272033011,Open femoral embolectomy
"Disease of arteries, arterioles and capilleries",175705009,272035016,Open embolectomy popliteal artery
"Disease of arteries, arterioles and capilleries",175705009,272034017,Open thrombectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",175715003,272052017,Percutaneous transluminal angioplasty of femoral artery
"Disease of arteries, arterioles and capilleries",175716002,272053010,Percutaneous angioplasty of popliteal artery
"Disease of arteries, arterioles and capilleries",175717006,272055015,Percutaneous transluminal embolectomy of femoral artery
"Disease of arteries, arterioles and capilleries",175718001,272056019,Percutaneous transluminal embolectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",175719009,272059014,Percutaneous transluminal embolisation of femoral artery
"Disease of arteries, arterioles and capilleries",175720003,272061017,Percutaneous transluminal embolisation of popliteal artery
"Disease of arteries, arterioles and capilleries",186423003,286570019,Gas gangrene-foot
"Disease of arteries, arterioles and capilleries",421895002,3688501014,Peripheral vascular disorder due to diabetes mellitus
"Disease of arteries, arterioles and capilleries",422275004,2616612015,Diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",422275004,2616612015,Diabetes with gangrene
"Disease of arteries, arterioles and capilleries",421365002,2618205010,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
"Disease of arteries, arterioles and capilleries",422166005,2618204014,"Diabetes mellitus, adult, + peripheral circulatory disorder"
"Disease of arteries, arterioles and capilleries",421631007,2618206011,"Diabetes mellitus, adult with gangrene"
"Disease of arteries, arterioles and capilleries",421895002,2618203015,IDDM with peripheral circulatory disorder
"Disease of arteries, arterioles and capilleries",422166005,2623039019,Peripheral circulatory disorder associated with type 2 diabetes mellitus
"Disease of arteries, arterioles and capilleries",421895002,2618203015,Diabetes mellitus NOS with peripheral circulatory disorder
"Disease of arteries, arterioles and capilleries",422275004,2616612015,Insulin dependent diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",420825003,2618207019,Type 1 diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",421895002,2618203015,Insulin dependent diab mell with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",421631007,2967779019,Gangrene associated with type 2 diabetes mellitus
"Disease of arteries, arterioles and capilleries",421631007,2618206011,Type II diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",421631007,2618206011,Type 2 diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",314902007,459307013,Non-insulin-dependent diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",314902007,459306016,Type II diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",314902007,459308015,Type 2 diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",420825003,2618207019,Type I diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",31211000119101,3315042015,Type 1 diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",233956002,350529018,Aortoiliac disease
"Disease of arteries, arterioles and capilleries",195254008,300433019,Extremity artery atheroma
"Disease of arteries, arterioles and capilleries",195254008,300433019,Extremity artery atheroma NOS
"Disease of arteries, arterioles and capilleries",400047006,1779317016,Other peripheral vascular disease
"Disease of arteries, arterioles and capilleries",233958001,350535018,Peripheral ischaemic vascular disease
"Disease of arteries, arterioles and capilleries",233961000,350546015,Ischaemic leg
"Disease of arteries, arterioles and capilleries",233958001,350533013,Peripheral ischaemia
