Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",161509009,251690014,H/O: varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",163052007,254104013,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",705031001,2463941000000119,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",302357009,443996017,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",302357009,443996017,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",15617002,1221208011,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",175819004,272209014,Ligation of recurrent varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265543008,394358017,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265543008,394358017,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",15617002,26472016,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",15617002,1221208011,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",449705007,2913093017,Injection of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",449708009,2912878012,Injection sclerotherapy of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",425542000,2675890017,Ultrasound guided foam sclerotherapy for varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",429623000,2900604011,Transilluminated powered phlebectomy for varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",449708009,2912878012,Injection of sclerosing substance into varicose vein leg NEC
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",80227005,133111010,Other specified injection into varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",449705007,2913093017,Injection into varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Other operations on varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",9365003,16429014,Stripping of lower limb varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265855005,394888016,Mayo stripping of varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265545001,394360015,Avulsion of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265545001,394360015,Babcock subcutaneous enucleation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",175834005,272234014,Local excision of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",449700002,2912769012,Incision of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",448606008,2398391000000112,Endovascular radiofrequency ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",713158000,1088601000000114,Endovascular laser ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Other specified other operation on varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Varicose vein operation
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Combined operations on varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Other specified combined operations on varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Combined operations on varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Transluminal operations on varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",448606008,2901369015,Endovenous radiofrequency obliteration of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",609166008,2958283018,Percutaneous transluminal laser ablation of varicose vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Other specified transluminal operations on varicose vein leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",274023003,409763017,Transluminal operations on varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",47700006,79485019,Excision of lymphoedema tissue
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265007006,393534013,Excision of lymphoedematous tissue of arm
