Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Disorders of gallbladder, biliary tract and pancreas",266474003,396395019,[X]Other cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",76581006,127173011,[X]Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",39621005,492161010,[X]Other specified diseases of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",25924004,43438012,Gallbladder calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",235919008,353661012,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",266474003,396396018,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",70342003,116838015,Cholelithiasis without obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",77528005,128698014,Cholelithiasis with obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",39621005,66448010,Other gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",65275009,108454010,Acute cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",76581006,127173011,Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",76581006,127173011,Other cholecystitis OS
"Disorders of gallbladder, biliary tract and pancreas",76581006,127173011,Cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",30144000,50437010,Obstruction of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",39621005,66445013,Other specified gallbladder disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",266474003,396397010,CL - Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",168036006,261011011,O/E: gall stone
"Disorders of gallbladder, biliary tract and pancreas",168036006,261011011,O/E: gall stone NOS
"Disorders of gallbladder, biliary tract and pancreas",266474003,396400018,Calculus in biliary tract
"Disorders of gallbladder, biliary tract and pancreas",59771005,99287019,Calculus of gallbladder with acute cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",168036006,2667985019,On examination - gallstone
"Disorders of gallbladder, biliary tract and pancreas",197377009,2475610012,Cholelithiasis AND acute cholecystitis without obstruction
"Disorders of gallbladder, biliary tract and pancreas",197378004,303542013,Gallbladder calculus with acute cholecystitis + obstruction
"Disorders of gallbladder, biliary tract and pancreas",197377009,303541018,Gallbladder calculus with acute cholecystitis +no obstruct
"Disorders of gallbladder, biliary tract and pancreas",59771005,99287019,Gallbladder calculus with acute cholecystitis - obst NOS
"Disorders of gallbladder, biliary tract and pancreas",70342003,116838015,Gallbladder calculus without mention cholecystitis +no obstr
"Disorders of gallbladder, biliary tract and pancreas",76581006,3028695018,Inflamed gallbladder
"Disorders of gallbladder, biliary tract and pancreas",235919008,353658011,Gallbladder stones
"Disorders of gallbladder, biliary tract and pancreas",235919008,353656010,Cholecystolithiasis
"Disorders of gallbladder, biliary tract and pancreas",39621005,492162015,Gallbladder disease
"Disorders of gallbladder, biliary tract and pancreas",59771005,99289016,Cholelithiasis with acute cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",39621005,66445013,Other gallbladder disorders NOS
"Disorders of gallbladder, biliary tract and pancreas",235919008,353656010,Gallbladder calculus with other cholecystitis + obstruct
"Disorders of gallbladder, biliary tract and pancreas",235919008,353656010,Gallbladder calculus with other cholecystitis +no obstruct
"Disorders of gallbladder, biliary tract and pancreas",235919008,353656010,Gallbladder calculus with other cholecystitis - obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",235919008,353657018,Gallstones
"Disorders of gallbladder, biliary tract and pancreas",197419003,303588019,Stenosis of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",197439004,303612015,Obliterative cholangitis
"Disorders of gallbladder, biliary tract and pancreas",65275009,108454010,Acute cholecystitis unspecified
"Disorders of gallbladder, biliary tract and pancreas",197378004,2475611011,Cholelithiasis AND acute cholecystitis with obstruction
"Disorders of gallbladder, biliary tract and pancreas",30144000,50437010,Obstruction of bile duct
"Disorders of gallbladder, biliary tract and pancreas",32067005,53589018,Acute emphysematous cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",53192009,88465016,Stasis of bile duct
"Disorders of gallbladder, biliary tract and pancreas",65275009,108454010,Acute cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",71912000,119489014,Chronic cholangitis
"Disorders of gallbladder, biliary tract and pancreas",72533002,120482010,Acute gangrenous cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",89628003,148601017,Acute suppurative cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",266474003,396396018,Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",266474003,396398017,Stone - biliary
"Disorders of gallbladder, biliary tract and pancreas",59771005,1231999012,Gallbladder calculus with acute cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",266474003,886541000006118,Calculus of gall bladder
"Disorders of gallbladder, biliary tract and pancreas",266474003,886531000006111,Calculus of bile duct
"Disorders of gallbladder, biliary tract and pancreas",266474003,396399013,Calculus - biliary
"Disorders of gallbladder, biliary tract and pancreas",197418006,303587012,Occlusion of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",39621005,66445013,Obstruction of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",39621005,66445013,Other specified gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",235919008,353661012,Gallbladder calculus without cholecystitis and obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",25924004,43442010,Biliary calculus with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",235919008,353660013,GS - Gallstone
"Disorders of gallbladder, biliary tract and pancreas",235919008,353659015,Gallbladder calculus
"Disorders of gallbladder, biliary tract and pancreas",10184002,17750014,Recurrent cholangitis
"Disorders of gallbladder, biliary tract and pancreas",70342003,2921014019,"Cholelithiasis, non obstructive"
"Disorders of gallbladder, biliary tract and pancreas",25924004,43443017,Cholelithiasis with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",266474003,396395019,Biliary calculus
"Disorders of gallbladder, biliary tract and pancreas",168037002,2667986018,On examination - cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",168037002,261012016,O/E: cholesterol gall stone
"Disorders of gallbladder, biliary tract and pancreas",168038007,261013014,O/E: pigment gall stone
"Disorders of gallbladder, biliary tract and pancreas",168037002,261012016,O/E: cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",168038007,2667987010,On examination - pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",168038007,261013014,O/E: pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",65082000,108158018,Cystic duct calculus
"Disorders of gallbladder, biliary tract and pancreas",16957005,28704010,Fistula of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",235951009,353697015,Gallstone chronic pancreatitis
"Disorders of gallbladder, biliary tract and pancreas",16957005,28704010,Fistula of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",197426003,303599017,Cholecystogastric fistula
"Disorders of gallbladder, biliary tract and pancreas",711564007,3079032010,Gallbladder calculus without mention cholecystitis + obstruc
"Disorders of gallbladder, biliary tract and pancreas",20306009,34148013,Cholecystoenteric fistula
"Disorders of gallbladder, biliary tract and pancreas",30093007,50351011,Bile duct calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",82403002,136680010,Other cholangitis
"Disorders of gallbladder, biliary tract and pancreas",82403002,136680010,Cholangitis NOS
"Disorders of gallbladder, biliary tract and pancreas",30093007,50351011,Bile duct calculus + other cholecystitis - obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",30093007,50351011,Bile duct calculus + other cholecystitis and no obstruction
"Disorders of gallbladder, biliary tract and pancreas",30093007,50351011,Bile duct calculus + other cholecystitis and obstruction
"Disorders of gallbladder, biliary tract and pancreas",30093007,50351011,Bile duct calculus without cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",4661003,8789018,Bile duct calculus without cholecystitis with obstruction
