Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Disorders of the prostate,279031000006106,279031000006110,O/E - PR - Diffusely enlarged prostate
Disorders of the prostate,909491000006106,909491000006110,[RFC] Enlarged prostate
Disorders of the prostate,266569009,396742015,bph - benign prostatic hypertrophy
Disorders of the prostate,11441004,19794011,Prostatism
Disorders of the prostate,266569009,396738018,Benign prostatic hypertrophy
Disorders of the prostate,266569009,396731012,Enlarged prostate - benign
Disorders of the prostate,266569009,396738018,BPH - benign prostatic hypertrophy
Disorders of the prostate,433234005,2769992019,Prostatic hyperplasia unspecified
Disorders of the prostate,197959008,304383016,Prostatic hyperplasia of the lateral lobe
Disorders of the prostate,197960003,304384010,Prostatic hyperplasia of the medial lobe
Disorders of the prostate,433234005,2769992019,Prostatic hyperplasia NOS
