Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Disorders of thryoid gland,237519003,355966019,Autoimmune hypothyroidism
Disorders of thryoid gland,111566002,881381000006114,Hypothyroidism-congen.+ acqui.
Disorders of thryoid gland,82598004,137019010,Secondary hypothyroidism
Disorders of thryoid gland,286909009,881371000006111,Thyrotoxicosis +/- goitre
Disorders of thryoid gland,190256007,292356018,Thyrotoxicosis from ectopic thyroid nodule with crisis
Disorders of thryoid gland,27059002,2536050019,Postsurgical hypothyroidism
Disorders of thryoid gland,190241003,292327018,Toxic diffuse goitre with no crisis
Disorders of thryoid gland,276177000,412221013,Thyroid eye disease
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis
Disorders of thryoid gland,34486009,57561015,Hyperthyroidism
Disorders of thryoid gland,237498007,355932011,Toxic goitre
Disorders of thryoid gland,267374005,398780011,Toxic diffuse goitre
Disorders of thryoid gland,353295004,2912991014,Basedow's disease
Disorders of thryoid gland,353295004,472452010,Graves' disease
Disorders of thryoid gland,190242005,292330013,Toxic diffuse goitre with crisis
Disorders of thryoid gland,237825005,356406019,Thyroid-associated dermopathy
Disorders of thryoid gland,267374005,398780011,Toxic diffuse goitre NOS
Disorders of thryoid gland,73869005,200396013,Toxic uninodular goitre
Disorders of thryoid gland,190244006,292334016,Toxic uninodular goitre with no crisis
Disorders of thryoid gland,73869005,200396013,Toxic uninodular goitre NOS
Disorders of thryoid gland,26389007,196525014,Toxic multinodular goitre
Disorders of thryoid gland,190247004,292339014,Toxic multinodular goitre with no crisis
Disorders of thryoid gland,26389007,196525014,Toxic multinodular goitre NOS
Disorders of thryoid gland,57777000,497988010,Toxic nodular goitre unspecified
Disorders of thryoid gland,57777000,96075015,Toxic nodular goitre unspecified with no crisis
Disorders of thryoid gland,57777000,96075015,Toxic nodular goitre unspecified with crisis
Disorders of thryoid gland,57777000,497988010,Toxic nodular goitre NOS
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis of other specified origin
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis of other specified origin with no crisis
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis of other specified origin with crisis
Disorders of thryoid gland,29028009,48600017,Thyroid crisis
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis of other specified origin NOS
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis without mention of goitre or other cause
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis without mention of goitre or cause no crisis
Disorders of thryoid gland,90739004,150375010,"Thyrotoxicosis without mention of goitre, cause with crisis"
Disorders of thryoid gland,90739004,150375010,Thyrotoxicosis NOS
Disorders of thryoid gland,111566002,178809013,Acquired hypothyroidism
Disorders of thryoid gland,43153006,493538010,Myxoedema
Disorders of thryoid gland,40930008,68268011,Thyroid deficiency
Disorders of thryoid gland,40930008,68268011,Hypothyroidism
Disorders of thryoid gland,27059002,45271010,Postsurgical hypothyroidism
Disorders of thryoid gland,237527007,355975017,Post ablative hypothyroidism
Disorders of thryoid gland,237527007,355975017,Other postablative hypothyroidism
Disorders of thryoid gland,190277005,292395017,Irradiation hypothyroidism
Disorders of thryoid gland,237527007,355975017,Postablative hypothyroidism NOS
Disorders of thryoid gland,88273006,146340011,Other iatrogenic hypothyroidism
Disorders of thryoid gland,88273006,146340011,Iatrogenic hypothyroidism NOS
Disorders of thryoid gland,237519003,355964016,Autoimmune myxoedema
Disorders of thryoid gland,111566002,178809013,Other acquired hypothyroidism
Disorders of thryoid gland,40930008,68268011,Hypothyroidism NOS
Disorders of thryoid gland,40930008,68268011,Pretibial myxoedema - hypothyroid
Disorders of thryoid gland,40930008,68268011,Thyroid insufficiency
Disorders of thryoid gland,237518006,355961012,"Hypothyroid goitre, acquired"
Disorders of thryoid gland,190291004,292417011,Premature puberty due to hypothyroidism
Disorders of thryoid gland,21263006,35727012,Myxoedema coma
Disorders of thryoid gland,82119001,136211012,Thyroiditis
Disorders of thryoid gland,21983002,481187014,Chronic lymphocytic thyroiditis
Disorders of thryoid gland,21983002,481188016,Autoimmune thyroiditis
Disorders of thryoid gland,21983002,36888019,Hashimoto's disease
Disorders of thryoid gland,84362007,139911019,Chronic fibrous thyroiditis
Disorders of thryoid gland,45053005,75139015,Other and unspecified chronic thyroiditis
Disorders of thryoid gland,237538007,355987012,Chronic thyroiditis with transient thyrotoxicosis
Disorders of thryoid gland,82119001,136211012,Thyroiditis NOS
Disorders of thryoid gland,190309006,292448015,Thyroid atrophy
Disorders of thryoid gland,82598004,505169010,TSH - thyroid-stimulating hormone deficiency
Disorders of thryoid gland,40930008,68268011,[X]Other sp cified hypothyroidism
Disorders of thryoid gland,90739004,150375010,[X]Other thyrotoxicosis
Disorders of thryoid gland,45053005,75139015,[X]Other chronic thyroiditis
Disorders of thryoid gland,192816007,297016016,Cerebral degeneration due to myxoedema
Disorders of thryoid gland,193212008,297588017,Myasthenic syndrome due to hypothyroidism
Disorders of thryoid gland,193214009,297591017,Myasthenic syndrome due to thyrotoxicosis
Disorders of thryoid gland,87844004,507778013,Myopathy due to myxoedema
Disorders of thryoid gland,68437005,1233040016,Myopathy due to thyrotoxicosis
Disorders of thryoid gland,19885005,33469013,Thyrotoxic exophthalmos
Disorders of thryoid gland,509381000000104,1132591000000116,[X]Dysthyroid exophthalmos
Disorders of thryoid gland,60446003,100438013,Thyrotoxic heart disease
