Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Diverticular disease of the intestine,397881000,886341000006110,Diverticular disease NOS
Diverticular disease of the intestine,851321000006104,851321000006115,Duodenal diverticulum
Diverticular disease of the intestine,857121000006107,857121000006111,Jejunal diverticula
Diverticular disease of the intestine,906061000006100,906061000006116,[RFC] Diverticulitis
Diverticular disease of the intestine,398050005,1786077011,diverticulosis of the colon
Diverticular disease of the intestine,397881000,626841000006115,diverticulosis unspecified
Diverticular disease of the intestine,197104005,303147010,perforated diverticulum
Diverticular disease of the intestine,853491000006106,853491000006110,perforated diverticulum
Diverticular disease of the intestine,197104005,233441000006111,perforated diverticulum unspecified
Diverticular disease of the intestine,21692001,1222658010,Appendicular diverticulum
Diverticular disease of the intestine,63532004,105596011,Diverticula of intestine
Diverticular disease of the intestine,397881000,1777478012,Diverticular disease
Diverticular disease of the intestine,397881000,1777478012,Diverticulosis
Diverticular disease of the intestine,197083003,303123015,Diverticulosis of the duodenum
Diverticular disease of the intestine,197084009,303124014,Diverticulosis of the jejunum
Diverticular disease of the intestine,197085005,303126011,Diverticulosis of the ileum
Diverticular disease of the intestine,8114009,14400014,Diverticulosis of the small intestine unspecified
Diverticular disease of the intestine,8114009,14400014,Diverticulosis of the small intestine NOS
Diverticular disease of the intestine,398050005,1777620011,Diverticulosis of the colon
Diverticular disease of the intestine,398157006,1777716018,Diverticulosis of the large intestine unspecified
Diverticular disease of the intestine,398157006,1777716018,Diverticulosis of the large intestine NOS
Diverticular disease of the intestine,197091007,303133011,Divertic dis/both sml+lge intestin without perfor or abscess
Diverticular disease of the intestine,197092000,303134017,Bleeding diverticulosis
Diverticular disease of the intestine,397881000,1786007012,Diverticulosis unspecified
Diverticular disease of the intestine,397881000,1777478012,Diverticulosis NOS
Diverticular disease of the intestine,307496006,450775010,Diverticulitis
Diverticular disease of the intestine,33838003,485644015,Diverticulitis of the duodenum
Diverticular disease of the intestine,111358007,178594018,Diverticulitis of the jejunum
Diverticular disease of the intestine,67153004,500628015,Diverticulitis of the ileum
Diverticular disease of the intestine,56165008,93400012,Diverticulitis of the small intestine unspecified
Diverticular disease of the intestine,56165008,93400012,Diverticulitis of the small intestine NOS
Diverticular disease of the intestine,111359004,178595017,Diverticulitis of the colon
Diverticular disease of the intestine,4494009,7629011,Diverticulitis of the large intestine unspecified
Diverticular disease of the intestine,4494009,7629011,Diverticulitis of the large intestine NOS
Diverticular disease of the intestine,307496006,450775010,Diverticulitis unspecified
Diverticular disease of the intestine,307496006,450775010,Diverticulitis NOS
Diverticular disease of the intestine,197104005,3512575015,Perforated diverticulum
Diverticular disease of the intestine,197105006,303148017,Perforated diverticulum of duodenum
Diverticular disease of the intestine,197106007,303149013,Perforated diverticulum of jejunum
Diverticular disease of the intestine,197107003,303150013,Perforated diverticulum of ileum
Diverticular disease of the intestine,280993006,418881013,Perforated diverticulum of small intestine unspecified
Diverticular disease of the intestine,280993006,418881013,Perforated diverticulum of small intestine NOS
Diverticular disease of the intestine,76953007,503419012,Perforated diverticulum of colon
Diverticular disease of the intestine,280992001,418880014,Perforated diverticulum of large intestine unspecified
Diverticular disease of the intestine,280992001,418880014,Perforated diverticulum of large intestine NOS
Diverticular disease of the intestine,197112002,303155015,Divertic disease/both sml+lge intestin with perforat+abscess
Diverticular disease of the intestine,197104005,3512575015,Perforated diverticulum unspecified
Diverticular disease of the intestine,197104005,3512575015,Perforated diverticulum of intestine NOS
Diverticular disease of the intestine,235774002,353440011,Diverticular abscess
Diverticular disease of the intestine,63532004,105596011,Diverticula of the intestine NOS
