Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Drug or alcohol misuse,1012911000006107,1012911000006111,Adverse reaction to Drugs used in Substance Dependence
Drug or alcohol misuse,313071005,2692464014,Counseling for substance abuse
Drug or alcohol misuse,313071005,2695598010,Counselling for substance abuse
Drug or alcohol misuse,968671000006102,968671000006118,Currently injecting drugs
Drug or alcohol misuse,1973701000006103,1973701000006119,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent"
Drug or alcohol misuse,1974141000006102,1974141000006118,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]"
Drug or alcohol misuse,1976611000006102,1976611000006118,"Mental and behav dis due to use opioids: dependence syndr, continuous use"
Drug or alcohol misuse,968691000006101,968691000006117,Misuse of Cannabis herbal
Drug or alcohol misuse,968731000006109,968731000006113,Misuse of Cannabis herbal (skunk)
Drug or alcohol misuse,968711000006103,968711000006119,Misuse of Cannabis resin
Drug or alcohol misuse,968681000006104,968681000006115,Misuse of Cannabis unspecified
Drug or alcohol misuse,969781000006104,969781000006115,Misuse of Cocaine freebase (crack)
Drug or alcohol misuse,969761000006109,969761000006113,Misuse of Cocaine unspecified
Drug or alcohol misuse,968761000006100,968761000006116,Misuse of Heroin illicit
Drug or alcohol misuse,969331000006104,969331000006115,Misuse of Opiate compound analgesics
Drug or alcohol misuse,969261000006103,969261000006119,Misuse of Opiate containing mixture
Drug or alcohol misuse,969011000006108,969011000006112,Misuse of Opiates unspecified
Drug or alcohol misuse,969391000006100,969391000006116,Misuse of other Opiates
Drug or alcohol misuse,191816009,882501000006119,Morphine/cocaine dependence
Drug or alcohol misuse,1047881000000106,2639961000000113,Opioid analgesic dependence
Drug or alcohol misuse,313071005,2469462012,Substance abuse counseling
Drug or alcohol misuse,2403008,5114014,Substance dependence
Drug or alcohol misuse,968631000006100,968631000006116,Substance misuse of Amphetamines
Drug or alcohol misuse,969401000006103,969401000006119,Substance misuse of Benzodiazepines
Drug or alcohol misuse,968651000006107,968651000006111,Substance misuse of Cannabis
Drug or alcohol misuse,969711000006106,969711000006110,Substance misuse of Cocaine
Drug or alcohol misuse,969741000006105,969741000006114,Substance misuse of Crack
Drug or alcohol misuse,969701000006108,969701000006112,Substance misuse of Ecstasy
Drug or alcohol misuse,968741000006104,968741000006115,Substance misuse of Heroin
Drug or alcohol misuse,968841000006106,968841000006110,Substance misuse of Methadone
Drug or alcohol misuse,969001000006105,969001000006114,Substance misuse of other Opiates
Drug or alcohol misuse,969991000006104,969991000006115,Substance misuse of other drugs
Drug or alcohol misuse,970531000006107,970531000006111,Substance misuse of poly drug
Drug or alcohol misuse,910581000006100,910581000006116,[RFC] Drug/ substance abuse
Drug or alcohol misuse,910601000006105,910601000006114,[RFC] Substance abuse
Drug or alcohol misuse,1110001000006103,1110001000006119,adverse reaction to buprenorphine
Drug or alcohol misuse,851461000006104,851461000006115,drug misuse behaviour
Drug or alcohol misuse,852211000006108,852211000006112,misused drugs in past
Drug or alcohol misuse,1854731000006104,1854731000006115,seen in drug misuse clinic
Drug or alcohol misuse,313071005,456900016,substance abuse counselling
Drug or alcohol misuse,313071005,1897711000006112,substance abuse counselling
Drug or alcohol misuse,415661006,2533732013,Substance misuse increased
Drug or alcohol misuse,415660007,2533731018,Substance misuse decreased
Drug or alcohol misuse,417284009,2548235012,Current drug user
Drug or alcohol misuse,416751004,2549278014,Reduced drugs misuse
Drug or alcohol misuse,228386005,2551020015,Subcutaneous drug user
Drug or alcohol misuse,228377000,342443012,Smokes drugs
Drug or alcohol misuse,228375008,342441014,Misuses drugs orally
Drug or alcohol misuse,416262000,2548767014,Continuous use of drugs
Drug or alcohol misuse,417252002,2548201014,Episodic use of drugs
Drug or alcohol misuse,416246006,2548750019,Prolonged high dose use of cannabis
Drug or alcohol misuse,416437003,2548950012,Preoccupied with substance misuse
Drug or alcohol misuse,417471002,2548434014,Persistent substance misuse
Drug or alcohol misuse,416479009,2548992019,Previously injecting drug user
Drug or alcohol misuse,248021000000105,406071000000119,Current non recreational drug user
Drug or alcohol misuse,66214007,2310431000000117,Substance misuse
Drug or alcohol misuse,228366006,1216143019,Drug misuse behaviour
Drug or alcohol misuse,361055000,477158014,Misuses drugs
Drug or alcohol misuse,197541000000101,297031000000117,Occasional drug user
Drug or alcohol misuse,228371004,342434015,Long-term drug misuser
Drug or alcohol misuse,228372006,342435019,Poly-drug misuser
Drug or alcohol misuse,228383002,342451010,Misuses drugs rectally
Drug or alcohol misuse,228374007,342439013,Notified addict
Drug or alcohol misuse,228378005,342444018,Smokes drugs in cigarette form
Drug or alcohol misuse,228379002,342445017,Smokes drugs through a pipe
Drug or alcohol misuse,228376009,342442019,Chases the dragon
Drug or alcohol misuse,228381000,342447013,Sniffs drugs
Drug or alcohol misuse,228373001,342438017,Drug addict
Drug or alcohol misuse,383871000000108,757341000000110,Health problem secondary to drug misuse
Drug or alcohol misuse,228413007,342492018,Age at starting drug misuse
Drug or alcohol misuse,228411009,342490014,Time since stopped drug misuse
Drug or alcohol misuse,44870007,494053016,Misused drugs in past
Drug or alcohol misuse,228386005,342455018,Injects drugs subcutaneously
Drug or alcohol misuse,228387001,342457014,Injects drugs intramuscularly
Drug or alcohol misuse,248601000000106,407241000000119,Neck injector
Drug or alcohol misuse,228397005,342475010,Shares drug equipment
Drug or alcohol misuse,228394003,342472013,Drug injecting equipment hygiene
Drug or alcohol misuse,228395002,342473015,Sharing of drug injecting equipment
Drug or alcohol misuse,228415000,342494017,Priority of drug-related activities
Drug or alcohol misuse,228425005,342504010,Routine of drug-related activities
Drug or alcohol misuse,307052004,450216018,Illicit drug use
Drug or alcohol misuse,202991000000100,309921000000119,Heroin misuse
Drug or alcohol misuse,202961000000106,309861000000116,Ecstasy misuse
Drug or alcohol misuse,201381000000109,2292881000000111,Urine methadone positive
Drug or alcohol misuse,371401000000107,2292761000000111,Urine buprenorphine positive
Drug or alcohol misuse,299941000000103,531051000000115,Substance misuse structured counselling
Drug or alcohol misuse,231221000000105,371621000000117,Delivery of rehabilitation for drug addiction
Drug or alcohol misuse,247781000000105,405581000000116,Drug abuse monitoring
Drug or alcohol misuse,310653000,454263010,Drug addictn therap-methadone
Drug or alcohol misuse,182969009,282852011,Detoxification dependence drug
Drug or alcohol misuse,205231000000102,314821000000113,Opiate dependence detoxification
Drug or alcohol misuse,699124006,2982737011,Admission to substance misuse detoxification centre
Drug or alcohol misuse,270393005,405031011,Drug addiction notification
Drug or alcohol misuse,715351000000106,1564621000000114,Drug addict notific admin
Drug or alcohol misuse,3221000000108,21231000000115,Drug addict notific to CMO
Drug or alcohol misuse,185095001,285115018,Drug addict re-notific due
Drug or alcohol misuse,17271000000101,21251000000110,Drug addict re-notif to CMO
Drug or alcohol misuse,8431000000103,13591000000110,Drug addict-notify local SMR22
Drug or alcohol misuse,310369001,453944010,Drug addiction notif NOS
Drug or alcohol misuse,415662004,2533634017,Substance misuse monitoring
Drug or alcohol misuse,414501008,2533642016,Initial substance misuse assessment
Drug or alcohol misuse,414283008,2533651012,Follow up substance misuse assessment
Drug or alcohol misuse,201091000000109,305701000000112,Substance misuse treatment withdrawn
Drug or alcohol misuse,299881000000104,530931000000116,Substance misuse treatment declined
Drug or alcohol misuse,503771000000102,1119321000000114,SMR25a drug misuse initial assessment form
Drug or alcohol misuse,700187009,2989521019,Seen in drug misuse clinic
Drug or alcohol misuse,413989008,2537051014,DNA - Did not attend substance misuse clinic
Drug or alcohol misuse,494041000000102,1063801000000119,Seen in substance misuse clinic
Drug or alcohol misuse,176831000000102,1154721000000118,Drug misuse - enhanced service completed
Drug or alcohol misuse,372511000000103,1153451000000115,Shared care drug misuse treatment - enhanced services admin
Drug or alcohol misuse,372511000000103,1153451000000115,Shared care drug misuse treatment
Drug or alcohol misuse,372541000000102,1153431000000110,Drug misuse treatment primary care - enhanced services admin
Drug or alcohol misuse,507041000000101,1153411000000119,Pharmacy attended for drug misuse - enhanced services admin
Drug or alcohol misuse,362451000000107,683271000000115,Drug misuse assessment declined - enhanced services administ
Drug or alcohol misuse,191483003,294678015,Drug psychoses
Drug or alcohol misuse,363101005,2670794016,Drug withdrawal syndrome
Drug or alcohol misuse,191484009,294679011,Drug-induced paranoia or hallucinatory states
Drug or alcohol misuse,191485005,294680014,Drug-induced paranoid state
Drug or alcohol misuse,191486006,294681013,Drug-induced hallucinosis
Drug or alcohol misuse,191484009,294679011,Drug-induced paranoia or hallucinatory state NOS
Drug or alcohol misuse,25508008,42772010,Pathological drug intoxication
Drug or alcohol misuse,191483003,294677013,Other drug psychoses
Drug or alcohol misuse,191492000,294687012,Drug-induced delirium
Drug or alcohol misuse,191493005,294688019,Drug-induced dementia
Drug or alcohol misuse,191495003,294690018,Drug-induced depressive state
Drug or alcohol misuse,191496002,294691019,Drug-induced personality disorder
Drug or alcohol misuse,191483003,294677013,Other drug psychoses NOS
Drug or alcohol misuse,191483003,294678015,Drug psychosis NOS
Drug or alcohol misuse,191816009,295145018,Drug dependence
Drug or alcohol misuse,6525002,11819014,Drug addiction
Drug or alcohol misuse,75544000,125472011,Opioid type drug dependence
Drug or alcohol misuse,231477003,346947018,Heroin dependence
Drug or alcohol misuse,231478008,346949015,Methadone dependence
Drug or alcohol misuse,231479000,346950015,Morphine dependence
Drug or alcohol misuse,231480002,346951016,Opium dependence
Drug or alcohol misuse,75544000,125472011,Unspecified opioid dependence
Drug or alcohol misuse,191819002,295154015,Continuous opioid dependence
Drug or alcohol misuse,191820008,295155019,Episodic opioid dependence
Drug or alcohol misuse,191821007,295156018,Opioid dependence in remission
Drug or alcohol misuse,75544000,125472011,Opioid drug dependence NOS
Drug or alcohol misuse,268640002,401791011,Hypnotic or anxiolytic dependence
Drug or alcohol misuse,231470001,346938014,Anxiolytic dependence
Drug or alcohol misuse,231472009,346941017,Barbiturate dependence
Drug or alcohol misuse,231473004,346942012,Benzodiazepine dependence
Drug or alcohol misuse,231474005,346943019,Diazepam dependence
Drug or alcohol misuse,231475006,346945014,Librium dependence
Drug or alcohol misuse,427327003,2673574010,Sedative dependence
Drug or alcohol misuse,231474005,346944013,Valium dependence
Drug or alcohol misuse,268640002,401791011,"Hypnotic or anxiolytic dependence, unspecified"
Drug or alcohol misuse,191825003,295168010,"Hypnotic or anxiolytic dependence, continuous"
Drug or alcohol misuse,191826002,295169019,"Hypnotic or anxiolytic dependence, episodic"
