Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Endometriosis,64286001,106864016,endometriosis of the pouch of douglas
Endometriosis,76376003,126837014,internal endometriosis
Endometriosis,416155004,2548653011,Laparoscopic laser destruction of endometriosis
Endometriosis,128726006,207190013,[M]Stromal endometriosis
Endometriosis,129103003,1784724014,Endometriosis
Endometriosis,76376003,126839012,Adenomyosis
Endometriosis,76376003,126835018,Endometriosis of uterus
Endometriosis,198247003,304789015,Internal endometriosis
Endometriosis,237115002,355411011,Endometriosis of myometrium
Endometriosis,237115002,355411011,Adenomyosis of endometrium
Endometriosis,61640006,102424012,Endometriosis of cervix
Endometriosis,76376003,126835018,Endometriosis of uterus NOS
Endometriosis,266589005,396767017,Endometriosis of ovary
Endometriosis,237116001,355412016,Chocolate cyst of ovary
Endometriosis,22611009,37950010,Endometriosis of the fallopian tube
Endometriosis,198251001,304795019,Endometriosis of the pelvic peritoneum
Endometriosis,10535001,18314019,Endometriosis of the broad ligament
Endometriosis,64286001,1232545013,Endometriosis of the pouch of Douglas
Endometriosis,84305006,139827010,Endometriosis of the parametrium
Endometriosis,5327000,9929018,Endometriosis of the round ligament
Endometriosis,198251001,304795019,Endometriosis of the pelvic peritoneum NOS
Endometriosis,52533003,87425018,Endometriosis of the rectovaginal septum and vagina
Endometriosis,52533003,87425018,Endometriosis of the rectovaginal septum
Endometriosis,57493005,95606014,Endometriosis of the vagina
Endometriosis,52533003,87425018,Endometriosis of the rectovaginal septum and vagina NOS
Endometriosis,5562006,10284014,Endometriosis of the intestine
Endometriosis,8421002,14907015,Endometriosis of the appendix
Endometriosis,44601009,74408017,Endometriosis of the colon
Endometriosis,9563009,16732013,Endometriosis of the rectum
Endometriosis,5562006,10284014,Endometriosis of the intestine NOS
Endometriosis,53913001,89618011,Endometriosis in scar of skin
Endometriosis,129103003,1784724014,Other endometriosis
Endometriosis,65099004,108185013,Endometriosis of the bladder
Endometriosis,50993001,84979012,Endometriosis of the lung
Endometriosis,17829005,30125011,Endometriosis of the umbilicus
Endometriosis,38780008,64543018,Endometriosis of the vulva
Endometriosis,129103003,1784724014,Other endometriosis NOS
Endometriosis,129103003,1784724014,Endometriosis NOS
Endometriosis,129103003,1784724014,[X]Other endometriosis
