Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Epilepsy,1013181000006106,1013181000006110,Adverse reaction to Drugs Used In Control Of Epilepsy
Epilepsy,2014871000006103,2014871000006119,Contraceptive advice for patients on valproate for epilepsy
Epilepsy,1855731000006100,1855731000006116,Epilepsy monitoring administration
Epilepsy,1856791000006107,1856791000006111,Epilepsy monitoring default
Epilepsy,1855741000006104,1855741000006114,Epilepsy monitoring in primary care
Epilepsy,810161000000101,2114081000000110,Epilepsy monitoring in secondary care
Epilepsy,248371000000106,1164611000000112,Epilepsy monitoring telephone invitation
Epilepsy,1856771000006106,1856771000006110,Epilepsy treatment compliance good
Epilepsy,1856781000006108,1856781000006112,Epilepsy treatment compliance poor
Epilepsy,1673671000006100,1673671000006116,Epilepsy treatment continued
Epilepsy,352818000,472411018,Grand mal epilepsy
Epilepsy,719131000,3315111011,Neurological Disorders Depression Inventory in Epilepsy
Epilepsy,851121000006101,851121000006117,Partial epilepsy
Epilepsy,509341000000107,883041000006118,Petit mal epilepsy
Epilepsy,509341000000107,1132501000000111,Petit-mal epilepsy
Epilepsy,75023009,897431000006113,Post traumatic epilepsy
Epilepsy,1776671000006100,1776671000006116,Reason for referral: Epilepsy
Epilepsy,905881000006107,905881000006111,[RFC] Epilepsy/convulsion
Epilepsy,230437002,3513043019,dravet syndrome
Epilepsy,918561000006107,918561000006111,epilepsy associated problems
Epilepsy,170709001,264637014,epilepsy drug side effects
Epilepsy,918591000006104,918591000006115,epilepsy drug side effects
Epilepsy,916571000006101,916571000006117,epilepsy monitoring
Epilepsy,1699591000006108,1699591000006112,epilepsy monitoring call first letter
Epilepsy,1699601000006100,1699601000006116,epilepsy monitoring call second letter
Epilepsy,1699611000006102,1699611000006118,epilepsy monitoring call third letter
Epilepsy,192979009,2550890017,generalised nonconvulsive epilepsy
Epilepsy,28055006,46969011,infantile spasms
Epilepsy,918601000006107,918601000006111,nocturnal epilepsy
Epilepsy,7033004,12602012,petit mal status
Epilepsy,28055006,46971011,salaam attacks
Epilepsy,230423006,345289013,unverricht - lundborg disease
Epilepsy,395689002,1489345013,Transient epileptic amnesia
Epilepsy,407627004,2159227017,Epilepsy confirmed
Epilepsy,162658001,253531010,Epilepsy resolved
Epilepsy,526921000000102,1175991000000119,Contraceptive advice for patients with epilepsy
Epilepsy,170702005,264629018,Epilepsy monitoring
Epilepsy,170706008,264634019,Epilepsy associated problems
Epilepsy,170709001,2668002018,Epilepsy drug side effects
Epilepsy,170710006,264638016,Epilepsy treatment changed
Epilepsy,170711005,264639012,Epilepsy treatment started
Epilepsy,170712003,264640014,Epilepsy treatment stopped
Epilepsy,230445007,345323014,Nocturnal epilepsy
Epilepsy,314827004,459233015,Epilepsy control good
Epilepsy,314828009,459234014,Epilepsy control poor
Epilepsy,401178003,1780375016,Epilepsy care arrangement
Epilepsy,407585000,2159186017,Seizure free >12 months
Epilepsy,93141000000105,141981000000118,Epilepsy restricts employment
Epilepsy,93151000000108,141991000000116,Epilepsy prevents employment
Epilepsy,108211000000104,154851000000115,Epilepsy impairs education
Epilepsy,88491000000102,137801000000112,Epilepsy limits activities
Epilepsy,93211000000101,142041000000115,Epilepsy does not limit activities
Epilepsy,840261000000103,2180511000000116,Epilepsy management plan given
Epilepsy,407616001,2159216019,Epilepsy severity
Epilepsy,407617005,2159217011,No seizures on treatment
Epilepsy,407618000,2159218018,1 to 12 seizures a year
Epilepsy,407619008,2159219014,2 to 4 seizures a month
Epilepsy,407620002,2159220015,1 to 7 seizures a week
Epilepsy,407621003,2159221016,Daily seizures
Epilepsy,407622005,2159222011,Many seizures a day
Epilepsy,414860000,2533403014,No epilepsy drug side effects
Epilepsy,170702005,264629018,Epilepsy monitoring NOS
Epilepsy,526961000000105,1176071000000111,Pregnancy advice for patients with epilepsy
Epilepsy,526941000000109,1176031000000114,Pre-conception advice for patients with epilepsy
Epilepsy,401062003,1780267013,Epilepsy medication review
Epilepsy,416090009,2548491016,Epilepsy monitoring verbal invite
Epilepsy,248371000000106,406781000000119,Epilepsy monitoring telephone invite
Epilepsy,202061000000107,307861000000113,Epilepsy monitoring call first letter
Epilepsy,202071000000100,307881000000116,Epilepsy monitoring call second letter
Epilepsy,202081000000103,307901000000118,Epilepsy monitoring call third letter
Epilepsy,5510009,10196013,[X]Schizophrenia-like psychosis in epilepsy
Epilepsy,111479008,178719012,[X]Epileptic psychosis NOS
Epilepsy,36217008,60439011,[X]Limbic epilepsy personality
Epilepsy,230438007,345312010,[X]Acquired aphasia with epilepsy [Landau - Kleffner]
Epilepsy,267581004,399395015,Progressive myoclonic epilepsy
Epilepsy,230423006,345289013,Unverricht - Lundborg disease
Epilepsy,192845009,297060016,Myoclonic encephalopathy
Epilepsy,73495003,122038018,Dyssynergia cerebellaris myoclonica
Epilepsy,84757009,178739011,Epilepsy
Epilepsy,192979009,297264018,Generalised nonconvulsive epilepsy
Epilepsy,509341000000107,1132511000000113,Petit mal (minor) epilepsy
Epilepsy,509341000000107,1132511000000113,Epileptic absences
Epilepsy,50866000,495804010,Pykno-epilepsy
Epilepsy,192981006,297266016,Epileptic seizures - atonic
Epilepsy,192982004,297267013,Epileptic seizures - akinetic
Epilepsy,230413002,345275015,Juvenile absence epilepsy
Epilepsy,230418006,345281011,Lennox-Gastaut syndrome
Epilepsy,192979009,297263012,Other specified generalised nonconvulsive epilepsy
Epilepsy,192979009,297264018,Generalised nonconvulsive epilepsy NOS
Epilepsy,65120008,500033015,Generalised convulsive epilepsy
Epilepsy,19598007,479713017,Grand mal (major) epilepsy
Epilepsy,352818000,472410017,Tonic-clonic epilepsy
Epilepsy,192990004,297280011,Otohara syndrome
Epilepsy,192991000,297282015,Epileptic seizures - clonic
Epilepsy,192992007,297283013,Epileptic seizures - myoclonic
Epilepsy,192993002,297284019,Epileptic seizures - tonic
Epilepsy,65120008,108213016,Other specified generalised convulsive epilepsy
Epilepsy,65120008,500033015,Generalised convulsive epilepsy NOS
Epilepsy,7033004,501555012,Petit mal status
Epilepsy,13973009,23819016,Grand mal status
Epilepsy,230456007,345339019,Status epilepticus
Epilepsy,192999003,297295013,Partial epilepsy with impairment of consciousness
Epilepsy,193000002,297296014,Temporal lobe epilepsy
Epilepsy,361123003,477355017,Psychomotor epilepsy
Epilepsy,193002005,297300010,Psychosensory epilepsy
Epilepsy,193003000,297301014,Limbic system epilepsy
Epilepsy,193004006,297302019,Epileptic automatism
Epilepsy,407675009,2159274014,Complex partial epileptic seizure
Epilepsy,192999003,297295013,Partial epilepsy with impairment of consciousness NOS
Epilepsy,230381009,345224018,Partial epilepsy without impairment of consciousness
Epilepsy,307357004,450603013,"Jacksonian, focal or motor epilepsy"
Epilepsy,230381009,345225017,Focal epilepsy
Epilepsy,307356008,450602015,Motor epilepsy
Epilepsy,79745005,1234392012,Sensory induced epilepsy
Epilepsy,193008009,297311019,Somatosensory epilepsy
Epilepsy,193009001,297313016,Visceral reflex epilepsy
Epilepsy,193009001,297312014,Partial epilepsy with autonomic symptoms
Epilepsy,193010006,297314010,Visual reflex epilepsy
Epilepsy,193011005,297315011,Unilateral epilepsy
Epilepsy,199451000000106,301541000000116,Simple partial epileptic seizure
Epilepsy,230381009,345227013,Partial epilepsy without impairment of consciousness OS
