Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Hyperparathyroidism,36348003,60663012,Primary hyperparathyroidism
Hyperparathyroidism,78200003,129770011,Tertiary hyperparathyroidism
Hyperparathyroidism,84727000,140466019,Osteitis fibrosa cystica
Hyperparathyroidism,66999008,111289013,Hyperparathyroidism
Hyperparathyroidism,203471008,312190010,Brown tumour of hyperparathyroidism
Hyperparathyroidism,84727000,140459015,Hyperparathyroid bone disease
Hyperparathyroidism,84727000,1234973018,Von Recklinghausen's bone disease
Hyperparathyroidism,84727000,1234973018,von Recklinghausen's bone disease
Hyperparathyroidism,66999008,111289013,[X]Other hyperparathyroidism
Hyperparathyroidism,91478007,151534010,Secondary hyperparathyroidism
Hyperparathyroidism,29326002,49080014,Ectopic hyperparathyroidism
