Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Hypoparathyroidism,57958006,96350012,Myopathy due to endocrine disease EC
Hypoparathyroidism,57958006,96353014,Muscle disease related to endocrine disease
Hypoparathyroidism,36976004,61681019,Deficiency of parathyrin
Hypoparathyroidism,36976004,61682014,Deficiency of PTH
Hypoparathyroidism,57958006,1231782017,Muscle disorders associated with endocrine disease
Hypoparathyroidism,237654002,356185013,Idiopathic hypoparathyroidism
Hypoparathyroidism,57958006,96350012,Myopathy due to endocrine disease NOS
Hypoparathyroidism,57958006,96350012,Endocrine myopathy
Hypoparathyroidism,36976004,61678012,Hypoparathyroidism
Hypoparathyroidism,36976004,61678012,Hypoparathyroidism NOS
Hypoparathyroidism,36976004,61678012,[X]Other hypoparathyroidism
Hypoparathyroidism,36976004,61680018,Deficiency of parathyroid hormone
Hypoparathyroidism,20248004,34053018,Curettage of adenoid
Hypoparathyroidism,118784006,183468015,Pharynx operations
Hypoparathyroidism,58976002,98010014,Parathyroid hormone resistant hypoparathyroidism
Hypoparathyroidism,28913000,1226092010,Ts and As - Tonsillectomy and adenoidectomy
Hypoparathyroidism,58976002,98009016,Familial pseudohypoparathyroidism
Hypoparathyroidism,119954001,460597013,As - Adenoidectomy
Hypoparathyroidism,119954001,460599011,Ads - Adenoidectomy
Hypoparathyroidism,28913000,48410019,Tonsillectomy with adenoidectomy
Hypoparathyroidism,58976002,498307013,Constitutional chronic hypocalcaemia
Hypoparathyroidism,28913000,48413017,Adenotonsillectomy
Hypoparathyroidism,426391000,2674424017,Plasma mediated ablation tonsillectomy
Hypoparathyroidism,118784006,447451016,Pharynx procedure
Hypoparathyroidism,118784006,183468015,Procedure on pharynx
Hypoparathyroidism,118784006,447450015,Pharyngeal procedure
Hypoparathyroidism,426391000,2674425016,Coblation tonsillectomy
Hypoparathyroidism,173430005,268496017,Dissection tonsillectomy and adenoidectomy
Hypoparathyroidism,173431009,268497014,Guillotine tonsillectomy and adenoidectomy
Hypoparathyroidism,119954001,460600014,Adenoidectomy
Hypoparathyroidism,28913000,484011019,Tonsillectomy and adenoidectomy
Hypoparathyroidism,58976002,98005010,Pseudohypoparathyroidism
Hypoparathyroidism,118784006,183468015,Pharynx operations NOS
Hypoparathyroidism,237659007,356191010,Pseudopseudohypoparathyroidism
Hypoparathyroidism,58976002,98008012,Constitutional chronic hypocalcemia
Hypoparathyroidism,28913000,862271000006112,Tonsillectomy + adenoidectomy
Hypoparathyroidism,10629009,18466010,[D]Tetany
Hypoparathyroidism,75140002,124801018,[D]Carpopedal spasm
Hypoparathyroidism,10629009,18466010,[D]Tetany NOS
