Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Inflammatory diseases of the female pelvic organs,8258000,14627016,Perioophoritis unspecified
Inflammatory diseases of the female pelvic organs,46536000,77563016,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,88157006,146147019,Salpingitis unspecified
Inflammatory diseases of the female pelvic organs,56321006,93656019,Perisalpingitis unspecified
Inflammatory diseases of the female pelvic organs,46536000,77563016,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,46536000,77563016,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,76047005,126311015,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,46536000,77563016,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,5552004,497284017,Disorder of ovary
Inflammatory diseases of the female pelvic organs,88157006,3012514018,Inflammation of fallopian tube
Inflammatory diseases of the female pelvic organs,78095005,129606011,Hematosalpinx
Inflammatory diseases of the female pelvic organs,198142001,3005111017,Chronic salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,46536000,3005963013,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,76047005,3005340013,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,398319002,1777857015,Abscess of fallopian tube
Inflammatory diseases of the female pelvic organs,46536000,3005141015,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,5552004,10264010,Ovarian disorder
Inflammatory diseases of the female pelvic organs,78095005,503762012,Haematosalpinx
Inflammatory diseases of the female pelvic organs,198142001,304659018,Chronic salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,21711003,36435017,Hydrosalpinx
Inflammatory diseases of the female pelvic organs,32290008,53944014,Salpingocele
Inflammatory diseases of the female pelvic organs,32582007,54399018,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,55551005,92337013,Chronic salpingitis
Inflammatory diseases of the female pelvic organs,198142001,304659018,Chronic salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,198143006,304660011,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,198186006,304713013,Subacute pyometra
Inflammatory diseases of the female pelvic organs,397810006,1777414016,Pyosalpinx
Inflammatory diseases of the female pelvic organs,398319002,1786208014,Fallopian tube abscess
Inflammatory diseases of the female pelvic organs,198142001,887091000006118,Chronic salpingitis/oophoritis
Inflammatory diseases of the female pelvic organs,46536000,77564010,Salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,58949002,97962011,Tubo-ovarian abscess
Inflammatory diseases of the female pelvic organs,32290008,53943015,Hernia of fallopian tube
Inflammatory diseases of the female pelvic organs,397810006,1785972010,Pyosalpingitis
Inflammatory diseases of the female pelvic organs,198141008,304658014,Chronic perioophoritis
Inflammatory diseases of the female pelvic organs,58949002,3005973010,Tubo ovarian abscess
Inflammatory diseases of the female pelvic organs,36742000,61288015,Adenosis of fallopian tube
Inflammatory diseases of the female pelvic organs,65984002,109584011,Follicular salpingitis
Inflammatory diseases of the female pelvic organs,7415003,13226012,Abscess of ovary
Inflammatory diseases of the female pelvic organs,36742000,486535019,Adenosalpingitis
Inflammatory diseases of the female pelvic organs,65984002,109583017,Salpingitis follicularis
Inflammatory diseases of the female pelvic organs,7415003,1233709015,Ovarian abscess
Inflammatory diseases of the female pelvic organs,36742000,61287013,Salpingitis isthmica nodosa
