Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Inflammatory polyarthropathies,69896004,889751000006116,Rheum. arth. - ankle/foot
Inflammatory polyarthropathies,69896004,889801000006111,Rheum. arth. - elbow joint
Inflammatory polyarthropathies,69896004,889781000006112,Rheum. arth. - hand joint
Inflammatory polyarthropathies,69896004,889761000006119,Rheum. arth. - knee joint
Inflammatory polyarthropathies,69896004,889821000006118,Rheum. arth. - multiple joint
Inflammatory polyarthropathies,69896004,889741000006118,Rheum. arth. - other joint
Inflammatory polyarthropathies,69896004,889811000006114,Rheum. arth. - shoulder joint
Inflammatory polyarthropathies,69896004,889791000006110,Rheum. arth. - wrist joint
Inflammatory polyarthropathies,69896004,889731000006111,Rheumatoid arthritis NOS
Inflammatory polyarthropathies,287006005,2692387019,Rheumatoid arthritis of multiple joints
Inflammatory polyarthropathies,909191000006103,909191000006119,[RFC] Rheumatoid arthritis
Inflammatory polyarthropathies,398640008,1786505011,caplan's syndrome
Inflammatory polyarthropathies,1875561000006103,1875561000006119,rheumatoid arthritis monitoring invitation
Inflammatory polyarthropathies,1875591000006106,1875591000006110,rheumatoid arthritis monitoring invitation first letter
Inflammatory polyarthropathies,1875601000006103,1875601000006119,rheumatoid arthritis monitoring invitation second letter
Inflammatory polyarthropathies,1875611000006100,1875611000006116,rheumatoid arthritis monitoring invitation third letter
Inflammatory polyarthropathies,1875571000006104,1875571000006114,rheumatoid arthritis monitoring telephone invitation
Inflammatory polyarthropathies,1875581000006108,1875581000006112,rheumatoid arthritis monitoring verbal invitation
Inflammatory polyarthropathies,308143008,451461014,seropositive errosive rheumatoid arthritis
Inflammatory polyarthropathies,164454008,255923010,O/E - hands - ulnar deviation
Inflammatory polyarthropathies,164454008,255922017,O/E - ulnar deviation
Inflammatory polyarthropathies,164456005,255925015,O/E-hands-rheumatoid spindling
Inflammatory polyarthropathies,275902004,411871019,Rheumatoid arthrit. monitoring
Inflammatory polyarthropathies,231041000000107,371261000000111,Delivery of rehabilitation for rheumatoid arthritis
Inflammatory polyarthropathies,882321000000105,2275501000000119,Rheumatoid arthritis monitoring invitation
Inflammatory polyarthropathies,882401000000106,2275671000000111,Rheumatoid arthritis monitoring invitation first letter
Inflammatory polyarthropathies,882421000000102,2275711000000112,Rheumatoid arthritis monitoring invitation second letter
Inflammatory polyarthropathies,882441000000109,2275751000000111,Rheumatoid arthritis monitoring invitation third letter
Inflammatory polyarthropathies,882461000000105,2275791000000115,Rheumatoid arthritis monitoring verbal invitation
Inflammatory polyarthropathies,882481000000101,2275831000000110,Rheumatoid arthritis monitoring telephone invitation
Inflammatory polyarthropathies,193180002,297544012,Polyneuropathy in rheumatoid arthritis
Inflammatory polyarthropathies,193250002,297641010,Myopathy due to rheumatoid arthritis
Inflammatory polyarthropathies,195136004,300221014,Rheumatoid myocarditis
Inflammatory polyarthropathies,28880005,48361011,Rheumatoid carditis
Inflammatory polyarthropathies,398726004,1786545019,Rheumatoid lung
Inflammatory polyarthropathies,239920006,359482019,Adult Still's Disease
Inflammatory polyarthropathies,69896004,116082011,Rheumatoid arthritis and other inflammatory polyarthropathy
Inflammatory polyarthropathies,69896004,116082011,Rheumatoid arthritis
Inflammatory polyarthropathies,201764007,309787016,Rheumatoid arthritis of cervical spine
Inflammatory polyarthropathies,9631008,16840014,Other rheumatoid arthritis of spine
Inflammatory polyarthropathies,201766009,309789018,Rheumatoid arthritis of shoulder
Inflammatory polyarthropathies,201767000,309790010,Rheumatoid arthritis of sternoclavicular joint
Inflammatory polyarthropathies,201768005,309791014,Rheumatoid arthritis of acromioclavicular joint
Inflammatory polyarthropathies,201769002,309792019,Rheumatoid arthritis of elbow
Inflammatory polyarthropathies,201770001,309793012,Rheumatoid arthritis of distal radio-ulnar joint
Inflammatory polyarthropathies,201771002,309794018,Rheumatoid arthritis of wrist
Inflammatory polyarthropathies,201772009,309795017,Rheumatoid arthritis of MCP joint
Inflammatory polyarthropathies,201773004,309796016,Rheumatoid arthritis of PIP joint of finger
Inflammatory polyarthropathies,201774005,309797013,Rheumatoid arthritis of DIP joint of finger
Inflammatory polyarthropathies,201775006,309798015,Rheumatoid arthritis of hip
Inflammatory polyarthropathies,201776007,309799011,Rheumatoid arthritis of sacro-iliac joint
Inflammatory polyarthropathies,201777003,309800010,Rheumatoid arthritis of knee
Inflammatory polyarthropathies,201778008,309801014,Rheumatoid arthritis of tibio-fibular joint
Inflammatory polyarthropathies,201779000,309802019,Rheumatoid arthritis of ankle
Inflammatory polyarthropathies,201780002,309803012,Rheumatoid arthritis of subtalar joint
Inflammatory polyarthropathies,201781003,309804018,Rheumatoid arthritis of talonavicular joint
Inflammatory polyarthropathies,429192004,2696026017,Rheumatoid arthritis of other tarsal joint
Inflammatory polyarthropathies,201783000,309807013,Rheumatoid arthritis of 1st MTP joint
