Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Ischaemic heart diseases,175021005,271087015,Allograft replacement of coronary artery
Ischaemic heart diseases,175029007,271097012,Prosthetic replacement of coronary artery
Ischaemic heart diseases,164870003,256458014,ECG: subendocardial infarct
Ischaemic heart diseases,164867002,256454011,ECG: old myocardial infarction
Ischaemic heart diseases,164871004,256459018,ECG: lateral infarction
Ischaemic heart diseases,164861001,1205556017,ECG:shows myocardial ischaemia
Ischaemic heart diseases,164869004,256457016,ECG:posterior/inferior infarct
Ischaemic heart diseases,175045009,271114019,Connection of mammary artery to coronary artery
Ischaemic heart diseases,3546002,6979016,Saphenous vein graft replacement of coronary artery
Ischaemic heart diseases,164868007,256455012,ECG: antero-septal infarct.
Ischaemic heart diseases,168939002,2666780014,Coronary arteriograph.abnormal
Ischaemic heart diseases,232717009,348640013,Other autograft replacement of coronary artery
Ischaemic heart diseases,11101003,19234014,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,232717009,348640013,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,175036008,271105012,Revision of bypass for coronary artery
Ischaemic heart diseases,168935008,262243016,Angiocardiography abnormal
Ischaemic heart diseases,810681000000101,2115181000000110,Coronary microvascular disease
Ischaemic heart diseases,72092001,119795011,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,71908006,119481012,Ventricular fibrillation
Ischaemic heart diseases,698378009,2974157013,Coronary artery bypass graft operation planned
Ischaemic heart diseases,736964008,3525952013,Prosthetic replacement of three coronary arteries
Ischaemic heart diseases,232719007,348647011,Single implantation thoracic artery into coronary artery NEC
Ischaemic heart diseases,164865005,256452010,ECG: myocardial infarct NOS
Ischaemic heart diseases,194821006,299742017,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,265481001,394286010,Double anastomosis of mammary arteries to coronary arteries
Ischaemic heart diseases,315614006,460133017,Coronary heart disease annual review
Ischaemic heart diseases,4557003,7845011,Unstable angina
Ischaemic heart diseases,811901000000107,2117731000000119,Angina self-management plan agreed
Ischaemic heart diseases,175037004,271106013,Revision of bypass for one coronary artery
Ischaemic heart diseases,399261000,1767181012,[V]Presence of coronary artery bypass graft
Ischaemic heart diseases,232720001,348649014,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,311792005,455418016,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,1012701000000104,2574481000000119,Blood bicarbonate level
Ischaemic heart diseases,166663004,258968018,Cardiac enzymes abnormal
Ischaemic heart diseases,232726007,354901000000117,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,59021001,98087016,Angina decubitus
Ischaemic heart diseases,194856005,299808017,Subsequent myocardial infarction
Ischaemic heart diseases,428375006,2692299011,[V]Presence of coronary angioplasty implant and graft
Ischaemic heart diseases,232717009,348640013,Other autograft bypass of coronary artery
Ischaemic heart diseases,311796008,455422014,Postoperative subendocardial myocardial infarction
Ischaemic heart diseases,175039001,271108014,Revision of bypass for three coronary arteries
Ischaemic heart diseases,23687008,39773018,Coronary artery spasm
Ischaemic heart diseases,413838009,2534672016,Other chronic ischaemic heart disease
Ischaemic heart diseases,315025001,459487012,Refractory angina
Ischaemic heart diseases,232719007,348647011,Autograft replacement of one coronary artery NEC
Ischaemic heart diseases,443502000,2842265012,Atherosclerotic heart disease
Ischaemic heart diseases,1003361000000108,2573331000000110,Plasma troponin T level
Ischaemic heart diseases,232717009,348640013,Other replacement of coronary artery
Ischaemic heart diseases,3546002,1228282017,Saphenous vein graft bypass of coronary artery
Ischaemic heart diseases,395699007,1489354011,Cardiac rehabilitation - phase 4
Ischaemic heart diseases,65340007,1232666014,Cardiac aneurysm
Ischaemic heart diseases,233823002,350354017,Silent myocardial ischaemia
Ischaemic heart diseases,29843007,484402013,Percutaneous transluminal laser coronary angioplasty
Ischaemic heart diseases,15990001,27071012,Acute posterolateral myocardial infarction
Ischaemic heart diseases,194862000,299816014,Haemopericardium/current comp folow acut myocard infarct
Ischaemic heart diseases,698377004,2974242014,Coronary angioplasty planned
Ischaemic heart diseases,429639007,2694928017,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,426674009,2675882017,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,736973000,3525983012,Allograft replacement of two coronary arteries
Ischaemic heart diseases,68466008,1233048011,Percut transluminal balloon angioplasty one coronary artery
Ischaemic heart diseases,22298006,37443015,Attack - heart
Ischaemic heart diseases,394659003,1488382011,Acute coronary syndrome
Ischaemic heart diseases,4557003,494261017,Worsening angina
Ischaemic heart diseases,57054005,94884017,Acute myocardial infarction
Ischaemic heart diseases,4557003,7847015,Crescendo angina
Ischaemic heart diseases,4557003,494262012,Preinfarction syndrome
Ischaemic heart diseases,56265001,93561011,Other forms of heart disease
Ischaemic heart diseases,170594001,264493019,Angina control - good
Ischaemic heart diseases,161504004,251679016,H/O: angina pectoris
Ischaemic heart diseases,24607002,41258019,ECG: Q wave NOS
Ischaemic heart diseases,175071008,271151013,Percut translum coronary thrombolytic therapy- streptokinase
Ischaemic heart diseases,105501005,169590017,[V]Status following coronary angioplasty NOS
Ischaemic heart diseases,399261000,1767181012,[V]Presence of aortocoronary bypass graft
Ischaemic heart diseases,308117007,451425016,Antianginal therapy
Ischaemic heart diseases,175066001,271142017,Percut translum balloon angioplasty bypass graft coronary a
Ischaemic heart diseases,399211009,2986492018,Personal history of myocardial infarction
Ischaemic heart diseases,268509003,401516015,Heart disease monitoring
Ischaemic heart diseases,415071007,2533528016,Percutaneous transluminal atherectomy
Ischaemic heart diseases,398274000,1786197015,Coronary thrombosis
Ischaemic heart diseases,233838001,350371016,Posterior myocardial infarction NOS
Ischaemic heart diseases,70211005,1233238016,Acute anterolateral infarction
Ischaemic heart diseases,395697009,1489352010,Cardiac rehabilitation - phase 2
Ischaemic heart diseases,166711000000108,226781000000114,JBS cardiovascular disease risk <10% over next 10 years
Ischaemic heart diseases,170593007,264492012,Angina control
Ischaemic heart diseases,65340007,108561012,Other cardiac wall aneurysm
Ischaemic heart diseases,736966005,3525965016,Saphenous vein graft replacement of four+ coronary arteries
Ischaemic heart diseases,398274000,1786198013,Thrombosis - coronary
Ischaemic heart diseases,56265001,93561011,Heart diseases
Ischaemic heart diseases,53741008,2536395017,Coronary artery disease
Ischaemic heart diseases,736965009,3525955010,Prosthetic replacement of two coronary arteries
Ischaemic heart diseases,161503005,251678012,H/O: myocardial infarct >60
Ischaemic heart diseases,233843008,350376014,Silent myocardial infarction
Ischaemic heart diseases,275544003,411538011,H/O: heart disease NOS
Ischaemic heart diseases,268509003,401515016,Cardiac disease monitoring NOS
Ischaemic heart diseases,736968006,3525971010,Saphenous vein graft replacement of three coronary arteries
Ischaemic heart diseases,54329005,1231324017,Other specified anterior myocardial infarction
Ischaemic heart diseases,66189004,500341014,Postmyocardial infarction syndrome
Ischaemic heart diseases,164861001,1205556017,ECG: myocardial ischaemia NOS
Ischaemic heart diseases,76593002,1234005010,Acute inferoposterior infarction
Ischaemic heart diseases,57054005,94884017,Acute transmural myocardial infarction of unspecif site
Ischaemic heart diseases,233846000,350381017,Ventric septal defect/curr comp fol acut myocardal infarctn
Ischaemic heart diseases,81953000,504844017,Chest pain on exertion
Ischaemic heart diseases,443502000,2842265012,Arteriosclerotic heart disease
Ischaemic heart diseases,59021001,498328016,Angina at rest
Ischaemic heart diseases,194828000,299757012,Angina pectoris
Ischaemic heart diseases,26141007,483123017,ECG: S-T depression
Ischaemic heart diseases,194843003,299783019,Double coronary vessel disease
Ischaemic heart diseases,936451000000108,2398371000000113,Perc tran ball angio ins 3 or more drug elut stents cor art
Ischaemic heart diseases,175050003,271126012,Single implantation of mammary artery into coronary artery
Ischaemic heart diseases,57054005,94884017,MI - acute myocardial infarction
Ischaemic heart diseases,414545008,2534664018,Ischaemic heart disease
Ischaemic heart diseases,65547006,1232697013,Acute inferolateral infarction
Ischaemic heart diseases,205011000000103,314321000000119,Suspected ischaemic heart disease
Ischaemic heart diseases,170595000,264494013,Angina control - poor
Ischaemic heart diseases,194802003,299712015,True posterior myocardial infarction
Ischaemic heart diseases,232717009,348644016,Coronary artery bypass graft operations
Ischaemic heart diseases,175047001,271120018,Double implant of mammary arteries into coronary arteries
Ischaemic heart diseases,408546009,2160096015,Coronary artery bypass graft occlusion
Ischaemic heart diseases,66189004,109916013,Dressler's syndrome
Ischaemic heart diseases,90539001,1235573016,Ventricular cardiac aneurysm
Ischaemic heart diseases,308066006,451370011,H/O: Angina in last year
Ischaemic heart diseases,315287002,459791015,Diab mellit insulin-glucose infus acute myocardial infarct
Ischaemic heart diseases,194863005,299818010,Atrial septal defect/curr comp folow acut myocardal infarct
Ischaemic heart diseases,399261000,2986657017,[V]Presence of coronary artery bypass graft - CABG
Ischaemic heart diseases,736963002,3525947015,Prosthetic replacement of one coronary artery
Ischaemic heart diseases,194868001,299824016,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
Ischaemic heart diseases,371068009,1209776017,Certain current complication follow acute myocardial infarct
Ischaemic heart diseases,414545008,2537480011,IHD - Ischaemic heart disease
Ischaemic heart diseases,165084003,2535824013,Positive exercise ECG test
Ischaemic heart diseases,401303003,1780491019,Acute ST segment elevation myocardial infarction
Ischaemic heart diseases,164917005,256508017,ECG: Q wave abnormal
Ischaemic heart diseases,22298006,37443015,Heart attack
Ischaemic heart diseases,853561000000109,2210191000000118,Referral to Angina Plan self-management programme
Ischaemic heart diseases,194821006,2619484018,Myocardial infarction aborted
Ischaemic heart diseases,85053006,506356013,Percut translum balloon angioplasty mult coronary arteries
Ischaemic heart diseases,194865003,299821012,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
Ischaemic heart diseases,311793000,455419012,Postoperative transmural myocardial infarction inferior wall
Ischaemic heart diseases,62695002,104192010,Acute anteroseptal infarction
Ischaemic heart diseases,312610006,456362017,Prosthetic graft patch angioplasty
Ischaemic heart diseases,736967001,3525967012,Saphenous vein graft replacement of one coronary artery
Ischaemic heart diseases,170597008,264496010,Angina control - worsening
Ischaemic heart diseases,936451000000108,2398371000000113,Perc translum ball angio insert 1-2 drug elut stents cor art
Ischaemic heart diseases,194866002,299822017,Ruptur chordae tendinae/curr comp fol acute myocard infarct
Ischaemic heart diseases,315021005,459483011,Coronary heart disease monitoring refused
Ischaemic heart diseases,308065005,451369010,H/O: Myocardial infarction in last year
Ischaemic heart diseases,307140009,450322013,Acute non-Q wave infarction
Ischaemic heart diseases,268509003,401515016,Cardiac disease monitoring
Ischaemic heart diseases,308068007,451372015,H/O: Treatment for ischaemic heart disease
Ischaemic heart diseases,837091000000100,2173281000000112,H/O acute coronary syndrome
Ischaemic heart diseases,52035003,3038718019,Acute anteroapical infarction
Ischaemic heart diseases,232721002,348651013,Autograft replacement of three coronary arteries NEC
Ischaemic heart diseases,401314000,1780501013,Acute non-ST segment elevation myocardial infarction
Ischaemic heart diseases,58612006,1231860015,Lateral myocardial infarction NOS
Ischaemic heart diseases,91335003,1235655012,Mural thrombosis
Ischaemic heart diseases,175038009,271107016,Revision of bypass for two coronary arteries
Ischaemic heart diseases,73795002,122557015,Inferior myocardial infarction NOS
Ischaemic heart diseases,20738002,34888017,Endarterectomy of coronary artery NEC
Ischaemic heart diseases,233885007,350431013,Post infarction pericarditis
Ischaemic heart diseases,194849004,299796018,Ischaemic cardiomyopathy
Ischaemic heart diseases,164918000,256509013,ECG: Q wave pathological
Ischaemic heart diseases,1755008,4031011,Old myocardial infarction
Ischaemic heart diseases,194857001,299811016,Subsequent myocardial infarction of anterior wall
Ischaemic heart diseases,232722009,348654017,Autograft replacement of four of more coronary arteries NEC
Ischaemic heart diseases,276861004,413186016,Percutaneous transluminal angioplasty of artery NEC
Ischaemic heart diseases,1755008,4032016,Healed myocardial infarction
Ischaemic heart diseases,213037002,324808010,Mechanical complication of coronary bypass
Ischaemic heart diseases,164861001,1205556017,ECG: myocardial ischaemia
Ischaemic heart diseases,395698004,1489353017,Cardiac rehabilitation - phase 3
Ischaemic heart diseases,395696000,1489351015,Cardiac rehabilitation - phase 1
Ischaemic heart diseases,194842008,299782012,Single coronary vessel disease
Ischaemic heart diseases,698376008,2974077015,Coronary angiography planned
Ischaemic heart diseases,443502000,2842265012,Coronary atherosclerosis
Ischaemic heart diseases,175029007,271097012,Prosthetic bypass of coronary artery
Ischaemic heart diseases,736970002,3525977014,Allograft replacement of four or more coronary arteries
Ischaemic heart diseases,390799004,1484833014,Coronary heart disease review
Ischaemic heart diseases,24607002,41258019,ECG: Q wave
Ischaemic heart diseases,233817007,350346019,Triple vessel disease of the heart
Ischaemic heart diseases,175882004,272295013,Peroperative angioplasty
Ischaemic heart diseases,194858006,299812011,Subsequent myocardial infarction of inferior wall
Ischaemic heart diseases,275215001,411159010,LIMA single anastomosis
Ischaemic heart diseases,309449009,452880015,Percut translum thrombolysis femoral graft streptokinase
Ischaemic heart diseases,736969003,3525975018,Saphenous vein graft replacement of two coronary arteries
Ischaemic heart diseases,175071008,271150014,Percut transluminal coronary thrombolysis with streptokinase
Ischaemic heart diseases,194821006,2619484018,MI - Myocardial infarction aborted
Ischaemic heart diseases,699245006,3082941013,Admit ischaemic heart disease emergency
Ischaemic heart diseases,175085003,271166011,Replacement of coronary arteries using multiple methods
Ischaemic heart diseases,414531000000101,1001321000000115,[V]Cardiac rehabilitation
Ischaemic heart diseases,312611005,456363010,Percutaneous transluminal angioplasty of vascular graft
Ischaemic heart diseases,11101003,19234014,Percutaneous balloon coronary angioplasty
Ischaemic heart diseases,170596004,264495014,Angina control - improving
Ischaemic heart diseases,397193006,1785743019,Rotary blade coronary angioplasty
Ischaemic heart diseases,276985008,413389019,Percutaneous transluminal venous thrombolysis NEC
Ischaemic heart diseases,304914007,447324018,Acute Q-wave infarct
