Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Malignant neoplasms,363375006,879691000006112,Tongue carcinoma
Malignant neoplasms,363348004,724921000006119,"malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,534791000000107,1193831000000115,"malignant neoplasm of lip, oral cavity and pharynx nos"
Malignant neoplasms,363348004,725001000006112,"malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,363375006,720321000006110,malignant neoplasm of ventral tongue surface nos
Malignant neoplasms,271323007,406052010,"Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,255069008,380095017,"Carcinoma of lip, oral cavity and pharynx"
Malignant neoplasms,363348004,482495016,Malignant neoplasm of lip
Malignant neoplasms,269515006,403771011,Carcinoma of lip
Malignant neoplasms,363372009,1228504019,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms,421249001,2618242015,"Malignant neoplasm of upper lip, external"
Malignant neoplasms,187601000,288350019,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms,363372009,482541011,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms,363373004,1228505018,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms,187604008,288354011,"Malignant neoplasm of lower lip, external"
Malignant neoplasms,363373004,1228506017,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms,363373004,482542016,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms,187606005,288363013,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms,187608006,288372017,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms,187606005,288364019,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms,187606005,288362015,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms,187606005,288356013,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms,271568003,406399011,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms,187613005,288380012,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms,187614004,288382016,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms,271568003,406400016,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms,271568003,406398015,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms,271568003,406398015,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms,187622006,288402019,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,187622006,288392012,"Malignant neoplasm of lip unspecified, buccal aspect"
Malignant neoplasms,187622006,288392012,"Malignant neoplasm of lip unspecified, mucosa"
Malignant neoplasms,187622006,288393019,"Malignant neoplasm of lip, oral aspect"
Malignant neoplasms,363374005,482544015,Malignant neoplasm of commissure of lip
Malignant neoplasms,187624007,288404018,Malignant neoplasm of overlapping lesion of lip
Malignant neoplasms,363348004,482495016,"Malignant neoplasm of lip, unspecified"
Malignant neoplasms,363348004,482495016,"Malignant neoplasm of lip, unspecified, external"
Malignant neoplasms,275399006,411376018,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,421249001,2618242015,"Malignant neoplasm of lip, vermilion border NOS"
Malignant neoplasms,363375006,482546018,Malignant neoplasm of tongue
Malignant neoplasms,363376007,482549013,Malignant neoplasm of base of tongue
Malignant neoplasms,363376007,1228509012,Malignant neoplasm of posterior third of tongue
Malignant neoplasms,187631006,288411019,Malignant neoplasm of base of tongue dorsal surface
Malignant neoplasms,363376007,482548017,Malignant neoplasm of fixed part of tongue NOS
Malignant neoplasms,187633009,288413016,Malignant neoplasm of dorsal surface of tongue
Malignant neoplasms,187635002,288417015,Malignant neoplasm of midline of tongue
Malignant neoplasms,187633009,288413016,Malignant neoplasm of dorsum of tongue NOS
Malignant neoplasms,187637005,288419017,"Malignant neoplasm of tongue, tip and lateral border"
Malignant neoplasms,94134006,155669014,Malignant neoplasm of ventral surface of tongue
Malignant neoplasms,187640005,288423013,Malignant neoplasm of anterior 2/3 of tongue ventral surface
Malignant neoplasms,187641009,288427014,Malignant neoplasm of frenulum linguae
Malignant neoplasms,1090271000000101,2731401000000113,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,363360003,482519011,Malignant neoplasm of anterior 2/3 of tongue unspecified
Malignant neoplasms,187644001,288433017,"Malignant neoplasm of tongue, junctional zone"
Malignant neoplasms,363377003,482550013,Malignant neoplasm of lingual tonsil
Malignant neoplasms,109823006,1219531013,Malignant overlapping lesion of tongue
Malignant neoplasms,363375006,482546018,Malignant neoplasm of other sites of tongue
Malignant neoplasms,363375006,482546018,Malignant neoplasm of tongue NOS
Malignant neoplasms,363378008,1228510019,Malignant neoplasm of major salivary glands
Malignant neoplasms,363379000,482554016,Malignant neoplasm of parotid gland
Malignant neoplasms,363380002,1228513017,Malignant neoplasm of submandibular gland
Malignant neoplasms,363381003,482558018,Malignant neoplasm of sublingual gland
Malignant neoplasms,363378008,482552017,Malignant neoplasm of other major salivary glands
Malignant neoplasms,363378008,482553010,Malignant neoplasm of major salivary gland NOS
Malignant neoplasms,363382005,482560016,Malignant neoplasm of gum
Malignant neoplasms,363383000,482562012,Malignant neoplasm of upper gum
Malignant neoplasms,363384006,482567018,Malignant neoplasm of lower gum
Malignant neoplasms,363382005,482560016,Malignant neoplasm of other sites of gum
Malignant neoplasms,363382005,482560016,Malignant neoplasm of gum NOS
Malignant neoplasms,363385007,2969212012,Malignant neoplasm of floor of mouth
Malignant neoplasms,187652003,288443019,Malignant neoplasm of anterior portion of floor of mouth
Malignant neoplasms,187653008,288444013,Malignant neoplasm of lateral portion of floor of mouth
Malignant neoplasms,109830000,1219533011,"Malignant neoplasm, overlapping lesion of floor of mouth"
Malignant neoplasms,363385007,482569015,Malignant neoplasm of other sites of floor of mouth
Malignant neoplasms,363385007,482570019,Malignant neoplasm of floor of mouth NOS
Malignant neoplasms,363505006,482796019,Malignant neoplasm of other and unspecified parts of mouth
Malignant neoplasms,363386008,482571015,Malignant neoplasm of cheek mucosa
Malignant neoplasms,363386008,482571015,Malignant neoplasm of buccal mucosa
Malignant neoplasms,187658004,288453018,Malignant neoplasm of vestibule of mouth
Malignant neoplasms,187659007,288454012,Malignant neoplasm of upper buccal sulcus
Malignant neoplasms,187660002,288459019,Malignant neoplasm of lower buccal sulcus
Malignant neoplasms,363387004,482573017,Malignant neoplasm of hard palate
Malignant neoplasms,363388009,482575012,Malignant neoplasm of soft palate
Malignant neoplasms,363389001,482577016,Malignant neoplasm of uvula
Malignant neoplasms,363390005,482579018,Malignant neoplasm of palate unspecified
Malignant neoplasms,187666008,288470014,Malignant neoplasm of junction of hard and soft palate
Malignant neoplasms,363390005,1228523014,Malignant neoplasm of roof of mouth
Malignant neoplasms,363390005,482579018,Malignant neoplasm of palate NOS
Malignant neoplasms,363391009,482581016,Malignant neoplasm of retromolar area
Malignant neoplasms,363505006,482796019,Malignant neoplasm of other specified mouth parts
Malignant neoplasms,363505006,482796019,Malignant neoplasm of mouth NOS
Malignant neoplasms,363392002,482583018,Malignant neoplasm of oropharynx
Malignant neoplasms,363393007,482586014,Malignant neoplasm of tonsil
Malignant neoplasms,363393007,1228530015,Malignant neoplasm of faucial tonsil
Malignant neoplasms,363393007,1228529013,Malignant neoplasm of palatine tonsil
Malignant neoplasms,110013004,174720013,Malignant neoplasm of overlapping lesion of tonsil
Malignant neoplasms,363393007,482585013,Malignant neoplasm tonsil NOS
Malignant neoplasms,363394001,482587017,Malignant neoplasm of tonsillar fossa
Malignant neoplasms,187675005,288486019,Malignant neoplasm of tonsillar pillar
Malignant neoplasms,187675005,288485015,Malignant neoplasm of faucial pillar
Malignant neoplasms,254459004,378845014,Malignant neoplasm of glossopalatine fold
Malignant neoplasms,254459004,2475984012,Malignant neoplasm of palatoglossal arch
Malignant neoplasms,187675005,288479010,Malignant neoplasm of palatopharyngeal arch
Malignant neoplasms,363394001,482587017,Malignant neoplasm of tonsillar fossa NOS
Malignant neoplasms,363395000,482589019,Malignant neoplasm of vallecula
Malignant neoplasms,187681002,288506019,Malignant neoplasm of anterior epiglottis
Malignant neoplasms,187682009,288507011,"Malignant neoplasm of epiglottis, free border"
Malignant neoplasms,187683004,288508018,Malignant neoplasm of glossoepiglottic fold
Malignant neoplasms,187681002,288506019,Malignant neoplasm of anterior epiglottis NOS
Malignant neoplasms,187685006,288510016,Malignant neoplasm of junctional region of epiglottis
Malignant neoplasms,448868009,2901613017,Malignant neoplasm of lateral wall of oropharynx
Malignant neoplasms,187688008,288515014,Malignant neoplasm of posterior wall of oropharynx
Malignant neoplasms,363392002,482583018,"Malignant neoplasm of oropharynx, other specified sites"
Malignant neoplasms,363392002,482583018,Malignant neoplasm of other specified site of oropharynx NOS
Malignant neoplasms,363392002,482583018,Malignant neoplasm of oropharynx NOS
Malignant neoplasms,187692001,288522018,Malignant neoplasm of nasopharynx
Malignant neoplasms,363397008,1228532011,Malignant neoplasm of roof of nasopharynx
Malignant neoplasms,187693006,288529010,Malignant neoplasm of posterior wall of nasopharynx
Malignant neoplasms,187694000,288533015,Malignant neoplasm of adenoid
Malignant neoplasms,187694000,288532013,Malignant neoplasm of pharyngeal tonsil
Malignant neoplasms,187693006,288528019,Malignant neoplasm of posterior wall of nasopharynx NOS
Malignant neoplasms,363398003,482595018,Malignant neoplasm of lateral wall of nasopharynx
Malignant neoplasms,187697007,288546013,Malignant neoplasm of pharyngeal recess
Malignant neoplasms,363398003,482595018,Malignant neoplasm of lateral wall of nasopharynx NOS
Malignant neoplasms,187700006,288552014,Malignant neoplasm of anterior wall of nasopharynx
Malignant neoplasms,187702003,288556012,Malignant neoplasm of nasopharyngeal soft palate surface
Malignant neoplasms,254484001,378896011,Malignant neoplasm posterior margin nasal septum and choanae
Malignant neoplasms,187700006,288553016,Malignant neoplasm of anterior wall of nasopharynx NOS
Malignant neoplasms,109367000,1219467016,"Malignant neoplasm, overlapping lesion of nasopharynx"
Malignant neoplasms,187692001,288519015,Malignant neoplasm of other specified site of nasopharynx
Malignant neoplasms,187692001,288526015,Malignant neoplasm of nasopharynx NOS
Malignant neoplasms,363399006,482598016,Malignant neoplasm of hypopharynx
Malignant neoplasms,363400004,482599012,Malignant neoplasm of postcricoid region
Malignant neoplasms,363401000,482602019,Malignant neoplasm of pyriform sinus
Malignant neoplasms,187708004,288566016,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"
Malignant neoplasms,187709007,288568015,Malignant neoplasm of posterior pharynx
Malignant neoplasms,363399006,482597014,Malignant neoplasm of other specified hypopharyngeal site
Malignant neoplasms,363399006,482598016,Malignant neoplasm of hypopharynx NOS
Malignant neoplasms,271323007,406052010,"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
Malignant neoplasms,363507003,482800013,Malignant neoplasm of pharynx unspecified
Malignant neoplasms,187716008,288578017,Malignant neoplasm of Waldeyer's ring
Malignant neoplasms,363399006,1228533018,Malignant neoplasm of laryngopharynx
Malignant neoplasms,271323007,406052010,"Malignant neoplasm of other sites lip, oral cavity, pharynx"
Malignant neoplasms,271323007,406052010,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
Malignant neoplasms,34603009,57743014,[M]Basal cell adenocarcinoma
Malignant neoplasms,271323007,406052010,"[X]Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,187727005,288609015,Malignant tumour of lower third of oesophagus
