Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118607005,2663377018,"Hodgkin lymphoma, lymphocyte-rich"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188531003,289626018,Hodgkin's paragranuloma of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188558005,289654013,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",52248008,310051000006114,"[m]hodgkin's disease, nodular sclerosis nos"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",14537002,195620018,hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",14537002,24700011,hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826141000006119,hodgkin's disease nos of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826161000006115,hodgkin's disease nos of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826171000006110,hodgkin's disease nos of lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826181000006113,hodgkin's disease nos of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826191000006111,"hodgkin's disease nos of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826201000006114,hodgkin's disease nos of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,826211000006112,hodgkin's disease nos of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",112687003,183342014,"hodgkin's disease, lymphocytic depletion"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",41529000,69276015,"hodgkin's disease, mixed cellularity"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",74189002,123200019,hodgkin's granuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118605002,826681000006115,hodgkin's paragranuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",46923007,78213013,hodgkin's sarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118607005,826991000006114,"hodgkin's, lymphocytic-histiocytic predominance unspec site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,2663473018,Hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,2663473018,Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118605002,202988019,Hodgkin's paragranuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93542008,154855017,"Hodgkin's paragranuloma of lymph nodes of head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93493001,3635497016,Hodgkin's paragranuloma of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118602004,2663476014,Hodgkin's granuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188534006,289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118606001,2663376010,Hodgkin's sarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188547001,289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118607005,177026017,"Hodgkin's disease, lymphocytic-histiocytic predominance"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118607005,177026017,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188554007,289650016,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93495008,154777010,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93493001,154775019,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188559002,289655014,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93494007,154776018,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93500006,154785018,"Hodgkin's, lymphocytic-histiocytic predominance of spleen"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188562004,289658011,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118607005,177026017,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118608000,1220414014,"Hodgkin's disease, nodular sclerosis"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118608000,177027014,"Hodgkin's disease, nodular sclerosis of unspecified site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188565002,289661012,"Hodgkin's nodular sclerosis of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188566001,289662017,Hodgkin's nodular sclerosis of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188567005,289663010,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188568000,289664016,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93518009,154811011,"Hodgkin's disease, nodular sclerosis of spleen"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188572001,289668018,Hodgkin's nodular sclerosis of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118608000,177027014,"Hodgkin's disease, nodular sclerosis NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118609008,2663461018,"Hodgkin's disease, mixed cellularity"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118609008,177028016,"Hodgkin's disease, mixed cellularity of unspecified site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188575004,289671014,"Hodgkin's mixed cellularity of lymph nodes head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188576003,289672019,Hodgkin's mixed cellularity of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188579005,289675017,Hodgkin's mixed cellularity of lymph nodes inguinal and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118609008,177028016,"Hodgkin's disease, mixed cellularity NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118610003,2663187010,"Hodgkin's disease, lymphocytic depletion"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118610003,177029012,Hodgkin's lymphocytic depletion of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188589009,289696012,Hodgkin's lymphocytic depletion lymph nodes axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188590000,289697015,Hodgkin's lymphocytic depletion lymph nodes inguinal and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188592008,289699017,"Hodgkin's disease, lymphocytic depletion of spleen"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",188593003,289700016,Hodgkin's lymphocytic depletion lymph nodes multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118610003,177029012,"Hodgkin's disease, lymphocytic depletion NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118605002,177024019,Nodular lymphocyte predominant Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118608000,1220414014,Nodular sclerosis classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118609008,2663461018,Mixed cellularity classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118607005,2870724014,Lymphocyte-rich classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,2663473018,Other classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,2663473018,Hodgkin's disease NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,177017015,Hodgkin lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",118599009,177017015,"Hodgkin's disease NOS, unspecified site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93524003,154823017,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93522004,154818017,Hodgkin's disease NOS of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93520007,154814015,Hodgkin's disease NOS of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93523009,154820019,Hodgkin's disease NOS of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93525002,154826013,Hodgkin's disease NOS of lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",93527005,154831010,Hodgkin's disease NOS of spleen
