Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Meniere disease,29904009,50047017,lermoyez's syndrome
Meniere disease,13445001,710891000006111,unspecified meniere's disease
Meniere disease,13445001,475303017,Meniere's disease
Meniere disease,9794007,17117015,Endolymphatic hydrops
Meniere disease,29904009,2842581018,Lermoyez's syndrome
Meniere disease,13445001,2920410013,Unspecified Meniere's disease
Meniere disease,194348002,299160012,Active cochleovestibular Meniere's disease
Meniere disease,194349005,299161011,Active cochlear Meniere's disease
Meniere disease,194350005,299162016,Active vestibular Meniere's disease
Meniere disease,194351009,299163014,Inactive Meniere's disease
Meniere disease,13445001,178783019,Meniere's disease NOS
