Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Migraine,4473006,7596016,Classical migraine
Migraine,37796009,63055014,Migraine
Migraine,230462002,345348012,Classical migraine
Migraine,4473006,7595017,Migraine with aura
Migraine,56097005,93295014,Common migraine
Migraine,56097005,93294013,Migraine without aura
Migraine,56097005,93296010,Atypical migraine
Migraine,56097005,93295014,Common migraine NOS
Migraine,193030005,297337016,Migraine variants
Migraine,75879005,126030010,Abdominal migraine
Migraine,83351003,138248010,Basilar migraine
Migraine,95655001,158460019,Ophthalmic migraine
Migraine,781381000000100,1746951000000114,Migraine induced by oestrogen contraceptive
Migraine,193030005,297337016,Migraine variant NOS
Migraine,37796009,63055014,Other forms of migraine
Migraine,59292006,98501012,Hemiplegic migraine
Migraine,49605003,82623012,Ophthalmoplegic migraine
Migraine,49605003,82623012,Moebius' ophthalmoplegic migraine
Migraine,230467008,345355014,Status migrainosus
Migraine,193039006,297354012,Complicated migraine
Migraine,37796009,63055014,Other forms of migraine NOS
Migraine,37796009,63055014,Migraine NOS
Migraine,37796009,63055014,[X]Other migraine
Migraine,23186000,38943013,Migraine - menstrual
