Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Mood disorders ,851691000006105,851691000006114,Hypomanic
Mood disorders ,268619003,882321000006119,Mania/hypomania
Mood disorders ,13746004,882311000006110,Manic-depressive psychoses
Mood disorders ,405273008,2157096015,Manic mood
Mood disorders ,285491000000101,492761000000114,Bipolar affective disorder resolved
Mood disorders ,13746004,23447014,Bipolar psychoses
Mood disorders ,231494001,346966018,Manic psychoses
Mood disorders ,268619003,401765010,"Manic disorder, single episode"
Mood disorders ,231496004,346969013,Hypomanic psychoses
Mood disorders ,268619003,401765010,"Single manic episode, unspecified"
Mood disorders ,191583000,294803011,"Single manic episode, mild"
Mood disorders ,191584006,294804017,"Single manic episode, moderate"
Mood disorders ,764641000000104,1696281000000112,"Single manic episode, severe without mention of psychosis"
Mood disorders ,191586008,294806015,"Single manic episode, severe, with psychosis"
Mood disorders ,764731000000103,1696461000000116,Single manic episode in partial or unspecified remission
Mood disorders ,191588009,294808019,Single manic episode in full remission
Mood disorders ,268619003,401765010,"Manic disorder, single episode NOS"
Mood disorders ,191590005,294810017,Recurrent manic episodes
Mood disorders ,191590005,294810017,"Recurrent manic episodes, unspecified"
Mood disorders ,191592002,294812013,"Recurrent manic episodes, mild"
Mood disorders ,191593007,294813015,"Recurrent manic episodes, moderate"
Mood disorders ,764621000000106,1696241000000116,"Recurrent manic episodes, severe without mention psychosis"
Mood disorders ,191595000,294815010,"Recurrent manic episodes, severe, with psychosis"
Mood disorders ,764671000000105,1696341000000111,"Recurrent manic episodes, partial or unspecified remission"
Mood disorders ,191597008,294817019,"Recurrent manic episodes, in full remission"
Mood disorders ,191590005,294810017,Recurrent manic episode NOS
Mood disorders ,191618007,294846014,"Bipolar affective disorder, currently manic"
Mood disorders ,191618007,294847017,Manic-depressive - now manic
Mood disorders ,191618007,294846014,"Bipolar affective disorder, currently manic, unspecified"
Mood disorders ,191620005,294849019,"Bipolar affective disorder, currently manic, mild"
Mood disorders ,191621009,294850019,"Bipolar affective disorder, currently manic, moderate"
Mood disorders ,162004,1352013,"Bipolar affect disord, currently manic, severe, no psychosis"
Mood disorders ,191623007,294852010,"Bipolar affect disord, currently manic,severe with psychosis"
Mood disorders ,63249007,105141010,"Bipolar affect disord,currently manic, part/unspec remission"
Mood disorders ,191625000,294857016,"Bipolar affective disorder, currently manic, full remission"
Mood disorders ,191618007,294846014,"Bipolar affective disorder, currently manic, NOS"
Mood disorders ,191627008,294859018,"Bipolar affective disorder, currently depressed"
Mood disorders ,191627008,294860011,Manic-depressive - now depressed
Mood disorders ,191627008,294859018,"Bipolar affective disorder, currently depressed, unspecified"
Mood disorders ,191629006,294862015,"Bipolar affective disorder, currently depressed, mild"
Mood disorders ,191630001,294863013,"Bipolar affective disorder, currently depressed, moderate"
Mood disorders ,61403008,102016011,"Bipolar affect disord, now depressed, severe, no psychosis"
Mood disorders ,765176007,3657334019,"Bipolar affect disord, now depressed, severe with psychosis"
