Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Multiple sclerosis (and optic neuritis),24700007,41398015,Multiple sclerosis
Multiple sclerosis (and optic neuritis),24700007,1223979019,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),192926004,297176011,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),192927008,297177019,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),192928003,297179016,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),192929006,297180018,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),438511000,2791037019,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),428700003,2692565012,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),426373005,2674690012,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),425500002,2674605012,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),24700007,41398015,Multiple sclerosis NOS
