Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Neurotic, stress-related and somatoform disorders",191722009,882381000006115,Agoraphobia
"Neurotic, stress-related and somatoform disorders",191723004,988881000006118,Agoraphobia
"Neurotic, stress-related and somatoform disorders",313087008,1207928017,Anxiety counseling
"Neurotic, stress-related and somatoform disorders",313087008,2693180015,Counseling for anxiety
"Neurotic, stress-related and somatoform disorders",313087008,2695968012,Counselling for anxiety
"Neurotic, stress-related and somatoform disorders",56576003,94086016,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1809331000006108,1809331000006112,Symptoms of agoraphobia
"Neurotic, stress-related and somatoform disorders",386810004,420631000006114,[x]phobia nos
"Neurotic, stress-related and somatoform disorders",191723004,294993018,agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",313087008,456917011,anxiety counselling
"Neurotic, stress-related and somatoform disorders",853241000006103,853241000006119,phobic anxiety
"Neurotic, stress-related and somatoform disorders",563201000000101,1252611000000113,phobic disorder nos
"Neurotic, stress-related and somatoform disorders",1402001,2665410014,Fear
"Neurotic, stress-related and somatoform disorders",395017009,1488717011,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",247845000,370038014,Specific fear
"Neurotic, stress-related and somatoform disorders",417676004,2549895012,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",417620007,2549835014,O/E - fearful mood
"Neurotic, stress-related and somatoform disorders",268957000,402503018,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",268958005,402505013,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",111475002,1219652011,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",197480006,303689015,Anxiety states
"Neurotic, stress-related and somatoform disorders",198288003,304838011,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",371631005,1210253015,Panic disorder
"Neurotic, stress-related and somatoform disorders",225624000,339044013,Panic attack
"Neurotic, stress-related and somatoform disorders",21897009,481154010,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",231504006,346979010,Anxiety with depression
"Neurotic, stress-related and somatoform disorders",191708009,294960010,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",191709001,294961014,Recurrent anxiety
"Neurotic, stress-related and somatoform disorders",198288003,304838011,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",33693007,56251019,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",386810004,1491809016,Phobic disorders
"Neurotic, stress-related and somatoform disorders",25501002,42759014,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",386810004,1491809016,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",386808001,1480928018,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",191722009,294992011,Agoraphobia with panic attacks
"Neurotic, stress-related and somatoform disorders",61569007,102288011,Agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",191724005,294994012,"Social phobia, fear of eating in public"
