Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Noninfective enteritis and colitis,64766004,2579429013,Idiopathic proctocolitis
Noninfective enteritis and colitis,43752006,72962011,Mucous colitis and/or proctitis
Noninfective enteritis and colitis,295046003,435370011,Ulcerative colitis and/or proctitis
Noninfective enteritis and colitis,295046003,435370011,Ulcerative proctocolitis
Noninfective enteritis and colitis,196987008,302953018,Ulcerative ileocolitis
Noninfective enteritis and colitis,64766004,107644019,Ulcerative colitis
Noninfective enteritis and colitis,52506002,496332018,Ulcerative rectosigmoiditis
Noninfective enteritis and colitis,52231000,496249010,Ulcerative proctitis
Noninfective enteritis and colitis,414156000,2532953017,Exacerbation of ulcerative colitis
Noninfective enteritis and colitis,295046003,435370011,Ulcerative proctocolitis NOS
Noninfective enteritis and colitis,235714007,353357011,Ulcerative (chronic) enterocolitis
Noninfective enteritis and colitis,196987008,302953018,Ulcerative (chronic) ileocolitis
Noninfective enteritis and colitis,444548001,2872721013,Ulcerative pancolitis
Noninfective enteritis and colitis,418130002,2576688010,Other idiopathic proctocolitis
Noninfective enteritis and colitis,418130002,2576688010,Other idiopathic proctocolitis NOS
Noninfective enteritis and colitis,64766004,2579429013,Idiopathic proctocolitis NOS
Noninfective enteritis and colitis,64766004,107644019,[X]Other ulcerative colitis
Noninfective enteritis and colitis,201727001,309743013,Arthropathy in ulcerative colitis
Noninfective enteritis and colitis,201807008,309836013,Juvenile arthritis in ulcerative colitis
Noninfective enteritis and colitis,34000006,886291000006112,Regional enteritis - Crohn
Noninfective enteritis and colitis,906051000006102,906051000006118,[RFC] Crohns disease
Noninfective enteritis and colitis,34000006,56770011,granulomatous enteritis
Noninfective enteritis and colitis,196578009,302322010,Orofacial Crohn's disease
Noninfective enteritis and colitis,34000006,485713019,Regional enteritis - Crohn's disease
Noninfective enteritis and colitis,34000006,56765016,Crohn's disease
Noninfective enteritis and colitis,34000006,56765016,Granulomatous enteritis
Noninfective enteritis and colitis,56689002,94270018,Regional enteritis of the small bowel
Noninfective enteritis and colitis,56287005,497569010,Regional enteritis of the duodenum
Noninfective enteritis and colitis,196976000,302937016,Regional enteritis of the jejunum
Noninfective enteritis and colitis,196977009,302938014,Crohn's disease of the terminal ileum
Noninfective enteritis and colitis,38106008,64705019,Crohn's disease of the ileum unspecified
Noninfective enteritis and colitis,38106008,64705019,Crohn's disease of the ileum NOS
Noninfective enteritis and colitis,414154002,2532958014,Exacerbation of Crohn's disease of small intestine
Noninfective enteritis and colitis,56689002,94270018,Crohn's disease of the small bowel NOS
Noninfective enteritis and colitis,7620006,1495442018,Regional enteritis of the large bowel
Noninfective enteritis and colitis,50440006,1230866018,Regional enteritis of the colon
Noninfective enteritis and colitis,3815005,488238014,Regional enteritis of the rectum
Noninfective enteritis and colitis,414153008,2532950019,Exacerbation of Crohn's disease of large intestine
Noninfective enteritis and colitis,7620006,13585013,Crohn's disease of the large bowel NOS
Noninfective enteritis and colitis,50440006,1230866018,Crohn's colitis
Noninfective enteritis and colitis,196983007,302946010,Regional ileocolitis
Noninfective enteritis and colitis,34000006,56765016,Regional enteritis NOS
Noninfective enteritis and colitis,34000006,56765016,Crohn's disease NOS
Noninfective enteritis and colitis,34000006,56765016,[X]Other Crohn's disease
Noninfective enteritis and colitis,201728006,309744019,Arthropathy in Crohn's disease
Noninfective enteritis and colitis,201805000,309833017,Juvenile arthritis in Crohn's disease
Noninfective enteritis and colitis,0,0,Crohn's disease activity index
Noninfective enteritis and colitis,0,0,CDAI - Crohn's disease activity index
