Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Unspecified organic or symptomatic mental disorder
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Organic psychosyndrome
"Organic, including symptomatic, mental disorders",111479008,178719012,Other specific mental disorder post-organic brain damage
"Organic, including symptomatic, mental disorders",111479008,178719012,"[X]Acute / subacute confusional state, nonalcoholic"
"Organic, including symptomatic, mental disorders",111479008,178719012,"[X]Delirium, not induced by alcohol+other psychoactive subs"
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Epileptic psychosis NOS
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Organic mental disorder NOS
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Organic psychosis NOS
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Oth organ personality behav disorders brain dis dam dysf
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Oth sp mental disord brain damag/dysfunction/physcal disd
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Personality and behav disorder brain dis dam and dysfunct
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Unspec organ personality behav disorder brain dam dysfunc
"Organic, including symptomatic, mental disorders",111479008,178719012,"[X]Organic, including symptomatic, mental disorders"
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Unspec mental disorder brain damag/dysfunction/physcal dr
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Acute / subacute psycho-organic reaction
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Organic brain syndrome NOS
"Organic, including symptomatic, mental disorders",111479008,178719012,[X]Oth mental disorder brain damag/dysfunction/physical disr
"Organic, including symptomatic, mental disorders",56267009,497559016,Arteriosclerotic dementia NOS
"Organic, including symptomatic, mental disorders",56267009,497559016,[X]Arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",56267009,93568017,[X]Multi-infarct dementia
"Organic, including symptomatic, mental disorders",429998004,2770951017,[X]Vascular dementia
"Organic, including symptomatic, mental disorders",230285003,345110014,[X]Vascular dementia of acute onset
"Organic, including symptomatic, mental disorders",56267009,93568017,[X]Predominantly cortical dementia
"Organic, including symptomatic, mental disorders",56267009,497560014,VAD - Vascular dementia
"Organic, including symptomatic, mental disorders",191463004,294652012,Uncomplicated arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",191464005,294653019,Arteriosclerotic dementia with delirium
"Organic, including symptomatic, mental disorders",191465006,294654013,Arteriosclerotic dementia with paranoia
"Organic, including symptomatic, mental disorders",191466007,294655014,Arteriosclerotic dementia with depression
"Organic, including symptomatic, mental disorders",56267009,497559016,Arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",429998004,2770951017,[X]Other vascular dementia
"Organic, including symptomatic, mental disorders",56267009,2921000019,Multi infarct dementia
"Organic, including symptomatic, mental disorders",429998004,2770951017,"[X]Vascular dementia, unspecified"
"Organic, including symptomatic, mental disorders",56267009,497558012,MID - Multi-infarct dementia
"Organic, including symptomatic, mental disorders",56267009,93568017,Multi infarct dementia
"Organic, including symptomatic, mental disorders",84339005,506022012,Lip operations
"Organic, including symptomatic, mental disorders",84339005,139875017,Lip operations NOS
"Organic, including symptomatic, mental disorders",390936003,1476249012,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy
"Organic, including symptomatic, mental disorders",390936003,1477210016,Cereb autosom dominant arteriop subcort infarcts leukoenceph
"Organic, including symptomatic, mental disorders",230286002,345111013,[X]Subcortical vascular dementia
"Organic, including symptomatic, mental disorders",230287006,345112018,[X]Mixed cortical and subcortical vascular dementia
"Organic, including symptomatic, mental disorders",173225009,268171011,Wedge resection of lip
"Organic, including symptomatic, mental disorders",52448006,87274019,[X] Unspecified dementia
"Organic, including symptomatic, mental disorders",52448006,2970981011,Organic dementia
"Organic, including symptomatic, mental disorders",278849000,415873013,Cerebral atrophy
"Organic, including symptomatic, mental disorders",52448006,87274019,Senile/presenile dementia
"Organic, including symptomatic, mental disorders",95644001,512235016,Cerebral systemic lupus erythematosus
"Organic, including symptomatic, mental disorders",95644001,158442019,Systemic lupus erythematosus encephalitis
"Organic, including symptomatic, mental disorders",95644001,512234017,Cerebral lupus
"Organic, including symptomatic, mental disorders",95644001,512233011,Lupus encephalopathy
"Organic, including symptomatic, mental disorders",2776000,5694012,"[X]Delirium not superimposed on dementia, so described"
"Organic, including symptomatic, mental disorders",2776000,483659012,[X]Acute / subacute brain syndrome
"Organic, including symptomatic, mental disorders",2776000,483653013,Acute psycho-organic syndrome
"Organic, including symptomatic, mental disorders",2776000,5694012,Delirium - acute organic
"Organic, including symptomatic, mental disorders",2776000,483658016,ABS - Acute brain syndrome
"Organic, including symptomatic, mental disorders",2776000,483659012,Acute brain syndrome
"Organic, including symptomatic, mental disorders",191507002,294706010,Subacute confusional state
"Organic, including symptomatic, mental disorders",2776000,5694012,[X]Delirium of mixed origin
"Organic, including symptomatic, mental disorders",191507002,294705014,Delirium - subacute organic
"Organic, including symptomatic, mental disorders",2776000,483651010,Acute confusional state
"Organic, including symptomatic, mental disorders",2776000,483651010,Acute confusional state NOS
"Organic, including symptomatic, mental disorders",191507002,294706010,Subacute confusional state NOS
"Organic, including symptomatic, mental disorders",2776000,5694012,"[X]Delirium, unspecified"
"Organic, including symptomatic, mental disorders",2776000,483649011,Organic brain syndrome
"Organic, including symptomatic, mental disorders",2776000,5694012,[X]Other delirium
"Organic, including symptomatic, mental disorders",2776000,483652015,OBS - Organic brain syndrome
"Organic, including symptomatic, mental disorders",2776000,5694012,[X]Delirium superimposed on dementia
"Organic, including symptomatic, mental disorders",191507002,294705014,Subacute delirium
"Organic, including symptomatic, mental disorders",2776000,483655018,[X]Acute / subacute organic reaction
"Organic, including symptomatic, mental disorders",271873000,406866016,"[D]Senility, without psychosis NOS"
"Organic, including symptomatic, mental disorders",271873000,406866016,"[D]Senility, without mention of psychosis"
"Organic, including symptomatic, mental disorders",15662003,26545010,[X] Senile dementia NOS
"Organic, including symptomatic, mental disorders",45205003,75376013,Frenectomy of lip
"Organic, including symptomatic, mental disorders",45205003,2270021000000113,Labial frenectomy
"Organic, including symptomatic, mental disorders",191461002,1222240013,Senile delirium
"Organic, including symptomatic, mental disorders",15662003,1221222011,SD - Senile dementia
"Organic, including symptomatic, mental disorders",15662003,26545010,Senile dementia
"Organic, including symptomatic, mental disorders",191461002,294648012,Senile dementia with delirium
"Organic, including symptomatic, mental disorders",282078004,420275011,Upper labial fraenectomy
"Organic, including symptomatic, mental disorders",191461002,882211000006118,Senile dementia-acute confused
"Organic, including symptomatic, mental disorders",191452002,294638010,Presenile dementia with delirium
"Organic, including symptomatic, mental disorders",71917006,119496011,Cheiloplasty
"Organic, including symptomatic, mental disorders",271873000,406866016,[D]Senility
"Organic, including symptomatic, mental disorders",282078004,420274010,Upper labial frenectomy
"Organic, including symptomatic, mental disorders",84757009,178739011,[X]Other generalized epilepsy and epileptic syndromes
"Organic, including symptomatic, mental disorders",84757009,506216014,EP - Epilepsy
"Organic, including symptomatic, mental disorders",84757009,178739011,[X]Other epilepsy
"Organic, including symptomatic, mental disorders",84757009,178739011,Epilepsy
"Organic, including symptomatic, mental disorders",84757009,178739011,Other forms of epilepsy
"Organic, including symptomatic, mental disorders",84757009,178739011,Epilepsy NOS
"Organic, including symptomatic, mental disorders",84757009,506215013,Epileptic
"Organic, including symptomatic, mental disorders",84757009,189601011,Epileptic disorder
"Organic, including symptomatic, mental disorders",84757009,178739011,Other forms of epilepsy NOS
"Organic, including symptomatic, mental disorders",231439009,346898013,[D]Toxic confusional state
"Organic, including symptomatic, mental disorders",191508007,294707018,"Subacute confusional state, post traumatic"
"Organic, including symptomatic, mental disorders",191508007,294707018,"Subacute confusional state, post-traumatic"
"Organic, including symptomatic, mental disorders",191501001,294699017,"Acute confusional state, post-traumatic"
"Organic, including symptomatic, mental disorders",162703005,2668089013,On examination - delirious
"Organic, including symptomatic, mental disorders",191502008,294700016,"Acute confusional state, of infective origin"
"Organic, including symptomatic, mental disorders",191509004,294708011,"Subacute confusional state, of infective origin"
"Organic, including symptomatic, mental disorders",162703005,253593010,O/E - delirious
"Organic, including symptomatic, mental disorders",191504009,294702012,"Acute confusional state, of metabolic origin"
"Organic, including symptomatic, mental disorders",191510009,294709015,"Subacute confusional state, of endocrine origin"
"Organic, including symptomatic, mental disorders",191511008,294710013,"Subacute confusional state, of metabolic origin"
"Organic, including symptomatic, mental disorders",191512001,294711012,"Subacute confusional state, of cerebrovascular origin"
"Organic, including symptomatic, mental disorders",231439009,346898013,Toxic confusional state
"Organic, including symptomatic, mental disorders",191505005,294703019,"Acute confusional state, of cerebrovascular origin"
"Organic, including symptomatic, mental disorders",191501001,294699017,"Acute confusional state, post traumatic"
"Organic, including symptomatic, mental disorders",191502008,294700016,[X]Acute / subacute infective psychosis
"Organic, including symptomatic, mental disorders",191503003,294701017,"Acute confusional state, of endocrine origin"
"Organic, including symptomatic, mental disorders",45912004,76558013,Organic hallucinosis syndrome
"Organic, including symptomatic, mental disorders",45912004,76558013,[X]Organic hallucinosis
"Organic, including symptomatic, mental disorders",191447007,294630015,Other specified organic psychoses
"Organic, including symptomatic, mental disorders",191447007,294630015,Other chronic organic psychoses
"Organic, including symptomatic, mental disorders",191447007,294630015,Chronic organic psychosis NOS
"Organic, including symptomatic, mental disorders",191447007,294630015,Organic psychoses NOS
"Organic, including symptomatic, mental disorders",191447007,294630015,Organic psychotic conditions
"Organic, including symptomatic, mental disorders",191447007,294630015,Other specified chronic organic psychoses
"Organic, including symptomatic, mental disorders",231442003,346901014,[X]Organic catatonic disorder
"Organic, including symptomatic, mental disorders",173269002,268257014,Division of adhesions of lip
"Organic, including symptomatic, mental disorders",231442003,346901014,Organic catatonic disorder
"Organic, including symptomatic, mental disorders",5510009,10196013,[X]Schizophrenia-like psychosis in epilepsy
"Organic, including symptomatic, mental disorders",5510009,1231416011,Paranoid organic state
"Organic, including symptomatic, mental disorders",755301000000102,1667581000000114,[X]Paranoid state in remission
"Organic, including symptomatic, mental disorders",5510009,1231416011,[X]Paranoid organic state
"Organic, including symptomatic, mental disorders",755301000000102,1662001000000113,Paranoid state in remission
"Organic, including symptomatic, mental disorders",5510009,10196013,Organic delusional syndrome
"Organic, including symptomatic, mental disorders",5510009,10196013,[X]Organic delusional [schizophrenia-like] disorder
"Organic, including symptomatic, mental disorders",13746004,23447014,[X]Other bipolar affective disorders
"Organic, including symptomatic, mental disorders",35489007,59212011,[X]Other depressive episodes
"Organic, including symptomatic, mental disorders",35489007,486185019,"[X]Depressive episode, unspecified"
"Organic, including symptomatic, mental disorders",46206005,77054013,[X]Other single mood affective disorders
"Organic, including symptomatic, mental disorders",46206005,77054013,[X]Unspecified mood affective disorder
"Organic, including symptomatic, mental disorders",13746004,882311000006110,Manic-depressive psychoses
"Organic, including symptomatic, mental disorders",90197008,149511010,Shave of lip
"Organic, including symptomatic, mental disorders",46206005,77054013,[X]Affective psychosis NOS
"Organic, including symptomatic, mental disorders",46206005,1494744014,Disorder of affect
"Organic, including symptomatic, mental disorders",13746004,2839307017,[X]Bipolar affective disorder
"Organic, including symptomatic, mental disorders",35489007,486185019,[X]Depressive episode
"Organic, including symptomatic, mental disorders",23645006,39698011,[X]Organic mood [affective] disorders
"Organic, including symptomatic, mental disorders",13746004,23447014,[X]Manic-depressive reaction
"Organic, including symptomatic, mental disorders",35489007,59212011,[X]Monopolar depression NOS
"Organic, including symptomatic, mental disorders",46206005,1494743015,[X]Mood - affective disorders
"Organic, including symptomatic, mental disorders",13746004,1221012010,[X]Manic-depressive illness
"Organic, including symptomatic, mental disorders",13746004,1221011015,[X]Manic-depressive psychosis
"Organic, including symptomatic, mental disorders",46206005,77054013,Affective psychoses
"Organic, including symptomatic, mental disorders",13746004,23447014,Bipolar psychoses
"Organic, including symptomatic, mental disorders",35489007,59212011,Depressive psychoses
"Organic, including symptomatic, mental disorders",35489007,2955505011,Mood disorder of depressed type
"Organic, including symptomatic, mental disorders",35489007,486186018,Depressive illness
"Organic, including symptomatic, mental disorders",58329000,96935014,Organic mood disorder of manic type
"Organic, including symptomatic, mental disorders",23645006,481669010,Organic affective disorder
"Organic, including symptomatic, mental disorders",13746004,1221011015,Unspecified manic-depressive psychoses
"Organic, including symptomatic, mental disorders",35489007,486184015,[X]Depression NOS
"Organic, including symptomatic, mental disorders",35489007,486185019,[X]Depressive disorder NOS
"Organic, including symptomatic, mental disorders",90197008,149511010,Lip shave
"Organic, including symptomatic, mental disorders",13746004,1221013017,MDI - Manic-depressive illness
"Organic, including symptomatic, mental disorders",35489007,486187010,Depressed
"Organic, including symptomatic, mental disorders",58329000,498143012,Organic manic disorder
"Organic, including symptomatic, mental disorders",13746004,2839307017,"Unspecified bipolar affective disorder, NOS"
"Organic, including symptomatic, mental disorders",13746004,1221011015,Other and unspecified manic-depressive psychoses
"Organic, including symptomatic, mental disorders",441704009,2817266014,Other and unspecified affective psychoses
"Organic, including symptomatic, mental disorders",441704009,2817266014,Unspecified affective psychoses NOS
"Organic, including symptomatic, mental disorders",441704009,2817266014,Other affective psychosis NOS
"Organic, including symptomatic, mental disorders",13746004,2839307017,Unspecified bipolar affective disorder
"Organic, including symptomatic, mental disorders",13746004,2839307017,"Unspecified bipolar affective disorder, unspecified"
"Organic, including symptomatic, mental disorders",35489007,59212011,Depressive disorder NEC
"Organic, including symptomatic, mental disorders",46206005,77054013,[X]Other mood affective disorders
"Organic, including symptomatic, mental disorders",46206005,77054013,[X]Other specified mood affective disorders
"Organic, including symptomatic, mental disorders",23645006,39698011,Organic affective syndrome
"Organic, including symptomatic, mental disorders",13746004,1221011015,Other and unspecified manic-depressive psychoses NOS
"Organic, including symptomatic, mental disorders",13746004,2839307017,"[X]Bipolar affective disorder, unspecified"
"Organic, including symptomatic, mental disorders",17496003,403931000006116,[X]Organic anxiety disorder
"Organic, including symptomatic, mental disorders",17496003,29572018,[X]Organic anxiety disorder
"Organic, including symptomatic, mental disorders",17496003,2777721000006112,Organic anxiety disorder
"Organic, including symptomatic, mental disorders",231445001,346904018,Organic dissociative disorder
"Organic, including symptomatic, mental disorders",231445001,346904018,[X]Organic dissociative disorder
"Organic, including symptomatic, mental disorders",231446000,346905017,[X]Organic emotionally labile [asthenic] disorder
"Organic, including symptomatic, mental disorders",231446000,346906016,Organic asthenic disorder
"Organic, including symptomatic, mental disorders",386807006,1491799016,[D]Memory deficit
"Organic, including symptomatic, mental disorders",386805003,1480925015,[X]Mild cognitive disorder
"Organic, including symptomatic, mental disorders",386807006,1491805010,Bad memory
"Organic, including symptomatic, mental disorders",386807006,1491804014,Poor memory
"Organic, including symptomatic, mental disorders",162200009,252927017,Temporary memory loss
"Organic, including symptomatic, mental disorders",386807006,1491803015,Memory problem
"Organic, including symptomatic, mental disorders",386807006,1491802013,Dysmnesia
"Organic, including symptomatic, mental disorders",386807006,1491806011,Disturbance of memory
"Organic, including symptomatic, mental disorders",386807006,1491801018,Impaired memory
"Organic, including symptomatic, mental disorders",386807006,1491800017,Memory dysfunction
"Organic, including symptomatic, mental disorders",386807006,1480927011,Memory impairment
"Organic, including symptomatic, mental disorders",386805003,2956731015,Mild cognitive impairment
"Organic, including symptomatic, mental disorders",162200009,252928010,Temporary loss of memory
"Organic, including symptomatic, mental disorders",386807006,1480927011,Memory disturbance
"Organic, including symptomatic, mental disorders",192069009,295520011,Nonpsychotic mental disorder post-organic brain damage NOS
"Organic, including symptomatic, mental disorders",192069009,295520011,Nonpsychotic mental disorders following organic brain damage
"Organic, including symptomatic, mental disorders",192069009,2956721010,Non-psychotic mental disorder after brain damage
"Organic, including symptomatic, mental disorders",192069009,2951825010,Non-psychotic psychological disorder after brain damage
"Organic, including symptomatic, mental disorders",74732009,200482015,[X]Mental illness NOS
"Organic, including symptomatic, mental disorders",74732009,124108014,Other specified neuroses or other mental disorders
"Organic, including symptomatic, mental disorders",74732009,502798011,Psychiatric disorder
"Organic, including symptomatic, mental disorders",74732009,124108014,Neuroses or other mental disorder NOS
"Organic, including symptomatic, mental disorders",74732009,124108014,"Neurotic, personality and other nonpsychotic disorders"
"Organic, including symptomatic, mental disorders",74732009,200483013,Mental disease
"Organic, including symptomatic, mental disorders",74732009,124108014,"[X]Neurotic, stress - related and somoform disorders"
