Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Other forms of heart disease,55855009,1231538011,Other diseases of pericardium
Other forms of heart disease,37715009,62911012,Adhesive pericarditis NOS
Other forms of heart disease,55855009,1231538011,[X]Other specified diseases of pericardium
Other forms of heart disease,3238004,6471010,[X]Pericarditis in other diseases classified elsewhere
Other forms of heart disease,55855009,92885015,Pericardial disorder
Other forms of heart disease,55855009,92882017,Other specified pericardial disease NOS
Other forms of heart disease,55855009,92882017,Other pericardial disease NOS
Other forms of heart disease,37715009,62911012,Adhesive pericarditis
Other forms of heart disease,55855009,92882017,Other diseases of pericardium OS
Other forms of heart disease,37715009,62913010,Adherent pericardium
Other forms of heart disease,85598007,141891015,Constrictive pericarditis NOS
Other forms of heart disease,85598007,141891015,Pick's disease of heart
Other forms of heart disease,85598007,3499779014,Pick syndrome of heart
Other forms of heart disease,85598007,141891015,Constrictive pericarditis
Other forms of heart disease,42653000,71153013,Calcification of pericardium
Other forms of heart disease,85598007,3499780012,Pick disease of heart
Other forms of heart disease,23412002,481610015,Haematopericardium
Other forms of heart disease,23412002,39302012,Hematopericardium
Other forms of heart disease,23412002,39301017,Hemopericardium
Other forms of heart disease,23412002,39303019,Haemopericardium
Other forms of heart disease,48724000,81186016,"Mitral incompetence, cause unspecified"
Other forms of heart disease,11851006,444757013,Mitral valve disease NOS
Other forms of heart disease,274097009,409856013,Heart valve disorders - non-rheumatic
Other forms of heart disease,48724000,1230641019,Mitral insufficiency
Other forms of heart disease,11851006,20449013,[X]Other nonrheumatic mitral valve disorders
Other forms of heart disease,274097009,2957048011,Non-rheumatic heart valve disorder
Other forms of heart disease,48724000,1230640018,MR - Mitral regurgitation
Other forms of heart disease,11851006,444758015,MVD - Mitral valve disease
Other forms of heart disease,194978002,884271000006117,Non-rheum. mitral incompetence
Other forms of heart disease,11851006,20449013,Mitral valve disorders NOS
Other forms of heart disease,11851006,20449013,[X]Other mitral valve diseases
Other forms of heart disease,48724000,1230639015,MI - Mitral incompetence
Other forms of heart disease,194978002,299979011,Non-rheumatic mitral regurgitation
Other forms of heart disease,48724000,81186016,Mitral valve regurgitation
Other forms of heart disease,48724000,81192010,Mitral valve insufficiency
Other forms of heart disease,194978002,299980014,"Mitral incompetence, non-rheumatic"
Other forms of heart disease,11851006,883991000006114,Chronic rheumatic mitral valve
Other forms of heart disease,48724000,81193017,Mitral valve incompetence
Other forms of heart disease,274097009,409856013,Heart valve disorders - non rheumatic
Other forms of heart disease,48724000,81191015,Mitral valve incompetence
Other forms of heart disease,11851006,20449013,[X]Mitral valve disorders in diseases classified elsewhere
Other forms of heart disease,48724000,81193017,Mitral regurgitation
Other forms of heart disease,11851006,444757013,Mitral valve diseases
Other forms of heart disease,409712001,2471474013,Mitral valve prolapse
Other forms of heart disease,250989005,374121019,Mitral cusp prolapse
Other forms of heart disease,250989005,374119012,Mitral leaf prolapse
Other forms of heart disease,250989005,374120018,Mitral valve leaf prolapse
Other forms of heart disease,409712001,2477508016,MVP - Mitral valve prolapse
Other forms of heart disease,194727002,299594018,Nonrheumatic mitral valve stenosis
Other forms of heart disease,194727002,299594018,Non-rheumatic mitral valve stenosis
Other forms of heart disease,79619009,1234382016,MS - Mitral stenosis
Other forms of heart disease,79619009,132091016,Mitral valve stenosis
Other forms of heart disease,79619009,1234383014,Mitral stenosis
Other forms of heart disease,8722008,15387019,[X]Other aortic valve disorders
Other forms of heart disease,60573004,100633013,"Aortic stenosis alone, cause unspecified"
Other forms of heart disease,8722008,15387019,Aortic valve disorders NOS
Other forms of heart disease,60573004,100633013,Aortic stenosis
Other forms of heart disease,8722008,1235210010,AVD - Aortic valve disease
Other forms of heart disease,8722008,1235209017,Aortic valve disorders
Other forms of heart disease,60573004,1232103019,Aortic stenosis
Other forms of heart disease,60573004,1232102012,Stenosed aortic valve
Other forms of heart disease,60573004,1232104013,AS - Aortic stenosis
Other forms of heart disease,8722008,15387019,[X]Aortic valve disorders in diseases classified elsewhere
Other forms of heart disease,194984004,299988019,"Aortic stenosis, non-rheumatic"
Other forms of heart disease,60234000,100055018,"Aortic incompetence alone, cause unspecified"
Other forms of heart disease,60234000,100055018,"Aortic insufficiency alone, cause unspecified"
Other forms of heart disease,60234000,100055018,"Aortic regurgitation alone, cause unspecified"
Other forms of heart disease,194983005,2923421015,"Aortic valve regurgitation, nonrheumatic"
Other forms of heart disease,60234000,100061015,Aortic valve incompetence
Other forms of heart disease,60234000,1232060016,AR - Aortic regurgitation
Other forms of heart disease,60234000,100060019,Aortic valve insufficiency
Other forms of heart disease,60234000,1232058018,Aortic incompetence
Other forms of heart disease,194983005,884281000006119,Non-rheumatic aortic sclerosis
Other forms of heart disease,194983005,299985016,"Aortic incompetence, non-rheumatic"
Other forms of heart disease,194983005,299986015,"Aortic regurgitation, non-rheumatic"
Other forms of heart disease,194983005,299987012,"Aortic insufficiency, non-rheumatic"
Other forms of heart disease,194983005,884291000006116,Non-rheum. aortic incompetence
Other forms of heart disease,60234000,100062010,Aortic regurgitation
Other forms of heart disease,60234000,1232059014,AI - Aortic incompetence
Other forms of heart disease,60234000,1232061017,Aortic insufficiency
Other forms of heart disease,194987006,299991019,Aortic valve stenosis with insufficiency
Other forms of heart disease,67754003,500829014,Senile sclerosis of aortic cusp
Other forms of heart disease,67754003,112523010,Aortic valve sclerosis
Other forms of heart disease,163092009,254157014,O/E - aortic systolic murmur
Other forms of heart disease,250978003,374104011,Aortic valve calcification
Other forms of heart disease,250978003,374105012,Calcified aortic valve
Other forms of heart disease,67754003,500828018,Aortic sclerosis
Other forms of heart disease,163092009,2667644010,On examination - aortic systolic murmur
Other forms of heart disease,20721001,34866017,Tricuspid valve disorders NOS
Other forms of heart disease,20721001,1222524014,Tricuspid valve disease NEC
Other forms of heart disease,20721001,34866017,[X]Other tricuspid valve diseases
Other forms of heart disease,49915006,83138015,"Tricuspid stenosis and incompetence, cause unspecified"
Other forms of heart disease,49915006,1230798015,TS - Tricuspid stenosis
Other forms of heart disease,194991001,2923388013,"Tricuspid valve stenosis, nonrheumatic"
Other forms of heart disease,194989009,2957051016,"[X]Nonrheumatic tricuspid valve disorder, unspecified"
Other forms of heart disease,20721001,34866017,[X]Tricuspid valve disorders/diseases CE
Other forms of heart disease,49915006,83138015,Tricuspid valve stenosis
Other forms of heart disease,194989009,299993016,"Tricuspid valve disorders, non-rheumatic"
